DateTime,AddedIPs,RemovedIPs
1525446836,20,4
1525450476,5,11
1525454001,17,5
1525457642,18,3
1525461225,14,7
1525464802,4,2
1525468438,3,2
1525472059,4,4
1525475651,3,51
1525479261,29,15
1525482831,31,7
1525486436,22,5
1525490049,2,25
1525493640,7,4
1525497259,5,20
1525500858,7,28
1525504440,22,10
1525508005,24,8
1525511678,5,9
1525515253,24,3
1525518872,5,7
1525522432,2,4
1525526036,4,8
1525529644,11,29
1525533211,18,6
1525536839,6,2
1525540424,13,7
1525544022,6,9
1525547631,6,13
1525551191,11,2
1525554816,11,5
1525558439,3,5
1525562037,5,9
1525565627,21,6
1525569226,8,16
1525572856,4,6
1525576402,8,31
1525580054,3,11
1525583622,23,10
1525587188,16,1
1525590842,4,5
1525594420,11,4
1525598029,6,9
1525601642,6,14
1525605240,3,7
1525609474,26,8
1525612429,7,4
1525616009,4,3
1525619627,2,2
1525623256,2,16
1525626862,2,13
1525630411,11,9
1525634046,4,25
1525637645,25,4
1525641228,22,2
1525644828,5,7
1525648403,9,1
1525652078,21,4
1525655597,6,3
1525659262,4,4
1525662811,6,29
1525666450,10,5
1525669994,5,25
1525673589,10,4
1525677239,8,6
1525680858,5,5
1525684464,1,22
1525688025,7,26
1525691682,5,35
1525695248,13,10
1525698839,37,9
1525702431,19,12
1525706049,20,2
1525709606,16,9
1525713265,3,8
1525716871,8,11
1525720434,10,17
1525724029,21,24
1525727668,5,6
1525731248,11,4
1525734827,14,6
1525738454,25,23
1525742087,7,5
1525745650,11,17
1525749249,23,34
1525752890,11,15
1525756451,11,4
1525760044,8,18
1525763602,24,10
1525767245,19,10
1525770868,5,15
1525774455,9,4
1525778109,7,14
1525781636,15,18
1525785248,37,3
1525788865,2,3
1525792432,4,5
1525796065,4,10
1525799674,6,39
1525803262,22,3
1525806880,4,4
1525810442,6,4
1525814086,4,12
1525817681,12,30
1525821244,34,5
1525824890,20,13
1525828404,24,1
1525832073,2,4
1525835626,6,29
1525839256,9,15
1525842863,6,24
1525846436,16,3
1525850076,4,10
1525853640,16,16
1525857247,10,6
1525860855,22,4
1525864457,6,3
1525868086,2,9
1525871669,6,6
1525875272,2,25
1525878831,16,10
1525882463,11,2
1525886072,7,7
1525889647,1,7
1525893283,4,31
1525896849,10,18
1525900455,16,9
1525904026,40,7
1525907667,11,6
1525911273,17,1
1525914808,5,4
1525918444,5,16
1525922052,2,32
1525925670,3,10
1525929277,7,46
1525932839,24,9
1525936421,51,2
1525940004,9,4
1525943631,5,3
1525947203,7,4
1525950865,5,16
1525954421,12,4
1525958058,5,7
1525961675,4,10
1525965272,2,13
1525968894,3,32
1525972441,26,14
1525976066,5,7
1525979629,22,5
1525983250,12,1
1525986862,8,8
1525990419,10,6
1525994036,8,9
1525997725,34,5
1526001259,17,11
1526004864,1,6
1526008441,5,45
1526012031,7,5
1526015659,8,23
1526019253,7,0
1526022837,14,4
1526026421,18,5
1526030089,5,8
1526033647,13,2
1526037298,4,5
1526040870,2,12
1526044493,3,12
1526048068,3,44
1526051652,17,28
1526055290,9,9
1526058838,41,13
1526062461,9,2
1526066074,4,10
1526069663,15,4
1526073271,6,37
1526076864,12,8
1526080428,36,5
1526084074,44,7
1526087680,2,5
1526091244,10,4
1526094898,6,28
1526098460,7,24
1526102069,10,1
1526105672,12,30
1526109246,10,8
1526112859,17,7
1526116438,8,11
1526120025,10,7
1526123669,24,7
1526127274,6,6
1526130888,5,4
1526134460,5,8
1526138047,6,27
1526141682,11,6
1526145269,9,6
1526148900,4,15
1526152474,12,18
1526156102,6,15
1526159633,42,7
1526163269,15,7
1526166841,10,1
1526170497,22,3
1526174012,6,12
1526177648,8,9
1526181290,6,33
1526184846,10,15
1526188467,9,14
1526192023,30,3
1526195652,0,5
1526199270,3,11
1526202822,7,5
1526206463,5,23
1526210021,25,8
1526213683,6,4
1526217202,6,10
1526220873,9,6
1526224495,7,55
1526228059,16,7
1526231647,31,7
1526235257,29,7
1526238813,18,6
1526242470,4,2
1526246093,4,8
1526249658,6,13
1526253259,11,27
1526256826,31,10
1526260434,10,5
1526264052,4,15
1526267639,10,28
1526271250,3,24
1526274880,9,17
1526278418,45,6
1526282036,9,3
1526285623,5,3
1526289270,4,2
1526292851,7,27
1526296465,3,14
1526300056,7,23
1526303615,30,4
1526307240,7,17
1526310839,6,6
1526314482,8,6
1526318029,16,16
1526321650,4,10
1526325238,17,5
1526328838,3,11
1526332397,5,21
1526336044,15,4
1526339651,12,37
1526343258,21,1
1526346867,14,7
1526350426,14,14
1526354057,5,26
1526357632,25,12
1526361249,8,8
1526364854,14,8
1526368420,18,8
1526372071,2,15
1526375605,14,5
1526379231,15,12
1526382854,7,10
1526386429,18,2
1526390072,2,12
1526393633,9,14
1526397258,4,15
1526400868,7,33
1526404494,7,7
1526408044,25,13
1526411678,26,2
1526415263,6,8
1526418877,7,7
1526422455,3,15
1526426098,7,37
1526429719,60,7
1526433221,26,1
1526436864,4,5
1526440428,8,17
1526444032,5,16
1526447664,2,30
1526451225,21,11
1526454855,4,25
1526458458,18,35
1526462033,25,7
1526465654,5,10
1526469224,23,2
1526472827,29,6
1526476462,2,8
1526480053,2,5
1526483625,13,7
1526487245,11,31
1526490894,4,10
1526494451,28,3
1526498064,1,16
1526501600,17,9
1526505214,12,2
1526508832,6,9
1526512445,5,3
1526516078,12,20
1526519618,18,13
1526523228,18,8
1526526875,5,23
1526530427,16,3
1526534046,3,7
1526537647,3,10
1526541221,4,4
1526544825,10,50
1526548400,44,7
1526552071,9,5
1526555592,10,2
1526559212,6,3
1526562832,4,19
1526566423,6,7
1526570045,6,28
1526573617,11,8
1526577235,13,14
1526580863,3,13
1526584416,31,3
1526588045,5,11
1526591672,7,12
1526595255,9,6
1526598791,15,29
