DateTime,AddedIPs,RemovedIPs
1525435701,7,7
1525439340,1,15
1525442890,12,6
1525446515,23,4
1525450148,4,4
1525453698,13,4
1525457316,16,3
1525460900,14,2
1525464500,0,1
1525468118,1,2
1525471730,3,1
1525475324,2,40
1525478919,4,10
1525482507,20,4
1525486110,16,6
1525489722,2,5
1525493329,8,2
1525496945,6,15
1525500532,5,10
1525504110,7,6
1525507696,12,8
1525511343,4,9
1525514915,22,1
1525518544,4,2
1525522122,2,0
1525525716,0,6
1525529313,9,28
1525532896,13,4
1525536506,4,5
1525540103,16,4
1525543700,4,7
1525547318,4,11
1525550908,11,1
1525554505,7,4
1525558121,1,6
1525561708,3,6
1525565296,2,7
1525568896,6,14
1525572524,3,3
1525576089,4,10
1525579724,2,7
1525583305,21,4
1525586881,13,0
1525590511,3,3
1525594108,8,1
1525597703,4,9
1525601308,3,16
1525604916,2,3
1525608811,27,2
1525612100,1,0
1525619303,1,1
1525622917,0,17
1525626534,1,11
1525630091,9,5
1525633705,2,23
1525637311,22,2
1525640910,16,1
1525644499,4,5
1525648086,10,0
1525651736,1,0
1525655283,2,1
1525658933,1,0
1525662497,1,16
1525666117,5,2
1525669687,1,22
1525673291,9,2
1525676909,3,6
1525680537,2,1
1525684144,0,14
1525687713,7,17
1525691351,3,11
1525694938,6,4
1525698503,16,4
1525702100,11,11
1525705714,13,0
1525709296,13,6
1525712935,0,5
1525716538,2,5
1525720106,9,11
1525723693,15,20
1525727345,3,2
1525730937,8,2
1525734500,10,5
1525738119,2,14
1525741750,4,3
1525745343,7,13
1525748943,14,11
1525752554,11,6
1525756146,6,4
1525759725,3,15
1525763328,18,9
1525766923,14,6
1525770544,3,5
1525774138,4,1
1525777762,2,8
1525781320,10,14
1525784916,26,2
1525788536,1,1
1525792120,1,3
1525795748,2,7
1525799336,4,32
1525802927,14,1
1525806555,2,1
1525810120,4,1
1525813750,4,7
1525817348,7,27
1525820916,28,4
1525824542,11,5
1525828112,20,1
1525831748,1,2
1525835303,4,6
1525838929,3,8
1525842536,3,18
1525846110,9,2
1525849738,0,3
1525853308,7,13
1525856915,7,6
1525860523,18,3
1525864130,5,1
1525867753,1,6
1525871344,4,3
1525874954,1,15
1525878514,13,9
1525882139,6,2
1525885747,6,6
1525889333,1,5
1525892951,4,25
1525896519,9,8
1525900138,9,6
1525903721,30,5
1525907333,5,3
1525910936,2,1
1525914500,4,0
1525918126,1,15
1525921727,1,6
1525925343,2,6
1525928947,6,33
1525932523,7,4
1525936106,44,0
1525939686,5,0
1525943310,3,2
1525946898,5,2
1525950512,1,10
1525954099,8,0
1525957720,1,4
1525961344,1,6
1525964954,0,8
1525968552,1,35
1525972109,24,9
1525975729,1,1
1525979324,17,3
1525982920,5,1
1525986520,6,7
1525990106,8,0
1525993716,2,4
1525997373,2,2
1526000917,8,8
1526004530,0,5
1526008135,3,10
1526011710,6,2
1526015318,7,20
1526018933,6,1
1526022513,11,2
1526026113,14,4
1526029762,1,4
1526033316,8,0
1526036934,1,0
1526040545,1,10
1526044146,2,5
1526047771,2,30
1526051333,6,8
1526054959,2,8
1526058522,22,11
1526062155,9,2
1526065744,3,8
1526069335,14,1
1526072951,6,17
1526076536,6,4
1526080108,16,4
1526083742,12,9
1526087351,1,6
1526090913,7,2
1526094559,5,11
1526098142,4,15
1526101735,5,1
1526105349,10,27
1526108927,9,8
1526112531,17,3
1526116127,7,3
1526119701,4,7
1526123329,17,7
1526126942,3,4
1526130551,6,5
1526134130,7,3
1526137714,1,22
1526141357,8,4
1526144936,7,8
1526148560,4,12
1526152149,9,9
1526155756,6,10
1526159310,26,5
1526162940,7,3
1526166526,8,0
1526170152,3,1
1526173700,5,8
1526177326,4,1
1526180928,3,15
1526184507,7,10
1526188121,8,8
1526191695,22,2
1526195309,0,2
1526198923,2,7
1526202491,4,3
1526206115,3,18
1526209689,14,5
1526213339,3,2
1526216902,5,6
1526220529,3,1
1526224141,3,33
1526227734,7,3
1526231312,17,4
1526234921,19,1
1526238473,13,3
1526242133,1,0
1526245746,2,3
1526249324,3,4
1526252916,5,24
1526256510,9,7
1526260103,7,4
1526263714,3,15
1526267320,4,3
1526270922,2,14
1526274549,11,12
1526278108,37,0
1526281707,2,0
1526285305,3,2
1526288941,1,0
1526292524,4,22
1526296103,1,8
1526299730,5,7
1526303287,16,1
1526306897,3,14
1526310526,3,4
1526314139,4,3
1526317696,10,13
1526321324,3,6
1526324914,9,4
1526328505,1,8
1526332101,4,13
1526335710,3,2
1526339322,10,25
1526342929,7,0
1526346537,8,4
1526350110,8,4
1526353725,3,2
1526357317,19,8
1526360914,3,5
1526364524,9,5
1526368084,14,3
1526371734,0,13
1526375296,10,2
1526378901,8,9
1526382527,6,7
1526386104,9,0
1526389741,0,5
1526393314,3,13
1526396922,3,10
1526400532,5,19
1526404152,6,7
1526407717,15,10
1526411340,16,1
1526414941,2,6
1526418538,6,5
1526422135,2,7
1526425771,7,21
1526429367,26,5
1526432886,24,0
1526436522,2,4
1526440111,5,1
1526443696,3,4
1526447329,1,28
1526450914,17,8
1526454529,2,17
1526458118,12,13
1526461711,5,6
1526465312,1,7
1526468898,14,1
1526472497,27,4
1526476132,0,5
1526479722,1,0
1526483297,8,3
1526486904,5,28
1526490547,3,8
1526494110,22,1
1526497724,0,7
1526501284,12,3
1526504899,7,0
1526508495,3,8
1526512123,2,2
1526515727,2,17
1526519306,11,7
1526522928,15,4
1526526547,0,3
1526530106,16,1
1526533729,0,1
1526537326,0,5
1526540920,2,0
1526544496,1,38
1526548088,30,3
1526551734,7,2
1526555289,4,0
1526558896,5,2
1526562513,0,14
1526566103,6,6
1526569722,3,21
1526573299,11,7
1526576903,7,12
1526580529,1,13
1526584099,28,1
1526587719,4,7
1526591332,4,9
1526594935,5,3
1526598499,10,20
1526602093,14,2
1526605746,3,17
1526609347,6,5
1526612941,3,1
1526616539,7,13
1526620147,1,3
1526623722,19,4
1526627303,22,3
1526630931,0,2
1526638127,3,4
1526641708,6,30
1526645344,2,8
1526648957,13,4
1526652522,19,1
1526656144,4,7
1526659746,0,3
1526663335,1,9
1526666955,6,19
1526670518,14,7
1526674122,5,2
1526677721,5,7
1526681316,3,13
1526684924,9,11
1526688544,13,1
1526692136,19,1
1526695725,13,2
1526699332,2,1
1526702929,5,1
1526706516,1,6
1526710136,2,8
1526713752,3,13
1526717317,15,3
1526720915,8,3
1526724549,4,2
1526728123,2,2
1526731747,0,25
1526735300,17,9
1526738923,7,1
1526742551,6,3
1526746128,0,1
1526749731,1,24
1526753347,3,14
1526756925,16,3
1526760502,18,0
1526764144,2,9
1526767749,4,6
1526771293,27,2
1526774960,2,1
1526778505,2,0
1526782114,1,0
1526785716,1,6
1526789302,6,2
1526792913,2,1
1526796513,1,0
1526803735,0,1
1526807317,0,3
1526810918,0,32
1526814553,5,2
1526818136,0,2
1526821762,4,13
1526825322,20,7
1526828939,4,3
1526832506,4,3
1526836128,1,9
1526839715,15,10
1526843320,11,2
1526846906,6,1
1526850525,0,1
1526854159,1,6
1526857749,4,10
1526861367,12,8
1526864926,4,2
1526868551,3,3
1526872139,4,6
1526875729,1,23
1526879312,10,10
1526882940,5,3
1526886517,19,4
1526890126,2,6
1526893718,11,5
1526897328,19,0
1526900955,0,10
1526904535,1,0
1526908119,7,9
1526911720,3,7
1526915338,11,5
1526918947,5,1
1526922526,12,13
1526926134,9,6
1526929752,2,6
1526933298,5,1
1526936925,4,13
1526940534,6,7
1526944132,3,2
1526947752,3,9
1526951347,3,11
1526954915,14,4
1526958555,2,3
1526962108,9,7
1526965713,6,0
1526969328,0,4
1526972927,2,1
1526976525,12,11
1526980120,12,2
1526983691,0,2
1526987347,7,4
1526990958,0,7
1526994542,3,15
1526998149,5,4
1527001729,5,14
1527005313,23,15
1527008949,1,0
1527012528,6,0
1527016116,2,1
1527019737,1,41
1527023307,16,9
1527026898,20,3
1527030545,3,0
1527034147,11,3
1527037695,6,4
1527041281,6,6
1527044907,6,0
1527048510,2,11
1527052122,2,6
1527055738,2,2
1527059310,3,19
1527062911,15,3
1527066509,6,3
1527070108,8,1
1527073735,0,3
1527077311,10,8
1527080915,5,8
1527084495,5,15
1527088112,11,0
1527091726,4,9
1527095297,7,7
1527098911,5,7
1527102528,5,13
1527106123,5,9
1527109697,16,11
1527113315,4,4
1527116922,6,14
1527120529,3,3
1527124141,3,14
1527127701,11,4
1527131321,1,8
1527134897,10,7
1527138511,23,2
1527142110,1,9
1527145705,2,2
1527149296,1,9
1527152920,5,24
1527156523,15,1
1527160091,30,7
1527163707,7,3
1527167283,12,4
1527170898,10,6
1527174521,2,12
1527178077,18,6
1527181703,2,4
1527185304,3,6
1527188900,14,1
1527192506,0,17
1527196102,7,4
1527199693,4,3
1527203334,2,36
1527206910,51,2
1527210547,2,1
1527214129,0,1
1527217736,1,0
1527221303,3,11
1527224933,2,7
1527228507,6,3
1527232118,6,4
1527235705,7,6
1527239301,4,0
1527242902,3,5
