DateTime,AddedIPs,RemovedIPs
1525903246,76,316
1525907558,88,247
1525911515,80,245
1525915475,64,107
1525919557,64,98
1525921480,52,93
1525925568,59,57
1525929404,56,71
1525933233,50,181
1525937315,53,79
1525939478,66,94
1525943554,46,584
1525947627,60,494
1525951700,55,687
1525955798,55,398
1525959630,65,168
1525963703,152,106
1525965624,46,101
1525969379,68,77
1525973304,318,75
1525977314,222,70
1525981133,271,60
1525985313,131,56
1525989161,224,76
1525993898,227,62
1525996117,63,79
1526000201,54,63
1526004286,42,69
1526008376,65,60
1526012209,38,58
1526016277,40,65
1526018204,45,69
1526022045,51,71
1526025879,51,68
1526029957,61,80
1526031852,0,3147
1526322764,16331,0
1526324679,115,77
1526326613,156,82
1526328504,115,151
1526331050,255,122
1526333066,193,91
1526334897,865,67
1526336888,118,104
1526338773,157,62
1526340758,91,51
1526342559,93,1025
1526344592,123,1955
1526346660,161,1553
1526348920,127,75
1526350836,88,85
1526352771,78,69
1526354675,66,84
1526356615,83,71
1526358526,86,75
1526360453,144,61
1526362608,93,76
1526364760,116,94
1526366684,77,94
1526368829,194,97
1526370759,107,4235
1526372654,80,1098
1526375808,254,167
1526377860,106,85
1526379851,135,128
1526381704,139,87
1526383605,103,60
1526385664,151,72
1526387559,117,79
1526389365,97,89
1526391625,86,83
1526393552,78,57
1526395470,82,74
1526397400,86,65
1526399287,206,84
1526401178,83,82
1526403384,920,100
1526405312,2103,84
1526407242,138,85
1526409392,102,131
1526411337,112,94
1526413230,112,102
1526415820,124,113
1526417810,261,253
1526419688,446,126
1526421686,154,991
1526423805,90,191
1526425721,1966,89
1526427641,7811,92
1526429561,5885,110
1526431481,88,108
1526433398,103,131
1526435318,101,121
1526437239,63,82
1526439171,85,79
1526441077,77,70
1526443021,95,78
1526444916,78,146
1526447899,171,184
1526449726,79,85
1526451767,70,105
1526453767,93,87
1526455625,4508,166
1526457627,5499,104
1526459464,1694,78
1526461717,104,194
1526463628,147,102
1526465549,76,95
1526467479,84,138
1526469392,71,143
1526471311,102,141
1526473234,78,188
1526475147,137,120
1526477075,119,80
1526478999,78,80
1526480898,102,71
1526482864,116,104
1526484743,103,165
1526486688,98,84
1526488612,76,80
1526490489,90,102
1526492408,82,76
1526494274,148,104
1526496255,154,106
1526498107,97,106
1526500089,103,109
1526501933,69,96
1526503863,129,222
1526505867,107,424
1526507767,83,193
1526509664,90,102
1526511717,1429,157
1526513797,112,7441
1526515722,429,5667
1526517634,103,101
1526519559,84,115
1526521455,116,100
1526523406,128,73
1526525318,115,85
1526527229,98,73
1526529158,118,90
1526531078,113,82
1526532995,104,70
1526534902,104,73
1526536847,99,76
1526538757,91,60
1526540678,89,581
1526542572,91,6185
1526544526,82,5987
1526546435,80,596
1526548362,95,100
1526550263,76,141
1526552200,116,83
1526554090,81,81
1526556035,83,104
1526557954,85,68
1526560098,119,127
1526562063,197,124
1526564199,645,104
1526566093,6122,102
1526568009,6159,92
1526569935,618,122
1526571849,56,871
1526574027,65,1643
1526575944,81,87
1526577875,87,81
1526579780,71,58
1526581703,65,92
1526583649,65,77
1526585568,192,77
1526587476,521,63
1526589405,61,122
1526591305,85,82
1526593231,120,78
1526595158,104,85
1526597937,131,1603
1526599953,167,77
1526601914,125,94
1526603801,60,104
1526605774,108,84
1526607633,134,102
1526609610,79,117
1526611455,83,108
1526613428,125,115
1526615333,88,104
1526617285,80,115
1526619154,145,103
1526621172,86,119
1526622978,62,88
1526624961,98,104
1526627799,137,135
1526629716,92,98
1526631632,98,78
1526633553,68,99
1526635474,105,107
1526637375,104,73
1526639319,164,114
1526641253,110,89
1526643154,86,104
1526645079,122,88
1526647231,135,122
1526649379,100,142
1526651313,109,3271
1526653244,89,6174
1526655264,101,4739
1526657314,168,60
1526659241,275,61
1526661159,94,83
1526663436,318,110
1526665450,125,85
1526667572,93,77
1526669531,119,67
1526671708,117,89
1526673643,112,784
1526675546,141,86
1526677467,132,82
1526679397,104,126
1526681314,80,178
1526683179,120,142
1526685469,115,107
1526687312,65,1450
1526689206,78,90
1526691128,84,92
1526693049,87,139
1526696213,178,164
1526698346,87,100
1526700273,61,163
1526702196,89,57
1526704103,102,88
1526706040,98,147
1526707948,76,92
1526709889,72,85
1526711781,98,90
1526713719,167,115
1526715619,78,101
1526717578,81,103
1526719466,70,75
1526721390,93,104
1526723302,545,88
1526725219,462,152
1526727312,170,141
1526729677,91,105
1526731487,71,112
1526733555,103,130
1526735662,205,87
1526737606,88,109
1526739625,88,93
1526741515,1846,102
1526743451,5834,135
1526745385,3645,141
1526747288,67,100
1526749248,102,405
1526751143,1352,186
1526753009,108,101
1526754970,805,132
1526756841,99,115
1526758809,109,99
1526760616,145,115
1526762437,114,96
1526764462,96,247
1526766488,134,101
1526768295,80,91
1526770112,122,108
1526772130,130,105
1526774185,91,70
1526776044,93,73
1526779004,146,109
1526780919,92,119
1526782831,83,78
1526784746,78,73
1526786760,95,76
1526788595,136,78
1526790502,78,194
1526792444,196,87
1526794367,79,66
1526796296,92,66
1526798203,388,105
1526800124,131,148
1526802043,91,79
1526803967,127,67
1526805881,79,63
1526807806,80,87
1526809723,110,66
1526811640,127,797
1526813558,215,165
1526815838,169,103
1526818740,1268,111
1526820610,85,119
1526822524,156,82
1526824350,172,78
1526826391,104,89
1526828197,108,2708
1526830182,151,5802
1526832070,69,2634
1526834099,86,72
1526836361,88,137
1526838274,97,1526
1526840183,84,108
1526842119,108,684
1526844035,96,98
1526846200,115,136
1526848094,150,139
1526850024,81,125
1526852213,121,123
1526854117,68,91
1526857488,157,237
1526859381,162,80
1526861449,513,106
1526863455,916,106
1526865382,1024,76
1526867288,1968,74
1526869153,619,80
1526871129,174,75
1526873018,110,98
1526874966,123,224
1526876817,206,76
1526878822,127,101
1526880994,374,75
1526882929,141,95
1526884832,194,137
1526886786,94,136
1526888676,110,87
1526890585,97,131
1526892562,132,81
1526894424,476,75
1526896373,1746,123
1526898299,2166,115
1526900221,904,209
1526902104,110,136
1526904084,125,126
1526905961,96,105
1526907877,220,125
1526909949,3084,141
1526911859,5733,93
1526913851,2514,108
1526915768,136,141
1526917706,163,93
1526919902,127,84
1526921797,98,85
1526923702,129,88
1526926975,188,174
1526928984,185,98
1526930835,78,84
1526933087,105,109
1526935037,67,154
1526937193,147,106
1526939100,102,79
1526941273,99,80
1526943197,71,106
1526945089,82,124
1526947102,80,273
1526948927,75,691
1526950894,55,776
1526952768,56,1476
1526954701,45,1370
1526956625,54,107
1526958564,72,173
1526960433,72,86
1526962630,98,157
1526964543,58,181
1526966700,64,463
1526968609,75,102
1526970539,74,241
1526973396,123,135
1526975554,4307,146
1526977490,313,103
1526979426,427,264
1526981330,615,454
1526983259,446,1891
1526985167,84,1804
1526987070,81,435
1526988991,98,138
1526990913,88,116
1526992864,109,111
1526994761,348,123
1526996716,65,4136
1526998596,269,5550
1527000509,329,1501
1527002429,964,140
1527004365,157,157
1527006285,82,110
1527008180,64,86
1527010123,65,138
1527012071,59,90
1527014217,138,203
1527016132,125,116
1527018044,193,82
1527019976,109,93
1527021893,87,80
1527024185,85,147
1527026079,266,129
1527028113,194,78
1527030069,183,70
1527031968,201,70
1527033894,144,92
1527036021,125,68
1527037968,109,62
1527039890,295,50
1527041797,519,50
1527043714,323,64
1527045628,387,77
1527047581,284,64
1527049481,103,84
1527051412,150,59
1527053322,129,66
1527056213,130,95
1527058182,114,81
1527060033,81,397
1527062107,80,4787
1527064350,100,307
1527066279,124,313
1527068193,156,620
1527070116,212,402
1527072021,220,74
1527074294,148,131
1527076355,108,95
1527078283,124,84
1527080193,90,96
1527082104,76,99
1527084797,95,233
1527086661,68,136
1527088579,106,937
1527090504,3589,70
1527092423,2511,89
1527094608,2148,170
1527096497,66,65
1527098441,94,59
1527100347,121,127
1527102268,128,140
1527104196,122,237
1527106105,121,108
1527108019,121,344
1527109960,124,664
1527111901,374,709
1527113787,131,86
1527115968,103,137
1527117872,1663,120
1527119798,1298,138
1527121814,92,84
1527124597,83,142
1527126507,62,292
1527128695,69,491
1527130659,59,313
1527132527,64,483
1527134461,65,304
1527136378,116,68
1527138280,50,394
1527140229,514,119
1527142136,67,93
1527144048,56,100
1527145969,63,94
1527148136,77,86
1527150031,121,84
1527152016,63,103
1527153860,82,103
1527155799,1876,270
1527157716,2807,319
1527159635,53,283
1527161733,88,109
1527163963,98,137
1527165876,93,89
1527167777,180,80
1527169937,118,58
1527171873,75,72
1527174150,93,81
1527175966,76,1229
1527177963,84,3036
1527179811,95,2358
1527181853,114,687
1527183857,328,77
1527186042,102,126
1527187928,72,117
1527190109,115,156
1527192982,447,197
1527194905,125,92
1527196819,77,318
1527198752,67,147
1527200666,82,69
1527202578,82,73
1527204492,52,221
1527206669,195,91
1527208604,73,86
1527210515,84,56
1527212423,62,56
1527214366,66,55
1527216281,45,62
1527218195,69,59
1527220117,65,54
1527222027,75,86
1527223951,68,222
1527225875,75,629
1527227803,86,67
1527229707,1223,98
1527231658,268,331
1527233551,93,64
1527235490,67,66
1527237396,85,131
1527239310,92,92
1527241238,62,255
