DateTime,AddedIPs,RemovedIPs
1525359082,1,0
1525363255,1,0
1525367095,1,0
1525374758,2,0
1525389120,2,1
1525399246,0,1
1525407379,3,0
1525415087,0,1
1525419013,0,1
1525421059,1,0
1525425033,0,2
1525436690,0,1
1525444754,0,2
1525450821,0,1
1525454909,1,0
1525458771,0,1
1525463092,1,3
1525473175,1,2
1525477251,2,0
1525485170,1,0
1525489480,2,0
1525491395,2,1
1525495234,1,1
1525502915,2,0
1525507015,1,2
1525511121,2,0
1525519237,1,0
1525521156,1,0
1525528852,1,0
1525540617,1,0
1525544429,0,1
1525552140,1,0
1525554040,1,0
1525557899,1,0
1525562063,2,2
1525566027,0,1
1525570107,0,1
1525574218,0,1
1525576251,0,2
1525580120,0,1
1525584529,0,1
1525592668,0,2
1525596516,0,3
1525602282,0,1
1525606130,0,2
1525614019,1,0
1525617882,0,1
1525625804,1,0
1525627972,0,1
1525636849,1,0
1525640691,1,2
1525644540,0,1
1525650282,1,2
1525654123,2,0
1525657986,9,0
1525661803,17,0
1525665650,8,1
1525669476,6,0
1525673338,10,0
1525677171,6,0
1525681073,11,0
1525684846,7,0
1525686748,11,0
1525690582,8,0
1525694438,10,0
1525698277,5,1
1525702117,5,0
1525705961,11,0
1525710331,7,0
1525712445,4,1
1525716294,10,0
1525720127,11,1
1525723972,9,0
1525727808,7,1
1525731640,11,0
1525735706,8,0
1525739794,5,1
1525743629,2,5
1525745554,7,14
1525749392,12,10
1525753230,4,5
1525757078,3,8
1525760907,0,6
1525764753,1,7
1525768593,0,10
1525772431,1,8
1525776512,0,10
1525780597,0,8
1525784500,1,6
1525786714,0,4
1525790679,1,8
1525794521,2,10
1525798477,1,4
1525802199,1,10
1525806764,1,9
1525808939,0,9
1525812760,0,10
1525816599,0,5
1525821159,1,16
1525825266,1,8
1525829081,0,4
1525832894,1,6
1525835081,0,12
1525838939,0,11
1525842764,0,1
1525846600,0,2
1525858097,0,1
1525864109,1,0
1525868006,1,1
1525872037,0,1
1525876110,1,1
1525879948,0,2
1525887882,1,0
1525891711,0,1
1525893630,0,1
1525901306,1,0
1525905585,1,0
1525909480,0,2
1525917396,1,1
1525919561,1,0
1525953582,0,1
1525961811,1,1
1525971324,0,1
1525975253,0,1
1525979291,1,0
1525983392,1,0
1525987227,1,1
1525991067,1,1
1525993903,2,1
1525998279,1,0
1526002364,0,1
1526004290,1,1
1526008380,1,0
1526012213,1,0
1526016280,1,0
1526020106,1,0
1526027803,4,0
1526029960,1,0
1526031855,0,18
1526322769,52,0
1526324683,3,1
1526326616,2,1
1526331054,0,2
1526333069,0,1
1526334901,1,1
1526336892,1,0
1526338777,1,1
1526340762,2,1
1526344595,1,1
1526346664,1,1
1526348924,1,1
1526352779,1,1
1526356618,1,0
1526362612,1,1
1526366687,0,1
1526368833,1,0
1526370762,1,0
1526372658,1,0
1526374897,3,2
1526376763,0,1
1526378692,0,1
1526380581,1,1
1526384933,1,0
1526387093,1,1
1526388986,0,1
1526391167,0,3
1526393267,0,1
1526395229,2,0
1526399290,0,1
1526403388,1,0
1526405315,1,0
1526407307,3,3
1526409395,0,2
1526411350,1,1
1526413233,1,0
1526417814,2,0
1526419691,1,0
1526421737,0,1
1526423808,0,1
1526425724,1,1
1526427645,0,1
1526429565,1,1
1526431485,2,0
1526435322,0,2
1526437242,1,0
1526439178,1,2
1526441081,3,3
1526443024,0,3
1526444919,0,2
1526446902,0,1
1526448765,1,2
1526454543,1,0
1526456438,1,1
1526458343,0,2
1526460281,1,3
1526462208,1,1
1526466041,1,0
1526469874,1,0
1526473842,0,1
1526475699,0,1
1526477564,1,0
1526479468,1,0
1526481384,0,1
1526483305,0,1
1526485216,1,1
1526487175,3,1
1526489304,1,1
1526491236,2,1
1526493144,1,0
1526495075,2,0
1526497000,2,0
1526498919,0,1
1526500898,2,1
1526502748,1,0
1526504675,1,2
1526508528,1,2
1526511721,1,3
1526513801,2,0
1526515725,3,1
1526519563,1,3
1526521459,4,1
1526523410,1,1
1526525322,3,0
1526527233,2,1
1526529162,0,2
1526531081,1,0
1526534905,1,1
1526536903,0,1
1526542576,1,1
1526546438,3,0
1526548365,2,1
1526552203,0,2
1526554093,1,0
1526557957,0,1
1526564202,1,1
1526566096,1,1
1526568013,1,0
1526571853,1,1
1526574030,1,4
1526575947,1,1
1526577878,2,3
1526581706,1,2
1526583701,2,1
1526585570,5,0
1526587478,3,2
1526589407,1,1
1526595160,1,2
1526597939,2,1
1526599954,0,1
1526601917,0,1
1526603803,2,0
1526605776,1,2
1526607635,3,3
1526609612,1,1
1526611457,0,2
1526613430,1,1
1526617287,2,2
1526619156,2,0
1526621174,0,1
1526624963,0,1
1526627801,1,0
1526629717,0,1
1526633555,0,4
1526635476,10,0
1526637377,1,0
1526639322,0,1
1526641287,1,0
1526645080,1,0
1526647234,0,1
1526649382,2,1
1526651315,1,1
1526653246,1,1
1526655266,0,2
1526659298,0,3
1526663439,0,1
1526665453,0,2
1526667574,0,1
1526669533,1,1
1526671710,1,4
1526673693,0,1
1526675547,1,2
1526677468,1,1
1526679398,3,0
1526681315,0,1
1526683181,2,1
1526685471,1,0
1526687313,1,0
1526689208,3,0
1526691129,0,2
1526693051,1,1
1526696214,2,1
1526700274,1,0
1526704104,1,2
1526706084,2,3
1526707949,1,0
1526709891,1,1
1526711783,0,1
1526713720,2,1
1526715621,0,2
1526719467,2,1
1526721391,1,2
1526723303,1,0
1526725220,0,1
1526729678,0,1
1526731488,1,1
1526733557,1,0
1526735664,2,0
1526737608,2,2
1526739626,0,2
1526741516,1,1
1526747290,1,0
1526751146,3,1
1526756843,0,1
1526758811,0,1
1526760618,0,1
1526762439,1,0
1526764464,1,1
1526766489,1,2
1526770113,2,11
1526772132,3,1
1526774187,2,2
1526776046,1,2
1526779006,5,1
1526780920,2,0
1526782833,0,1
1526786761,1,0
1526788597,0,1
1526792494,2,1
1526796297,1,1
1526798204,1,0
1526800125,0,1
1526802045,1,2
1526805883,0,1
1526807808,1,0
1526809725,0,1
1526811650,1,1
1526815840,1,0
1526817700,0,3
1526821982,0,2
1526823858,0,2
1526827697,0,1
1526829642,1,0
1526833482,1,0
1526835399,1,0
1526837323,3,3
1526839298,1,0
1526841160,2,0
1526843088,1,0
1526844978,1,0
1526846930,1,1
1526848841,1,0
1526850772,2,1
1526852685,1,1
1526854603,2,0
1526857491,0,2
1526859384,2,2
1526861453,1,2
1526863458,2,1
1526865385,3,0
1526867291,1,2
1526869159,1,0
1526873021,1,0
1526874970,1,0
1526878906,0,4
1526880997,1,0
1526882932,0,1
1526884836,1,0
1526888679,1,1
1526890588,0,1
1526894427,2,0
1526896377,2,0
1526898303,1,1
1526902107,0,1
1526904103,0,1
1526907880,1,0
1526909952,0,1
1526915772,0,2
1526919906,0,2
1526921800,0,1
1526923706,0,2
1526925695,1,1
1526927579,2,4
1526929499,0,2
1526931627,1,2
1526934688,0,2
1526936696,1,2
1526938825,1,1
1526940787,1,2
1526943202,1,0
1526945094,2,0
1526947106,3,4
1526948932,2,2
1526950912,1,2
1526952773,1,1
1526954761,4,3
1526956721,2,0
1526958569,2,1
1526960438,1,0
1526970544,0,1
1526978446,1,0
1526980374,0,2
1526982295,0,2
1526984227,0,2
1526986125,0,1
1526988496,1,0
1526990582,1,2
1526992408,1,0
1526994291,0,2
1526996721,1,0
1527002432,1,0
1527004368,0,1
1527006288,1,0
1527010127,1,3
1527012104,1,1
1527014221,5,1
1527016137,2,0
1527019980,1,0
1527021897,1,0
1527024189,1,0
1527026083,1,0
1527028117,1,1
1527030143,1,1
1527031971,2,0
1527033897,0,2
1527036025,4,1
1527037971,1,1
1527039893,0,3
1527041800,1,2
1527043717,1,1
1527045631,1,2
1527049484,1,0
1527051415,0,1
1527059091,1,0
1527062938,0,1
1527064867,0,1
1527068696,0,1
1527073005,1,1
1527074930,1,2
1527076942,0,1
1527080683,1,0
1527082606,0,2
1527084800,1,0
1527086664,1,0
1527090508,0,1
1527092428,1,1
1527096501,1,0
1527098494,1,0
1527100350,1,3
1527102272,2,1
1527104200,0,1
1527106108,1,2
1527108022,1,1
1527109963,2,1
1527113791,3,1
1527115971,2,1
1527117876,3,1
1527119802,2,0
1527121818,2,2
1527123727,2,0
1527125574,1,1
1527127929,1,2
1527129852,1,0
1527131788,5,1
1527143670,0,1
1527145971,1,1
1527152019,1,0
1527153863,8,0
1527159700,1,0
1527161736,1,1
1527163966,1,0
1527165879,1,3
1527169939,0,1
1527171876,0,2
1527174153,2,0
1527177965,0,2
1527179814,1,0
1527181856,0,2
1527186045,1,1
1527190112,3,2
1527192045,0,1
1527193947,0,2
1527195877,0,3
1527197800,1,0
1527199713,0,1
1527201934,0,1
1527203785,0,2
1527205889,1,3
1527207872,1,3
1527212916,1,2
1527216284,3,0
1527218198,0,3
1527222031,2,0
1527223954,3,0
1527225878,3,0
1527227806,1,0
1527229711,0,1
1527231698,0,1
1527233553,1,0
1527237397,0,2
1527241240,0,3
