DateTime,AddedIPs,RemovedIPs
1525361199,1,5
1525440757,0,14
1525446999,1,1
1525466932,3,0
1525532934,0,1
1525550204,0,3
1525586188,1,0
1525590048,1,0
1525602283,1,0
1525619813,1,0
1525623891,1,0
1525634932,1,0
1525640692,3,0
1525659879,1,0
1525675247,0,1
1525679083,1,1
1525686749,0,1
1525705962,0,1
1525710332,0,1
1525720128,0,1
1525727809,0,3
1525731641,1,0
1525745555,0,1
1525762840,0,1
1525816601,8,1
1525854279,29,0
1525868007,2,0
1525881907,1,0
1525903250,0,2
1525939482,0,29
1525955804,0,8
1525957725,1,0
1525969384,0,1
1525996122,1,0
1526031856,0,2
1526322770,1066,0
1526324683,18,8
1526326617,12,13
1526328508,12,13
1526331054,14,14
1526333070,13,17
1526334902,1476,3
1526336893,15,9
1526338778,39,5
1526340763,13,8
1526342563,8,7
1526344596,8,13
1526346665,14,5
1526348924,4,9
1526350841,2,5
1526352780,6,3
1526354679,5,9
1526356619,8,5
1526358530,9,33
1526360538,67,4
1526362613,3,11
1526364765,8,22
1526366688,12,10
1526368833,11,22
1526370763,6,6
1526372659,7,4
1526374898,19,7
1526376763,15,7
1526378693,8,17
1526380582,7,5
1526382634,4,5
1526384934,10,5
1526387094,10,3
1526388987,16,12
1526391167,9,2
1526393268,4,4
1526395230,8,6
1526397405,6,1
1526399291,146,9
1526401182,3,3
1526403389,889,8
1526405316,2159,3
1526407308,58,5
1526409396,0,6
1526411352,4,9
1526413233,5,8
1526415824,3,14
1526417815,8,3
1526419692,283,24
1526421738,3,1009
1526423809,4,41
1526425725,433,8
1526427646,477,8
1526429566,134,4
1526431486,12,3
1526433403,4,7
1526435323,9,2
1526437243,2,2
1526439180,3,3
1526441082,6,3
1526443025,3,3
1526444920,2,65
1526446903,62,61
1526448767,4,2
1526450690,3,4
1526452596,2,4
1526454544,1,7
1526456439,8,3
1526458344,7,6
1526460282,22,4
1526462210,0,8
1526464124,5,10
1526466042,3,3
1526467943,1,3
1526469876,4,5
1526471800,25,4
1526473843,6,36
1526475700,3,13
1526477565,2,7
1526479469,2,2
1526481385,3,4
1526483306,8,6
1526485217,2,125
1526487176,34,2
1526489305,4,3
1526491237,3,2
1526493145,4,52
1526495076,5,1
1526497001,4,3
1526498921,5,2
1526500899,10,3
1526502749,8,2
1526504676,13,5
1526506606,5,298
1526508529,4,4
1526511722,10,34
1526513802,36,551
1526515727,555,6
1526517639,9,4
1526519564,13,4
1526521460,12,6
1526523411,11,2
1526525323,6,3
1526527234,4,3
1526529163,5,4
1526531083,7,1
1526532999,15,2
1526534906,11,3
