DateTime,AddedIPs,RemovedIPs
1521863546,1,1
1521865454,3,2
1521867495,1,1
1521869540,0,1
1521871470,0,1
1521873626,1,1
1521877479,0,1
1521881322,0,1
1521887075,1,0
1521890905,2,0
1521892924,1,0
1521894746,1,0
1521896687,2,0
1521898584,1,0
1521900506,1,0
1521904353,1,0
1521906274,2,0
1521908199,1,0
1521910108,1,0
1521916101,2,0
1521918077,1,0
1521923822,1,0
1521925710,1,0
1521927637,3,0
1521931461,0,25
1521933397,1,2
1521935300,1,0
1521939137,0,3
1521941074,0,1
1521942980,1,3
1521944912,0,2
1521946938,0,1
1521951153,2,2
1521956914,1,3
1521961100,1,1
1521973470,0,1
1521976350,1,1
1521978265,0,2
1521984807,1,4
1521986838,0,2
1521990578,0,1
1521994411,0,3
1521996256,0,1
1521998247,3,0
1522005724,3,3
1522011682,3,2
1522013846,4,2
1522015771,0,1
1522019794,0,1
1522021762,0,1
1522027691,0,1
1522037308,0,2
1522043060,0,1
1522046923,0,1
1522054591,1,0
1522056552,2,0
1522062996,0,1
1522068933,0,1
1522070902,1,0
1522076923,1,0
1522078838,1,0
1522080863,1,0
1522084603,1,2
1522086521,1,1
1522088424,1,1
1522090359,0,1
1522092271,1,1
1522094201,1,0
1522096110,1,0
1522100294,3,5
1522102400,1,0
1522104528,2,0
1522107851,1,0
1522114094,2,0
1522122033,3,0
1522131857,3,0
1522133772,1,0
1522135711,3,0
1522139555,1,0
1522141474,0,1
1522143401,0,1
1522145324,2,0
1522147941,2,0
1522149869,3,0
1522152121,1,0
1522156092,1,0
1522157961,0,1
1522160199,2,0
1522162118,0,1
1522164030,2,0
1522166214,1,1
1522168103,1,1
1522170093,1,3
1522171953,1,0
1522173889,1,2
1522175787,1,0
1522179632,2,1
1522181564,0,2
1522183475,2,0
1522185402,0,2
1522187325,0,1
1522189660,2,1
1522191808,0,3
1522193785,2,0
1522195716,1,0
1522197622,1,0
1522199551,0,1
1522201730,0,1
1522214297,2,3
1522216486,0,2
1522219707,1,1
1522223618,1,4
1522238704,3,10
1522241091,0,13
1522243435,13,0
1522247833,0,3
1522249717,0,1
1522251624,0,1
1522253623,0,1
1522276485,0,9
1522278331,0,2
1522282521,0,3
1522286693,0,1
1522300114,0,1
1522307792,0,1
1522311635,0,1
1522319311,0,1
1522323158,0,2
1522325055,0,1
1523307090,0,0
1526322771,171,0
1526324685,3,7
1526326619,4,6
1526328509,2,9
1526331056,1,8
1526333071,6,6
1526334903,5,10
1526336894,3,5
1526338779,4,1
1526340764,2,2
1526342565,1,6
1526344598,2,7
1526346666,0,3
1526348926,6,8
1526350842,1,3
1526352805,0,1
1526354681,4,6
1526356621,1,4
1526358533,1,6
1526360540,1,10
1526362615,4,1
1526364767,2,2
1526366691,3,3
1526368835,1,4
1526370765,1,0
1526372661,0,1
1526374900,2,2
1526378695,0,3
1526380584,1,2
1526382635,1,2
1526384936,3,1
1526387096,4,1
1526388989,2,1
1526391169,1,3
1526393270,0,3
1526395232,3,6
1526397407,1,4
1526399293,1,2
