DateTime,Entries,UniqueIPs
1521861611,47,47
1521863546,47,47
1521865454,48,48
1521867495,48,48
1521869540,47,47
1521871470,46,46
1521873626,46,46
1521877479,45,45
1521881322,44,44
1521887075,45,45
1521890905,47,47
1521892924,48,48
1521894746,49,49
1521896687,51,51
1521898584,52,52
1521900506,53,53
1521904353,54,54
1521906274,56,56
1521908199,57,57
1521910108,58,58
1521916101,60,60
1521918077,61,61
1521923822,62,62
1521925710,63,63
1521927637,66,66
1521931461,41,41
1521933397,40,40
1521935300,41,41
1521939137,38,38
1521941074,37,37
1521942980,35,35
1521944912,33,33
1521946938,32,32
1521951153,32,32
1521956914,30,30
1521961100,30,30
1521973470,29,29
1521976350,29,29
1521978265,27,27
1521984807,24,24
1521986838,22,22
1521990578,21,21
1521994411,18,18
1521996256,17,17
1521998247,20,20
1522005724,20,20
1522011682,21,21
1522013846,23,23
1522015771,22,22
1522019794,21,21
1522021762,20,20
1522027691,19,19
1522037308,17,17
1522043060,16,16
1522046923,15,15
1522054591,16,16
1522056552,18,18
1522062996,17,17
1522068933,16,16
1522070902,17,17
1522076923,18,18
1522078838,19,19
1522080863,20,20
1522084603,19,19
1522086521,19,19
1522088424,19,19
1522090359,18,18
1522092271,18,18
1522094201,19,19
1522096110,20,20
1522100294,18,18
1522102400,19,19
1522104528,21,21
1522107851,22,22
1522114094,24,24
1522122033,27,27
1522131857,30,30
1522133772,31,31
1522135711,34,34
1522139555,35,35
1522141474,34,34
1522143401,33,33
1522145324,35,35
1522147941,37,37
1522149869,40,40
1522152121,41,41
1522156092,42,42
1522157961,41,41
1522160199,43,43
1522162118,42,42
1522164030,44,44
1522166214,44,44
1522168103,44,44
1522170093,42,42
1522171953,43,43
1522173889,42,42
1522175787,43,43
1522179632,44,44
1522181564,42,42
1522183475,44,44
1522185402,42,42
1522187325,41,41
1522189660,42,42
1522191808,39,39
1522193785,41,41
1522195716,42,42
1522197622,43,43
1522199551,42,42
1522201730,41,41
1522214297,40,40
1522216486,38,38
1522219707,38,38
1522223618,35,35
1522238704,28,28
1522241091,15,15
1522243435,28,28
1522247833,25,25
1522249717,24,24
1522251624,23,23
1522253623,22,22
1522276485,13,13
1522278331,11,11
1522282521,8,8
1522286693,7,7
1522300114,6,6
1522307792,5,5
1522311635,4,4
1522319311,3,3
1522323158,1,1
1522325055,0,0
1526322771,171,171
1526324685,167,167
1526326619,165,165
1526328509,158,158
1526331056,151,151
1526333071,151,151
1526334903,146,146
1526336894,144,144
1526338779,147,147
1526340764,147,147
1526342565,142,142
1526344598,137,137
1526346666,134,134
1526348926,132,132
1526350842,130,130
1526352805,129,129
1526354681,127,127
1526356621,124,124
1526358533,119,119
1526360540,110,110
1526362615,113,113
1526364767,113,113
1526366691,113,113
1526368835,110,110
1526370765,111,111
1526372661,110,110
1526374900,110,110
1526378695,107,107
1526380584,106,106
1526382635,105,105
1526384936,107,107
1526387096,110,110
1526388989,111,111
1526391169,109,109
1526393270,106,106
1526395232,103,103
1526397407,100,100
1526399293,99,99
1526401185,102,102
1526403391,102,102
1526405318,102,102
1526407310,98,98
1526409398,96,96
1526411355,93,93
1526413235,91,91
1526415825,93,93
1526417816,94,94
1526419693,92,92
1526421739,89,89
1526423810,95,95
1526425727,94,94
1526427648,93,93
1526429567,92,92
1526431487,97,97
1526433405,104,104
1526435325,102,102
1526437245,108,108
1526439182,114,114
1526441084,111,111
1526443026,112,112
1526444922,112,112
1526446905,114,114
1526448768,111,111
1526450692,113,113
1526452598,112,112
1526454547,113,113
1526456441,113,113
1526460285,114,114
1526462212,113,113
1526464126,119,119
1526467946,118,118
1526469878,115,115
1526471803,114,114
1526473845,113,113
1526475702,112,112
1526477567,111,111
1526479471,112,112
1526481387,110,110
1526485219,115,115
1526487179,117,117
1526489307,112,112
1526491239,116,116
1526493147,119,119
1526495077,128,128
1526497002,127,127
1526498922,127,127
1526500901,125,125
1526502751,124,124
1526504678,120,120
1526506608,119,119
1526508532,117,117
1526511724,117,117
1526513803,113,113
1526517640,108,108
1526519566,99,99
1526521462,96,96
1526523412,89,89
1526525324,84,84
1526527235,83,83
1526529164,81,81
1526533001,77,77
1526534907,75,75
1526536906,71,71
1526538763,70,70
1526540685,66,66
1526542579,65,65
1526548368,63,63
1526550270,57,57
1526557960,56,56
1526560105,54,54
1526562089,58,58
1526564205,60,60
1526566099,62,62
1526569942,61,61
1526571856,54,54
1526574033,51,51
1526575950,57,57
1526577881,54,54
1526579786,53,53
1526581709,43,43
1526583704,43,43
1526585573,44,44
1526587480,48,48
1526589409,47,47
1526591309,49,49
1526593235,52,52
1526595163,52,52
1526597942,44,44
1526599957,45,45
1526603806,46,46
1526619159,47,47
1526621176,48,48
1526626879,49,49
1526628842,50,50
1526630713,52,52
1526632643,54,54
1526642203,56,56
1526648538,51,51
1526650358,51,51
1526652286,49,49
1526654173,49,49
1526658254,52,52
1526660440,55,55
1526662339,48,48
1526664274,43,43
1526666203,41,41
1526668368,39,39
1526670268,37,37
1526672211,34,34
1526674133,32,32
1526676064,34,34
1526677967,32,32
1526679871,31,31
1526681814,30,30
1526685882,30,30
1526688084,31,31
1526689966,32,32
1526691869,33,33
1526693781,34,34
1526695923,35,35
1526697888,40,40
1526699810,41,41
