DateTime,AddedIPs,RemovedIPs
1525149456,1,0
1525164848,1,0
1525172627,1,0
1525186595,0,1
1525190423,0,1
1525198544,1,0
1525202679,0,1
1525206502,1,0
1525210361,0,1
1525237982,0,1
1525249734,1,0
1525253818,0,1
1525255744,0,1
1525284454,0,1
1525292139,1,0
1525294359,0,1
1525335663,0,1
1525347409,1,0
1525372835,1,0
1525376919,0,1
1525393003,1,0
1525397081,1,0
1525401155,1,0
1525419016,1,0
1525434739,0,1
1525450824,1,0
1525460929,0,1
1525469098,1,0
1525477255,0,1
1525481092,1,0
1525485173,0,2
1525504840,0,1
1525519241,1,0
1525531004,1,0
1525534848,1,1
1525557903,0,1
1525562067,1,0
1525570111,0,1
1525602286,0,1
1525617886,0,1
1525621731,0,1
1525646447,0,1
1525723478,1,0
1525770042,1,0
1525778194,1,0
1525810838,0,1
1525856186,0,1
1525862228,0,1
1525887886,1,0
1525895560,4,0
1525899392,2,0
1525903251,1,0
1525919565,1,0
1525923658,2,0
1525937321,1,0
1525977322,0,1
1525979295,0,1
1525983396,0,3
1525987231,0,2
1525991071,0,1
1526004295,1,1
1526008385,0,2
1526025886,0,1
1526031858,0,1
1526322772,71,0
1526324685,0,1
1526326619,3,0
1526328510,1,1
1526331056,0,2
1526333072,3,1
1526334904,4,2
1526336895,2,6
1526340765,4,0
1526342565,0,3
1526344598,2,2
1526346666,3,2
1526348926,0,1
1526350842,0,1
1526352832,1,3
1526354681,2,2
1526356622,1,0
1526358533,2,0
1526360540,2,2
1526362615,2,0
1526364767,2,2
1526366691,0,2
1526368836,3,1
1526370766,1,2
1526372661,3,0
1526374900,0,2
1526378695,1,0
1526380584,1,1
1526382636,3,0
1526384936,4,0
1526387097,0,2
1526388989,2,0
1526391170,2,1
1526393270,0,1
1526395232,3,0
1526397407,1,2
1526399293,1,0
1526401185,1,0
1526403391,2,1
1526405319,1,1
1526407310,2,1
1526409399,0,1
1526411355,2,1
1526413235,1,2
1526415826,2,1
1526417817,1,0
1526419693,0,3
1526421739,1,3
1526423811,0,2
1526425727,0,2
1526427648,3,2
1526429568,2,0
1526431488,2,2
1526433405,0,3
1526437245,0,1
1526439183,1,1
1526441085,0,2
1526443027,1,1
1526444922,0,2
1526446905,1,2
1526448768,1,2
1526450692,0,2
1526452598,2,0
1526454547,1,1
1526456441,2,2
1526458347,0,4
1526460285,2,1
1526462212,1,0
1526464126,2,0
1526466045,0,2
1526467946,2,2
1526469878,2,2
1526471803,1,3
1526473846,3,0
1526475703,0,1
1526477567,1,2
1526479472,4,0
1526481387,0,2
1526483309,2,1
1526485220,2,1
1526487179,1,1
1526489307,1,2
1526491240,0,1
1526493148,0,1
1526495078,0,1
1526497003,0,1
1526498923,1,2
1526500901,5,0
1526502751,4,1
1526504678,3,2
1526506608,3,0
1526508533,3,1
1526511724,5,0
1526513804,2,2
1526515728,4,1
1526517641,0,2
1526519566,1,0
1526523413,1,0
1526525324,0,1
1526529164,0,1
1526533001,0,1
1526534908,0,1
1526536906,3,0
1526538763,0,2
1526540686,1,0
1526542579,1,3
1526544532,2,0
1526546441,1,2
1526548368,2,1
1526550270,2,1
1526552206,2,1
1526554096,1,3
1526556041,1,2
1526557960,3,1
1526560105,0,3
1526562089,1,0
1526564205,2,1
1526566100,2,4
1526569942,1,2
1526571856,0,2
1526574034,0,1
1526575951,1,1
1526581709,3,0
1526585573,3,2
1526587481,1,5
1526589410,0,3
1526591310,0,3
1526593235,0,1
1526595163,0,4
1526597942,0,5
1526599957,0,1
1526601920,1,6
1526603806,0,1
1526605779,1,1
1526609615,0,1
1526615337,1,0
1526619159,2,0
1526622982,0,2
1526624966,0,1
1526626888,0,1
1526628843,2,1
1526630713,1,2
1526632644,3,1
1526634522,1,2
1526636464,2,2
1526638366,1,2
1526640334,1,1
1526642203,1,1
1526644169,0,3
1526646358,3,0
1526648538,3,1
1526650359,3,2
1526652287,0,2
1526654173,1,0
1526656399,1,1
1526658255,1,0
1526662339,2,3
1526664275,2,0
1526666204,1,0
1526668368,2,3
1526670269,3,0
1526672211,2,3
1526674133,2,1
1526677967,2,0
1526679871,1,0
1526683962,3,0
1526688089,2,1
1526689967,4,0
1526691869,1,2
1526693781,1,0
1526699810,1,0
1526701723,0,1
1526703626,3,0
1526705566,0,2
1526715146,0,2
1526717085,1,1
1526718999,0,3
1526720931,0,1
1526722842,0,2
1526724752,0,1
1526726688,0,1
