DateTime,AddedIPs,RemovedIPs
1521863549,1,1
1521865456,3,2
1521867497,1,1
1521869543,0,1
1521871472,0,1
1521873628,1,1
1521877481,0,1
1521881325,0,1
1521887078,1,0
1521890908,2,0
1521892927,1,0
1521894749,1,0
1521896690,2,0
1521898586,1,0
1521900509,1,0
1521904355,1,0
1521906277,2,0
1521908202,1,0
1521910110,1,0
1521916103,2,0
1521918080,1,0
1521923825,1,0
1521925713,1,0
1521927640,3,0
1521931464,0,25
1521933400,1,2
1521935303,1,0
1521939140,0,3
1521941077,0,1
1521942983,1,3
1521944915,0,2
1521946940,0,1
1521951155,2,2
1521956917,1,3
1521961103,1,1
1521973473,0,1
1521976353,1,1
1521978268,0,2
1521984810,1,4
1521986840,0,2
1521990581,0,1
1521994415,0,3
1521996258,0,1
1521998250,3,0
1522005726,3,3
1522010768,2,1
1522012584,2,1
1522014751,3,3
1522020766,0,1
1522022688,0,1
1522028427,0,1
1522036098,0,2
1522041996,0,1
1522047885,0,1
1522055592,3,0
1522063226,0,1
1522068935,0,1
1522070905,1,0
1522076928,1,0
1522078841,1,0
1522080866,1,0
1522084606,1,2
1522086525,1,1
1522088427,1,1
1522090362,0,1
1522092273,1,1
1522094204,1,0
1522096113,1,0
1522100296,3,5
1522102402,1,0
1522104531,2,0
1522107854,1,0
1522112244,1,0
1522114097,1,0
1522122036,3,0
1522131859,3,0
1522133775,1,0
1522135714,3,0
1522139558,1,0
1522141476,0,1
1522143404,0,1
1522145326,2,0
1522147944,2,0
1522149872,3,0
1522152125,1,0
1522156095,1,0
1522157964,0,1
1522160202,2,0
1522162121,0,1
1522164032,2,0
1522166216,1,1
1522168106,1,1
1522170095,1,3
1522171956,1,0
1522173892,1,2
1522175790,1,0
1522179634,2,1
1522181569,0,2
1522183479,2,0
1522185406,0,2
1522187329,0,1
1522189663,2,1
1522191814,0,3
1522193789,2,0
1522195720,1,0
1522197626,1,0
1522199555,0,1
1522201734,0,1
1522208245,0,3
1522214301,2,0
1522216507,0,2
1522219711,1,1
1522221769,0,4
1522223622,1,0
1522231468,1,2
1522239902,2,8
1522243437,1,1
1522246762,0,3
1522249721,0,1
1522251627,0,1
1522253627,0,1
1522276488,0,9
1522278334,0,2
1522282526,0,3
1522286695,0,1
1522300117,0,1
1522307795,0,1
1522311639,0,1
1522319314,0,1
1522323161,0,2
1522325058,0,1
1523307094,0,0
1526322776,171,0
1526324688,3,7
1526326622,4,6
1526328513,2,9
1526331059,1,8
1526333075,6,6
1526334907,5,10
1526336898,3,5
1526338783,4,1
1526340768,2,2
1526342568,1,6
1526344601,2,7
1526346669,0,3
1526348929,6,8
1526350846,1,3
1526352842,0,1
1526354684,4,6
1526356625,1,4
1526358536,1,6
1526360544,1,10
1526362619,4,1
1526364771,2,2
1526366694,3,3
1526368839,1,4
