DateTime,AddedIPs,RemovedIPs
1520593725,0,1
1520609548,0,1
1520611469,1,0
1520621086,1,1
1520630668,1,0
1520643158,1,0
1520649287,1,0
1520651309,0,1
1520655438,0,1
1520668895,0,1
1520670783,0,1
1520672669,0,1
1520697703,0,1
1520707487,0,1
1520722640,1,0
1520730996,0,1
1520737003,0,1
1520787955,1,0
1520796046,1,0
1520801792,0,1
1520809478,0,1
1520828932,1,0
1520842352,3,0
1520846443,2,0
1520848377,1,0
1520854103,4,0
1520856084,6,0
1520869719,2,0
1520873787,0,1
1520882680,1,1
1520892106,1,0
1520902105,1,0
1520904021,2,0
1520916030,0,1
1520919878,1,0
1520927575,0,3
1520929498,1,0
1520931387,0,1
1520933305,0,2
1520941005,0,9
1520942911,0,1
1520954427,2,0
1520956344,0,2
1520968133,1,0
1520978185,0,1
1520987783,1,1
1520989719,0,2
1520991622,1,0
1520999303,0,1
1521001229,1,0
1521005069,0,1
1521012766,1,0
1521016611,0,1
1521026440,1,0
1521028350,1,0
1521039987,1,0
1521041799,2,2
1521043628,1,0
1521047491,1,0
1521049458,1,0
1521055115,1,0
1521062828,1,0
1521074862,1,1
1521076820,0,1
1521084502,1,0
1521088339,0,1
1521092180,1,0
1521094114,1,0
1521099861,1,1
1521109465,0,1
1521113297,0,1
1521125012,0,1
1521127234,1,2
1521129179,0,1
1521131075,0,1
1521133324,0,1
1521135160,0,1
1521142826,0,1
1521160638,0,1
1521162687,1,0
1521170664,0,1
1521178359,0,2
1521180302,0,1
1521186024,0,1
1521216993,1,0
1521238132,1,0
1521241906,0,2
1521249439,0,1
1521253443,1,0
1521261309,1,0
1521295834,1,0
1521297640,1,0
1521303524,1,1
1521320926,2,0
1521325007,0,1
1521326947,1,0
1521334576,1,0
1521338491,0,1
1521348291,0,1
1521367950,1,0
1521381380,0,1
1521389075,0,1
1521406583,0,2
1521413737,0,2
1521421444,1,1
1521445000,1,0
1521452925,2,0
1521454830,0,1
1521458670,1,0
1521460596,1,0
1521466354,1,0
1521468289,1,0
1521472124,1,0
1521475966,1,0
1521487753,1,0
1521508345,0,1
1521522165,1,0
1521524236,1,0
1521532103,0,1
1521537858,1,1
1521539774,0,1
1521545473,0,1
1521547279,0,1
1521553144,0,1
1521555185,0,1
1521558978,0,1
1521566655,2,1
1521570536,1,0
1521574355,0,1
1521578176,1,0
1521581063,3,0
1521582984,1,0
1521589947,1,0
1521593775,1,0
1521595734,1,0
1521597695,1,0
1521601727,2,0
1521605547,1,0
1521607464,0,1
1521609397,2,0
1521611310,1,1
1521613221,1,0
1521617063,1,0
1521618994,2,0
1521620900,2,0
1521624745,2,1
1521626686,2,0
1521628581,2,0
1521634372,1,0
1521636271,1,0
1521645875,1,0
1521653550,0,2
1521657401,0,1
1521661248,1,0
1521665073,0,1
1521667080,0,3
1521672815,0,1
1521677566,0,1
1521679477,0,1
1521682433,0,1
1521685718,0,1
1521687772,0,2
1521693631,1,1
1521695546,0,2
1521697462,0,1
1521699393,0,1
1521703635,0,1
1521705875,1,2
1521707804,0,2
1521709725,0,1
1521711888,0,2
1521713787,0,3
1521715968,1,0
1521721723,0,2
1521723697,1,0
1521733248,0,1
1521746923,0,1
1521752928,1,0
1521762762,1,0
1521772363,1,0
1521778125,0,1
1521791552,0,1
1521793486,1,0
1521801879,0,1
1521807888,1,0
1521809791,0,1
1521840751,0,1
1521845713,1,0
1521857784,0,1
