DateTime,AddedIPs,RemovedIPs
1522185408,1,0
1522189666,0,2
1522191817,1,3
1522193791,2,1
1522195722,2,0
1522197628,1,2
1522199557,1,1
1522201736,2,2
1522204197,0,3
1522206287,5,0
1522208397,0,1
1522214303,4,2
1522216783,0,3
1522219713,3,4
1522221770,1,1
1522223624,3,2
1522241097,6,48
1522243439,22,0
1522246765,0,6
1522249723,0,3
1522251628,0,1
1522276490,0,17
1522278336,0,1
1522282528,0,3
1522286697,0,4
1522288602,0,2
1522292444,0,2
1522296297,0,4
1522300119,0,1
1522303964,0,2
1522307797,0,4
1522311640,0,4
1522323163,0,3
1522325059,0,2
1523313880,1,0
1523329492,1,0
1523370040,1,0
1523401727,1,0
1523405558,0,1
1523415642,1,1
1523423320,1,0
1523456432,0,1
1523488151,0,1
1523502042,0,1
1523507811,0,1
1523753804,1,0
1523776614,0,1
1524080609,1,0
1524123323,0,0
1524166603,0,1
1524604136,1,0
1524693639,0,1
1524789893,1,0
1524879410,0,1
1525166216,1,0
1525253824,0,1
1525339262,1,0
1525426864,0,1
1525746098,1,0
1525794997,1,0
1525837027,0,1
1525872046,1,0
1525881916,0,1
1525923663,1,0
1525957734,0,1
1526010284,0,1
1526322778,58,0
1526324690,1,1
1526328515,1,1
1526331061,8,0
1526333077,1,1
1526336900,0,1
1526338785,0,1
1526340769,1,0
1526342570,0,1
1526344603,1,2
1526346671,4,0
1526348931,1,1
1526350847,1,1
1526352891,1,1
1526354890,2,3
1526356829,5,1
1526358741,2,3
1526360545,4,0
1526362620,2,5
1526364773,2,3
1526366696,0,1
1526368841,2,4
1526370771,2,1
1526372665,1,0
1526374905,4,2
1526376769,5,0
1526378700,0,2
1526380589,4,2
1526382640,2,4
1526384941,2,0
1526387102,0,1
1526388994,1,2
1526391174,2,2
1526393276,2,2
1526397412,2,0
1526403396,1,0
1526405324,1,0
1526407315,1,0
1526411362,1,1
1526415830,2,0
1526417821,1,8
1526419697,3,0
1526421744,3,0
1526425732,1,1
1526427653,1,2
1526429573,2,1
1526431493,3,1
1526433410,9,3
1526435331,3,1
1526437251,0,1
1526439193,4,1
1526441090,15,2
1526443032,2,4
1526444927,3,2
1526446910,1,3
1526448774,5,3
1526450697,5,2
1526452603,2,1
1526454552,7,2
1526456447,1,1
1526458352,2,2
1526460291,3,1
1526462218,3,5
1526464132,4,2
1526466050,5,2
1526467951,2,3
1526469884,4,1
1526471808,3,0
1526473851,4,0
1526475708,2,3
1526477573,0,1
1526479477,3,2
1526483314,3,1
1526485225,1,1
1526487184,1,0
1526489312,1,2
1526491245,3,2
1526495083,2,0
1526497008,3,1
1526498928,1,1
1526500907,3,0
1526502757,3,1
1526504683,1,1
1526506614,2,2
1526508541,0,3
1526511730,1,0
1526513809,0,1
1526515733,1,3
1526517646,1,2
1526519571,4,11
1526521467,4,3
1526523418,4,0
1526525329,3,3
1526527240,1,15
1526529169,4,2
1526531089,2,3
1526533006,3,2
1526534912,1,4
1526536911,3,6
1526538768,4,2
1526540691,0,7
1526542584,0,3
1526544536,5,1
1526546446,2,4
1526548372,2,2
1526550275,1,3
1526552210,0,6
1526554100,3,3
1526556045,3,4
1526557964,1,2
1526560109,3,6
1526562093,2,1
1526564210,1,1
1526566104,0,2
1526568021,1,0
1526569947,0,3
1526571861,0,2
1526574039,1,2
1526575955,2,2
1526577885,5,2
1526579791,2,1
1526581714,0,1
1526583709,0,3
