DateTime,Entries,UniqueIPs
1522183481,80,80
1522185408,81,81
1522189666,79,79
1522191817,77,77
1522193791,78,78
1522195722,80,80
1522197628,79,79
1522199557,79,79
1522201736,79,79
1522204197,76,76
1522206287,81,81
1522208397,80,80
1522214303,82,82
1522216783,79,79
1522219713,78,78
1522221770,78,78
1522223624,79,79
1522241097,37,37
1522243439,59,59
1522246765,53,53
1522249723,50,50
1522251628,49,49
1522276490,32,32
1522278336,31,31
1522282528,28,28
1522286697,24,24
1522288602,22,22
1522292444,20,20
1522296297,16,16
1522300119,15,15
1522303964,13,13
1522307797,9,9
1522311640,5,5
1522323163,2,2
1522325059,0,0
1523313880,1,1
1523329492,2,2
1523370040,3,3
1523401727,4,4
1523405558,3,3
1523415642,3,3
1523423320,4,4
1523456432,3,3
1523488151,2,2
1523502042,1,1
1523507811,0,0
1523753804,1,1
1523776614,0,0
1524080609,1,1
1524166603,0,0
1524604136,1,1
1524693639,0,0
1524789893,1,1
1524879410,0,0
1525166216,1,1
1525253824,0,0
1525339262,1,1
1525426864,0,0
1525746098,1,1
1525794997,2,2
1525837027,1,1
1525872046,2,2
1525881916,1,1
1525923663,2,2
1525957734,1,1
1526010284,0,0
1526322778,58,58
1526324690,58,58
1526328515,58,58
1526331061,66,66
1526333077,66,66
1526336900,65,65
1526338785,64,64
1526340769,65,65
1526342570,64,64
1526344603,63,63
1526346671,67,67
1526348931,67,67
1526350847,67,67
1526352891,67,67
1526354890,66,66
1526356829,70,70
1526358741,69,69
1526360545,73,73
1526362620,70,70
1526364773,69,69
1526366696,68,68
1526368841,66,66
1526370771,67,67
1526372665,68,68
1526374905,70,70
1526376769,75,75
1526378700,73,73
1526380589,75,75
1526382640,73,73
1526384941,75,75
1526387102,74,74
1526388994,73,73
1526391174,73,73
1526393276,73,73
1526397412,75,75
1526403396,76,76
1526405324,77,77
1526407315,78,78
1526411362,78,78
1526415830,80,80
1526417821,73,73
1526419697,76,76
1526421744,79,79
1526425732,79,79
1526427653,78,78
1526429573,79,79
1526431493,81,81
1526433410,87,87
1526435331,89,89
1526437251,88,88
1526439193,91,91
1526441090,104,104
1526443032,102,102
1526444927,103,103
1526446910,101,101
1526448774,103,103
1526450697,106,106
1526452603,107,107
1526454552,112,112
1526456447,112,112
1526458352,112,112
1526460291,114,114
1526462218,112,112
1526464132,114,114
1526466050,117,117
1526467951,116,116
1526469884,119,119
1526471808,122,122
1526473851,126,126
1526475708,125,125
1526477573,124,124
1526479477,125,125
1526483314,127,127
1526485225,127,127
1526487184,128,128
1526489312,127,127
1526491245,128,128
1526495083,130,130
1526497008,132,132
1526498928,132,132
1526500907,135,135
1526502757,137,137
1526504683,137,137
1526506614,137,137
1526508541,134,134
1526511730,135,135
1526513809,134,134
1526515733,132,132
1526517646,131,131
1526519571,124,124
1526521467,125,125
1526523418,129,129
1526525329,129,129
1526527240,115,115
1526529169,117,117
1526531089,116,116
1526533006,117,117
1526534912,114,114
1526536911,111,111
1526538768,113,113
1526540691,106,106
1526542584,103,103
1526544536,107,107
1526546446,105,105
1526548372,105,105
1526550275,103,103
