DateTime,AddedIPs,RemovedIPs
1525917409,57,54
1525919574,41,32
1525923667,34,36
1525927499,43,31
1525931331,41,37
1525935410,40,32
1525939494,47,25
1525943573,29,46
1525947648,41,126
1525951717,37,250
1525955817,32,69
1525957739,25,51
1525961826,48,53
1525965642,36,74
1525969397,32,50
1525973321,34,53
1525977333,35,60
1525981151,114,42
1525985330,44,34
1525989180,40,56
1525993917,38,37
1525996136,42,55
1526000219,33,42
1526004305,28,58
1526008394,53,44
1526012223,23,41
1526016291,19,44
1526018216,41,55
1526022058,28,52
1526025894,29,53
1526029972,25,56
1526031866,0,1525
1526322783,13839,0
1526324693,63,41
1526326627,89,59
1526328518,65,108
1526331064,153,93
1526333081,100,48
1526334913,43,33
1526336904,28,73
1526338788,76,45
1526340773,35,26
1526342573,37,795
1526344606,52,1941
1526346674,88,1546
1526348934,50,47
1526350850,42,58
1526352901,38,46
1526354894,30,45
1526356914,32,35
1526358745,35,34
1526360550,34,33
1526362624,31,35
1526364777,43,37
1526366701,35,42
1526368845,106,52
1526370775,40,4607
1526372668,28,1108
1526374908,82,104
1526376772,61,43
1526378703,27,38
1526380592,93,74
1526382643,72,38
1526384944,50,33
1526387106,67,74
1526388997,60,58
1526391177,51,46
1526393279,38,42
1526395240,32,42
1526397415,33,33
1526399301,40,55
1526401193,42,46
1526403399,53,63
1526405327,41,58
1526407319,55,72
1526409407,52,97
1526411369,54,53
1526413243,40,57
1526415835,57,58
1526417826,175,159
1526419702,231,67
1526421749,116,66
1526423819,34,80
1526425736,1732,33
1526427657,7903,37
1526429577,6169,55
1526431497,49,56
1526433414,51,77
1526435335,50,59
1526437256,25,41
1526439197,33,41
1526441094,25,38
1526443036,45,35
1526444932,38,43
1526446914,31,46
1526448778,29,37
1526450701,49,45
1526452607,25,35
1526454556,1386,79
1526456451,5570,62
1526458357,4976,32
1526460295,35,42
1526462223,38,92
1526464136,90,38
1526466054,28,82
1526467956,33,73
1526469889,46,38
1526471813,18,83
