DateTime,Entries,UniqueIPs
1525917409,2067,2067
1525919574,2076,2076
1525923667,2074,2074
1525927499,2086,2086
1525931331,2090,2090
1525935410,2098,2098
1525939494,2120,2120
1525943573,2103,2103
1525947648,2018,2018
1525951717,1805,1805
1525955817,1768,1768
1525957739,1742,1742
1525961826,1737,1737
1525965642,1699,1699
1525969397,1681,1681
1525973321,1662,1662
1525977333,1637,1637
1525981151,1709,1709
1525985330,1719,1719
1525989180,1703,1703
1525993917,1704,1704
1525996136,1691,1691
1526000219,1682,1682
1526004305,1652,1652
1526008394,1661,1661
1526012223,1643,1643
1526016291,1618,1618
1526018216,1604,1604
1526022058,1580,1580
1526025894,1556,1556
1526029972,1525,1525
1526031866,0,0
1526322783,13839,13839
1526324693,13861,13861
1526326627,13891,13891
1526328518,13848,13848
1526331064,13908,13908
1526333081,13960,13960
1526334913,13970,13970
1526336904,13925,13925
1526338788,13956,13956
1526340773,13965,13965
1526342573,13207,13207
1526344606,11318,11318
1526346674,9860,9860
1526348934,9863,9863
1526350850,9847,9847
1526352901,9839,9839
1526354894,9824,9824
1526356914,9821,9821
1526358745,9822,9822
1526360550,9823,9823
1526362624,9819,9819
1526364777,9825,9825
1526366701,9818,9818
1526368845,9872,9872
1526370775,5305,5305
1526372668,4225,4225
1526374908,4203,4203
1526376772,4221,4221
1526378703,4210,4210
1526380592,4229,4229
1526382643,4263,4263
1526384944,4280,4280
1526387106,4273,4273
1526388997,4275,4275
1526391177,4280,4280
1526393279,4276,4276
1526395240,4266,4266
1526397415,4266,4266
1526399301,4251,4251
1526401193,4247,4247
1526403399,4237,4237
1526405327,4220,4220
1526407319,4203,4203
1526409407,4158,4158
1526411369,4159,4159
1526413243,4142,4142
1526415835,4141,4141
1526417826,4157,4157
1526419702,4321,4321
1526421749,4371,4371
1526423819,4325,4325
1526425736,6024,6024
1526427657,13890,13890
1526429577,20004,20004
1526431497,19997,19997
1526433414,19971,19971
1526435335,19962,19962
1526437256,19946,19946
1526439197,19938,19938
1526441094,19925,19925
1526443036,19935,19935
1526444932,19930,19930
1526446914,19915,19915
1526448778,19907,19907
1526450701,19911,19911
1526452607,19901,19901
1526454556,21208,21208
1526456451,26716,26716
1526458357,31660,31660
1526460295,31653,31653
1526462223,31599,31599
1526464136,31651,31651
1526466054,31597,31597
1526467956,31557,31557
1526469889,31565,31565
1526471813,31500,31500
1526473856,31466,31466
1526475713,31494,31494
1526477578,31495,31495
1526479482,31499,31499
1526481397,31497,31497
1526483319,31482,31482
1526485230,31471,31471
1526487189,31464,31464
1526489317,31451,31451
1526491250,31441,31441
1526493158,31444,31444
1526495088,31573,31573
1526497013,31647,31647
1526498933,31690,31690
1526500912,31698,31698
1526502762,31727,31727
1526504688,31608,31608
1526506619,31442,31442
1526508547,31386,31386
1526511736,32682,32682
1526513814,25458,25458
1526515738,19624,19624
1526517650,19627,19627
1526519575,19602,19602
1526521472,19592,19592
1526523422,19615,19615
1526525334,19625,19625
1526527244,19646,19646
1526529174,19631,19631
1526531093,19630,19630
1526533010,19639,19639
1526534916,19658,19658
1526536915,19659,19659
1526538772,19666,19666
1526540695,19094,19094
1526542588,12643,12643
1526544540,6340,6340
1526546449,5857,5857
1526548376,5839,5839
1526550279,5772,5772
1526552214,5798,5798
1526554103,5789,5789
1526556049,5766,5766
1526557968,5765,5765
1526560113,5766,5766
1526562097,5884,5884
1526564213,6495,6495
1526566108,12831,12831
1526568026,19158,19158
1526569951,19703,19703
1526571866,19688,19688
1526574044,19676,19676
1526575959,19670,19670
1526577890,19676,19676
1526579795,19678,19678
1526581719,19652,19652
1526583713,19647,19647
1526585582,19773,19773
1526587489,20223,20223
1526589419,20149,20149
1526591319,20141,20141
1526593245,20126,20126
1526595172,20154,20154
1526597951,18590,18590
1526599967,18614,18614
1526601929,18667,18667
1526603815,18629,18629
1526605788,18626,18626
1526607646,18629,18629
1526609623,18609,18609
1526611469,18598,18598
1526613440,18572,18572
1526615344,18551,18551
1526617297,18529,18529
1526619166,18522,18522
1526621184,18499,18499
1526622989,18492,18492
1526624974,18498,18498
1526626899,18499,18499
1526628850,18498,18498
1526630721,18533,18533
1526632651,18527,18527
1526634530,18547,18547
1526636472,18549,18549
1526638374,18516,18516
1526640342,18541,18541
1526642211,18533,18533
1526644177,18524,18524
1526646366,18540,18540
1526648546,18517,18517
1526650367,18470,18470
1526652295,11902,11902
1526654179,5636,5636
1526656406,4216,4216
1526658261,4205,4205
1526660449,4190,4190
1526662347,4179,4179
1526664282,4149,4149
1526666211,4139,4139
1526668375,4147,4147
1526670276,4165,4165
1526672218,3871,3871
1526674140,3359,3359
1526676072,3422,3422
1526677974,3479,3479
1526679878,3515,3515
1526681821,3235,3235
1526683968,3275,3275
1526685889,3305,3305
1526688133,3235,3235
1526689973,3266,3266
1526691876,3273,3273
1526693789,3267,3267
1526695980,3256,3256
1526697895,3248,3248
1526699818,3253,3253
1526701730,3254,3254
1526703632,3266,3266
1526705573,3281,3281
1526707490,3281,3281
1526709438,3260,3260
1526711318,3263,3263
1526713322,3321,3321
1526715154,3326,3326
1526717091,3290,3290
1526719006,3311,3311
1526720939,3291,3291
1526722849,3309,3309
1526724758,4152,4152
1526726695,4170,4170
1526728613,4191,4191
1526730523,4206,4206
1526732460,4194,4194
1526734610,4252,4252
1526736532,4271,4271
1526738503,4287,4287
1526740374,4308,4308
1526742294,4326,4326
1526744193,4362,4362
1526746168,4389,4389
1526748030,4403,4403
1526749975,4445,4445
1526752037,4464,4464
1526754036,4481,4481
1526755939,4492,4492
1526757877,4505,4505
1526759778,4506,4506
1526761698,4526,4526
1526763885,4559,4559
1526765790,4571,4571
1526767712,4599,4599
1526769586,4606,4606
1526771580,4686,4686
1526773467,4696,4696
1526775409,4730,4730
1526777327,4761,4761
1526779221,4766,4766
1526781142,4782,4782
1526783084,4811,4811
1526784989,4838,4838
1526787159,4859,4859
1526789100,4862,4862
1526791002,4861,4861
1526792934,4886,4886
1526794834,4894,4894
1526796779,4902,4902
1526798675,4875,4875
1526800598,4874,4874
1526802551,4877,4877
1526804447,4895,4895
1526806366,4891,4891
1526808298,4900,4900
1526810197,4528,4528
1526812116,4025,4025
1526814101,4015,4015
1526816235,4058,4058
1526818119,4079,4079
1526820038,4053,4053
1526821993,4083,4083
1526823871,4068,4068
1526825810,4059,4059
1526827709,4069,4069
1526829653,4054,4054
1526831578,4060,4060
1526833491,4038,4038
1526835409,3992,3992
1526837332,3966,3966
1526839306,3943,3943
1526841169,3918,3918
1526843097,3910,3910
1526844988,3901,3901
1526846939,3918,3918
1526848849,3927,3927
1526850781,3917,3917
1526852693,3883,3883
1526854611,3848,3848
1526857500,3745,3745
1526859394,3817,3817
1526861462,4252,4252
1526863467,5080,5080
1526865395,6021,6021
1526867300,7949,7949
1526869169,8487,8487
1526871141,8523,8523
1526873031,8507,8507
1526874979,8518,8518
1526876830,8521,8521
1526878917,8508,8508
1526881007,8496,8496
1526882948,8534,8534
1526884845,8518,8518
1526886799,8481,8481
1526888689,8492,8492
1526890599,8486,8486
1526892575,8488,8488
1526894437,8518,8518
1526896388,10050,10050
1526898315,12188,12188
1526900235,13034,13034
