DateTime,Entries,UniqueIPs
1525917410,377,377
1525919576,384,384
1525923668,384,384
1525927500,389,389
1525931332,393,393
1525935411,404,404
1525939495,415,415
1525943574,421,421
1525947649,412,412
1525951718,413,413
1525955818,409,409
1525957740,419,419
1525961827,419,419
1525965643,418,418
1525969398,419,419
1525973323,405,405
1525977334,395,395
1525981152,389,389
1525985331,393,393
1525989182,380,380
1525993918,380,380
1525996137,381,381
1526000220,371,371
1526004307,369,369
1526008396,361,361
1526012224,342,342
1526016292,332,332
1526018217,326,326
1526022060,309,309
1526025895,304,304
1526029973,286,286
1526031867,0,0
1526322784,7111,7111
1526324695,7128,7128
1526326628,7135,7135
1526328519,7148,7148
1526331065,7188,7188
1526333082,7204,7204
1526334914,7206,7206
1526336906,7209,7209
1526338790,7206,7206
1526340774,7213,7213
1526342574,7209,7209
1526344608,7209,7209
1526346675,7229,7229
1526348935,7235,7235
1526350852,7235,7235
1526352902,7233,7233
1526354895,7226,7226
1526356915,7223,7223
1526358746,7241,7241
1526360551,7247,7247
1526362626,7253,7253
1526364778,7259,7259
1526366703,7252,7252
1526368846,7256,7256
1526370776,2492,2492
1526372669,1439,1439
1526374909,1434,1434
1526376773,1436,1436
1526378704,1448,1448
1526380593,1518,1518
1526382644,1513,1513
1526384945,1505,1505
1526387107,1501,1501
1526388998,1499,1499
1526391178,1501,1501
1526393280,1504,1504
1526395241,1503,1503
1526397416,1512,1512
1526399302,1502,1502
1526401194,1493,1493
1526403400,1489,1489
1526405328,1467,1467
1526407320,1440,1440
1526409408,1447,1447
1526411371,1440,1440
1526413244,1432,1432
1526415836,1424,1424
1526417827,1417,1417
1526419703,1407,1407
1526421750,1406,1406
1526423820,1394,1394
1526425737,3095,3095
1526427659,11084,11084
1526429578,17322,17322
1526431499,17323,17323
1526433416,17294,17294
1526435336,17293,17293
1526437257,17290,17290
1526439199,17278,17278
1526441096,17273,17273
1526443037,17266,17266
1526444934,17250,17250
1526446915,17244,17244
1526448780,17231,17231
1526450703,17223,17223
1526452608,17217,17217
1526454558,18578,18578
1526456452,24167,24167
1526458358,29146,29146
1526460297,29133,29133
1526462224,29136,29136
1526464138,29126,29126
1526466056,29068,29068
1526467958,29055,29055
1526469891,29046,29046
1526471815,29034,29034
1526473858,29027,29027
1526475715,29046,29046
1526477580,29034,29034
1526479484,29037,29037
1526481399,29024,29024
1526483321,29003,29003
1526485232,28996,28996
1526487191,28990,28990
1526489319,28982,28982
1526491251,28988,28988
1526493160,28989,28989
1526495090,29006,29006
1526497015,29033,29033
1526498935,29061,29061
1526500914,29077,29077
1526502764,29089,29089
1526504690,29107,29107
1526506620,29119,29119
1526508550,29130,29130
1526511738,28993,28993
1526513815,21673,21673
1526515739,15705,15705
1526517652,15712,15712
1526519577,15723,15723
1526521473,15716,15716
1526523425,15731,15731
1526525335,15738,15738
1526527246,15746,15746
1526529175,15759,15759
1526531094,15758,15758
1526533011,15766,15766
1526534918,15786,15786
1526536917,15790,15790
1526538773,15794,15794
1526540697,15202,15202
1526542589,8461,8461
1526544541,1815,1815
1526546450,1318,1318
1526548376,1304,1304
1526550280,1301,1301
1526552215,1302,1302
1526554104,1307,1307
1526556050,1311,1311
1526557969,1303,1303
1526560114,1307,1307
1526562098,1280,1280
1526564214,1937,1937
1526566110,8602,8602
1526568027,15321,15321
1526569952,15891,15891
1526571867,15887,15887
1526574046,15900,15900
1526575961,15906,15906
1526577892,15904,15904
1526579796,15902,15902
1526581721,15904,15904
1526583714,15898,15898
1526585584,15959,15959
1526587491,16368,16368
1526589420,16370,16370
1526591320,16348,16348
1526593246,16338,16338
1526595174,16322,16322
1526597953,16322,16322
1526599968,16316,16316
1526601930,16313,16313
1526603816,16299,16299
1526605789,16291,16291
1526607647,16294,16294
1526609624,16278,16278
1526611470,16280,16280
1526613442,16266,16266
1526615346,16248,16248
1526617298,16246,16246
1526619168,16240,16240
1526621185,16229,16229
1526622991,16234,16234
1526624975,16223,16223
1526626900,16209,16209
1526628852,16204,16204
1526630722,16195,16195
1526632653,16195,16195
1526634531,16197,16197
1526636473,16192,16192
1526638375,16189,16189
1526640343,16183,16183
1526642212,16177,16177
1526644178,16167,16167
1526646367,16150,16150
1526648548,16135,16135
1526650368,16130,16130
1526652296,9427,9427
1526654180,2990,2990
1526656407,1528,1528
1526658262,1522,1522
1526660450,1502,1502
1526662348,1490,1490
1526664283,1462,1462
1526666212,1455,1455
1526668376,1449,1449
1526670276,1446,1446
1526672219,1292,1292
1526674141,790,790
1526676072,807,807
1526677975,832,832
1526679879,859,859
1526681822,889,889
1526683969,905,905
1526685889,928,928
1526688134,943,943
1526689974,954,954
1526691877,953,953
1526693789,965,965
1526695980,982,982
1526697896,985,985
1526699818,988,988
1526701731,988,988
1526703633,999,999
1526705573,1007,1007
1526707490,1007,1007
1526709438,997,997
1526711319,1010,1010
1526713323,1017,1017
1526715155,1019,1019
1526717092,1027,1027
1526719007,1024,1024
1526720939,1037,1037
1526722850,1049,1049
1526724759,1058,1058
1526726696,1060,1060
1526728614,1058,1058
1526730524,1065,1065
1526732461,1065,1065
1526734611,1071,1071
1526736533,1066,1066
1526738504,1063,1063
1526740375,1066,1066
1526742295,1065,1065
1526744194,1072,1072
1526746169,1080,1080
1526748031,1085,1085
1526749976,1082,1082
1526752038,1092,1092
1526754037,1096,1096
1526755939,1095,1095
1526757878,1095,1095
1526759779,1088,1088
1526761699,1087,1087
1526763886,1084,1084
1526765791,1078,1078
1526767713,1077,1077
1526769587,1081,1081
1526771581,1077,1077
1526773468,1079,1079
1526775410,1087,1087
1526777328,1085,1085
1526779222,1077,1077
1526781143,1075,1075
1526783085,1078,1078
1526784990,1078,1078
1526787160,1080,1080
1526789103,1072,1072
1526791003,1063,1063
1526792935,1067,1067
1526794835,1072,1072
1526796780,1070,1070
1526798676,1086,1086
1526800599,1092,1092
1526802552,1090,1090
1526804448,1087,1087
1526806367,1071,1071
1526808299,1067,1067
1526810198,1055,1055
1526812117,1049,1049
1526814102,1053,1053
1526816236,1058,1058
1526818120,1063,1063
1526820039,1050,1050
1526821994,1048,1048
1526823872,1040,1040
1526825811,1029,1029
1526827710,1016,1016
1526829654,1002,1002
1526831579,1000,1000
1526833492,988,988
1526835410,961,961
1526837332,948,948
1526839307,940,940
1526841170,928,928
1526843098,926,926
1526844989,930,930
1526846940,918,918
1526848850,905,905
1526850782,901,901
1526852694,888,888
1526854612,871,871
1526857501,865,865
1526859395,863,863
1526861463,856,856
1526863468,859,859
1526865396,859,859
1526867301,853,853
1526869169,856,856
1526871142,886,886
1526873032,884,884
1526874980,885,885
1526876832,882,882
1526878918,872,872
1526881008,868,868
1526882950,914,914
1526884846,908,908
1526886799,878,878
1526888690,872,872
1526890599,865,865
1526892576,868,868
1526894438,860,860
1526896389,2187,2187
1526898316,4480,4480
1526900236,5419,5419
1526902119,5474,5474
1526904115,5466,5466
1526905976,5460,5460
