DateTime,Entries,UniqueIPs
1521902431,21,21
1521906284,20,20
1521908207,19,19
1521916109,20,20
1521919969,19,19
1521921878,17,17
1521923831,18,18
1521927646,19,19
1521929551,18,18
1521931469,19,19
1521933406,20,20
1521935309,19,19
1521937237,21,21
1521941082,20,20
1521942989,21,21
1521944921,22,22
1521946947,19,19
1521951161,19,19
1521956924,17,17
1521977054,17,17
1521985314,16,16
1521988108,15,15
1521991065,14,14
1521993870,15,15
1521996767,14,14
1522005732,14,14
1522008775,15,15
1522010773,14,14
1522012589,13,13
1522014756,15,15
1522016684,14,14
1522020771,13,13
1522022697,13,13
1522024584,12,12
1522030365,11,11
1522032290,12,12
1522038042,11,11
1522039949,13,13
1522059417,14,14
1522061391,14,14
1522067072,13,13
1522068941,13,13
1522073086,14,14
1522078847,15,15
1522080874,14,14
1522086532,15,15
1522088433,14,14
1522092280,15,15
1522096120,14,14
1522100303,12,12
1522104540,13,13
1522110149,12,12
1522120113,13,13
1522125889,12,12
1522127811,11,11
1522131865,12,12
1522145331,12,12
1522147949,12,12
1522149877,13,13
1522154161,13,13
1522157969,12,12
1522160207,13,13
1522164038,16,16
1522166222,16,16
1522168112,17,17
1522173897,17,17
1522175797,19,19
1522177733,20,20
1522179640,19,19
1522185417,20,20
1522191826,19,19
1522206294,16,16
1522212811,20,20
1522214811,21,21
1522220282,21,21
1522223632,22,22
1522241108,9,9
1522243445,19,19
1522246773,18,18
1522253634,13,13
1522276495,8,8
1522296305,4,4
1522303971,2,2
1522311648,1,1
1522325066,0,0
1526322785,141,141
1526324696,142,142
1526326629,144,144
1526328520,144,144
1526331067,145,145
1526333083,138,138
1526334916,142,142
1526336907,138,138
1526338791,138,138
1526340776,140,140
1526342576,137,137
1526344609,130,130
1526346677,135,135
1526348937,129,129
1526350853,128,128
1526352946,132,132
1526354897,132,132
1526356917,132,132
1526358748,132,132
1526360553,132,132
1526362628,131,131
1526364780,130,130
1526366705,133,133
1526368848,135,135
1526370778,134,134
1526372671,136,136
1526374911,139,139
1526376775,137,137
1526378707,138,138
1526380595,138,138
1526384947,138,138
1526387109,137,137
1526389000,132,132
1526391180,135,135
1526393283,136,136
1526395243,139,139
1526397418,139,139
1526399304,136,136
1526401197,134,134
1526403402,130,130
1526405330,127,127
1526407322,124,124
1526409410,122,122
1526411374,121,121
1526413246,114,114
1526415838,107,107
1526417829,108,108
1526419705,106,106
1526421752,101,101
1526423822,99,99
1526425738,96,96
1526427660,94,94
1526429580,92,92
1526431500,93,93
1526433417,88,88
1526435338,91,91
1526437259,91,91
1526439201,90,90
1526441097,87,87
1526443038,87,87
1526444936,81,81
1526446916,78,78
1526448781,78,78
1526450705,80,80
