DateTime,AddedIPs,RemovedIPs
1525491410,2,1
1525495249,1,1
1525502929,3,0
1525507031,1,2
1525511136,2,0
1525513259,0,1
1525517087,3,0
1525521171,1,0
1525528870,1,0
1525540633,1,0
1525552155,1,0
1525554058,1,0
1525557918,1,0
1525562082,4,3
1525566045,0,1
1525570125,0,1
1525574236,0,1
1525578271,0,2
1525580139,0,1
1525584547,0,1
1525588614,0,1
1525592686,0,2
1525596533,0,4
1525602301,0,3
1525606147,0,2
1525614037,1,0
1525617901,0,1
1525625825,1,1
1525632965,4,0
1525636863,1,0
1525640709,1,2
1525644558,0,1
1525648389,0,1
1525652229,1,1
1525656063,1,1
1525658004,12,0
1525661820,15,0
1525665668,8,1
1525669493,6,0
1525673360,10,0
1525677191,6,0
1525681094,12,0
1525684866,5,0
1525688716,11,0
1525692524,10,0
1525696374,9,0
1525700223,6,1
1525704054,5,0
1525705980,11,0
1525710349,6,0
1525714385,7,1
1525718232,8,2
1525722061,10,2
1525725900,13,0
1525729747,3,1
1525733802,14,0
1525737659,6,0
1525739809,4,2
1525743643,3,6
1525747489,10,17
1525751320,12,7
1525755170,1,4
1525759013,3,9
1525762856,1,5
1525766714,0,11
1525770529,1,6
1525774616,0,11
1525778448,0,7
1525780615,0,10
1525784520,1,6
1525788895,1,4
1525792690,0,11
1525796518,2,7
1525800393,1,4
1525804564,2,10
1525806783,1,11
1525810852,0,8
1525814703,0,7
1525819153,0,12
1525821178,1,9
1525825285,1,8
1525829100,0,5
1525832912,1,8
1525837035,0,14
1525840845,1,6
1525842785,0,2
1525846620,0,2
1525854297,1,0
1525858115,0,1
1525865955,1,0
1525869876,1,2
1525873976,1,1
1525881925,0,2
1525887900,1,2
1525895574,0,1
1525899402,1,0
1525907576,2,0
1525909496,1,2
1525917412,1,1
1525921498,1,0
1525929421,0,1
1525943577,0,1
1525951721,0,1
1525961830,1,1
1525969401,0,1
1525973326,0,1
1525977337,1,1
1525985334,1,0
1525989185,3,1
1525993921,0,2
1525996140,2,1
1526004310,1,1
1526006444,0,1
1526010291,2,0
1526014371,1,0
1526022061,1,0
1526025897,4,0
1526029975,1,0
1526031869,0,30
1526322786,60,0
1526324696,7,1
1526326630,3,1
1526331067,0,2
1526333084,0,1
1526334916,0,1
1526336908,1,0
1526338792,1,1
1526340776,2,1
1526344610,1,1
1526346677,1,1
1526348937,1,1
1526352948,1,1
1526354897,1,0
1526362628,1,1
1526366705,0,1
1526368848,1,0
1526370778,1,0
1526372671,1,0
1526374912,3,2
1526376776,0,1
1526378707,0,1
1526380595,1,1
1526384947,1,0
1526387109,1,1
1526389000,0,1
1526391180,0,3
1526393283,0,1
1526395243,2,0
1526399305,0,2
1526401197,0,1
1526403403,1,0
1526405330,1,0
1526407322,3,3
1526409410,0,2
1526411374,2,1
1526413247,2,0
1526417830,2,0
1526419705,1,0
1526421752,0,1
1526423822,0,1
1526425738,2,1
1526427660,0,1
1526429580,1,1
1526431500,2,0
1526435338,0,2
1526439201,1,2
1526441098,3,3
1526443039,0,3
1526444937,0,2
1526446917,0,1
1526448781,2,2
1526450705,1,0
1526454560,2,0
1526456454,1,1
1526458361,1,2
1526460299,1,3
1526462227,1,1
1526466058,1,0
1526469893,1,0
1526473861,0,1
1526475717,0,1
1526477583,1,0
1526479487,2,0
1526481402,0,1
1526483324,0,1
1526485234,1,0
1526487194,3,1
1526489322,2,1
1526491254,2,1
1526493163,1,0
1526495092,2,0
1526497018,2,0
1526498937,0,1
1526500917,2,1
1526502767,1,0
1526504692,1,2
1526506623,0,1
1526508553,2,3
1526511740,1,3
1526513818,2,1
1526515742,3,1
1526519580,2,3
1526521476,4,1
1526523428,1,1
1526525338,3,0
1526527248,2,1
1526529178,0,2
1526531097,1,0
1526534921,1,1
1526536919,0,1
1526540699,0,2
1526542591,1,1
1526544543,0,2
1526546452,3,0
1526548379,2,1
1526552217,0,2
1526554106,1,0
1526556052,0,1
1526564217,1,1
1526566112,1,2
1526568030,1,0
1526571870,2,1
1526574049,0,4
1526575963,1,2
1526577894,2,3
1526581725,2,2
1526583717,2,1
1526585586,5,0
1526587493,3,2
1526589422,1,1
1526595176,1,3
1526597955,2,1
1526599970,0,1
1526601933,0,1
1526603819,2,0
1526605792,2,3
1526607650,3,3
1526609626,1,1
1526611472,0,2
1526613443,1,1
1526617299,2,2
1526619169,2,0
1526621187,0,1
1526624977,0,1
1526626902,1,0
1526628854,0,1
1526632654,0,2
1526634533,10,2
1526636475,1,0
1526640345,0,1
1526642214,1,0
1526646369,1,1
1526648549,1,0
1526650370,2,1
1526652298,1,2
1526654181,1,1
1526656409,0,1
1526658265,0,2
1526660453,0,1
1526662350,1,0
1526664285,0,2
1526666215,0,1
1526668378,0,2
1526670279,1,1
1526672221,1,4
1526674144,1,1
1526676074,0,2
1526677977,1,1
1526679881,3,0
1526681825,0,2
1526683971,3,0
1526685891,1,0
1526688136,2,0
1526689976,3,0
1526691879,0,3
1526693792,1,1
1526695983,2,1
1526699821,1,0
1526703636,1,1
1526705576,2,4
1526707493,1,0
1526709441,1,1
1526711323,0,1
1526713325,3,1
1526715157,0,2
1526717094,1,0
1526719009,1,0
1526720942,2,3
1526722852,1,0
1526726698,0,1
1526728617,0,1
1526730526,1,0
1526732463,0,1
1526734613,3,0
1526736536,0,2
1526738506,2,1
1526740378,1,3
1526748033,2,0
1526752040,3,1
1526755942,0,1
1526757881,0,1
1526761702,0,1
1526763889,3,1
1526765793,1,3
1526767715,1,1
1526769589,2,0
1526771583,3,11
1526773471,3,2
1526775413,1,3
1526777330,2,2
1526779224,4,1
1526781145,2,0
1526783088,0,1
1526787162,1,0
1526789106,0,1
1526791004,1,0
1526792936,1,1
1526796781,2,1
1526798678,0,1
1526800601,0,2
1526802554,1,2
1526806368,0,1
1526808301,1,0
1526810200,0,1
1526812119,1,1
1526816238,1,0
1526818122,0,3
1526820040,0,2
1526823873,0,2
1526827712,1,1
1526829656,1,0
1526833494,1,0
1526835412,1,1
1526837335,4,3
1526839310,1,0
1526841172,2,0
1526843100,1,0
1526844991,2,0
1526846941,0,1
1526848851,1,0
1526850783,3,2
1526852696,2,1
1526854613,2,0
1526857502,0,2
1526859397,2,4
1526861464,1,2
