DateTime,AddedIPs,RemovedIPs
1525891730,3,1
1525895575,3,13
1525899402,0,27
1525903262,2,24
1525907577,1,41
1525911534,2,50
1525915494,0,51
1525919579,0,46
1525923671,0,31
1525927504,2,17
1525931335,1,28
1525935415,2,22
1525937333,0,26
1525941742,9,46
1525945825,2,68
1525949780,0,62
1525953600,1,45
1525957745,1,61
1525961832,0,56
1525965648,0,12
1525969403,0,2
1525975273,3,2
1525979310,1,3
1525983412,5,3
1525991088,0,3
1525993922,3,1
1525998297,1,1
1526002381,2,0
1526006445,1,0
1526014372,1,3
1526018220,0,2
1526022062,1,1
1526025898,0,9
1526029976,0,1
1526031869,0,22
1526322787,120,0
1526324697,2,1
1526326630,6,0
1526328521,8,3
1526331068,35,3
1526333084,39,0
1526334917,28,1
1526336908,36,1
1526338792,21,0
1526340777,21,2
1526342577,18,1
1526344610,27,1
1526346677,20,0
1526348938,21,0
1526350854,9,1
1526352950,7,1
1526354898,5,3
1526356918,10,3
1526358749,2,0
1526360554,8,1
1526362629,6,0
1526364781,11,1
1526366706,5,2
1526368848,15,2
1526370779,7,2
1526372672,7,2
1526374912,9,3
1526376776,8,7
1526378707,3,3
1526380596,6,2
1526382646,6,3
1526384948,7,0
1526387110,3,2
1526389001,3,0
1526391181,1,3
1526393284,4,1
1526395244,4,1
1526397419,6,2
1526399305,3,4
1526401198,0,3
1526403403,2,0
1526405331,0,4
1526407323,3,2
1526409411,5,3
1526411375,3,1
1526413247,4,4
1526415839,2,12
1526417830,3,31
1526419706,2,25
1526421753,0,31
1526423823,2,34
1526425739,2,19
1526427661,1,20
1526429581,4,21
1526431501,3,18
1526433418,4,15
1526435339,3,20
1526437260,2,6
1526439202,3,6
1526441099,3,5
1526443040,4,3
1526444938,4,2
1526446917,3,5
1526448782,3,4
1526450706,4,9
1526452611,2,4
1526454560,0,9
1526456455,1,5
1526458361,3,10
1526460300,1,5
1526462228,2,6
1526464141,3,5
1526466059,2,7
1526467960,2,7
1526469894,2,7
1526471819,2,8
1526473862,1,6
1526475718,2,5
1526477584,2,2
1526479487,3,3
1526481403,2,8
1526483325,6,12
1526485235,1,4
1526487195,1,6
1526489322,4,3
1526491255,5,1
1526493164,1,3
1526495093,3,10
1526497018,1,11
1526498938,3,7
1526500917,3,7
1526502768,2,6
1526504693,2,0
1526506624,4,1
1526508554,4,4
1526511741,4,5
1526513819,17,1
1526515742,24,3
1526517655,25,2
1526519580,28,4
1526521476,39,4
1526523429,28,3
1526525338,37,3
1526527249,34,1
1526529178,61,1
1526531097,30,4
1526533014,25,4
1526534921,22,4
1526536920,24,3
1526538777,28,0
1526540700,23,4
1526542592,20,0
1526544544,12,5
1526546453,2,3
1526548379,2,3
1526550283,11,0
1526552217,1,3
1526554107,2,2
1526556053,3,3
1526557972,7,4
1526560117,5,1
1526562100,3,2
1526564217,2,2
1526566113,1,4
1526568030,4,1
1526569955,2,6
1526571871,3,0
1526574049,2,1
1526575964,1,2
1526577895,2,2
1526579800,2,2
1526581725,2,2
