DateTime,Entries,UniqueIPs
1526783791,9436,9612
1526784738,9432,9608
1526785722,9435,9611
1526786752,9430,9606
1526787624,9438,9614
1526788587,9425,9601
1526789539,9437,9613
1526790254,9436,9612
1526790974,9440,9617
1526791690,9435,9612
1526792422,9424,9601
1526793384,9426,9603
1526794357,9423,9600
1526795308,9419,9596
1526796287,9412,9589
1526797222,9412,9589
1526798194,9414,9592
1526799152,9411,9589
1526800116,9407,9585
1526801066,9414,9592
1526802035,9408,9586
1526802984,9414,9592
1526803959,9400,9579
1526804907,9399,9578
1526805872,9396,9575
1526806828,9396,9575
1526807798,9395,9574
1526808751,9397,9576
1526809712,9408,9587
1526810674,9412,9591
1526811630,9423,9602
1526812593,9428,9607
1526813551,9427,9606
1526814516,9418,9597
1526816205,9415,9594
1526816899,9422,9601
1526817651,9414,9593
1526818595,9416,9595
1526819551,9407,9586
1526820513,9410,9589
1526821221,9409,9588
1526821964,9402,9581
1526822664,9413,9592
1526823624,9410,9589
1526824342,9411,9590
1526825077,9416,9595
1526825787,9417,9596
1526826757,9410,9589
1526827462,9407,9586
1526828180,9416,9595
1526828902,9407,9586
1526829629,9408,9587
1526830589,9408,9587
1526831557,9407,9586
1526832545,9405,9584
1526833468,9390,9569
1526834425,9396,9575
1526835389,9398,9577
1526836354,9398,9577
1526837313,9399,9578
1526838266,9405,9584
1526838976,9411,9590
1526839704,9417,9596
1526840417,9412,9591
1526841150,9416,9595
1526842110,9420,9599
1526843077,9418,9597
1526844028,9431,9610
1526844741,9425,9604
1526845464,9420,9599
1526846188,9417,9596
1526846920,9426,9605
1526847863,9429,9608
1526848830,9427,9606
1526849786,9434,9613
1526850759,9424,9605
1526851726,9421,9602
1526852672,9419,9600
1526853631,9424,9605
1526854592,9429,9611
1526855549,9420,9597
1526857972,9417,9594
1526858672,9416,9594
1526859373,9421,9599
1526860337,9419,9597
1526861311,9417,9597
1526862264,9419,9599
1526863225,9418,9598
1526864184,9422,9602
1526865152,9425,9605
1526866105,9442,9624
1526867070,9443,9625
1526868033,9440,9622
1526868992,9441,9623
1526869950,9441,9623
1526870660,9437,9619
1526871387,9432,9614
1526872099,9436,9618
1526872825,9431,9613
1526873799,9425,9607
1526874743,9420,9602
1526875711,9424,9606
1526876666,9419,9601
1526877636,9416,9598
1526878340,9415,9597
1526879076,9414,9595
1526879777,9421,9602
1526880502,9428,9609
1526881466,9430,9611
1526882176,9432,9613
1526882913,9427,9608
1526883616,9432,9613
1526884351,9431,9612
1526885309,9432,9613
1526886017,9433,9614
1526886754,9434,9615
1526887464,9438,9619
1526888182,9441,9622
1526889144,9440,9621
1526890111,9436,9617
1526891064,9432,9613
1526892032,9436,9617
1526892985,9437,9618
1526893952,9440,9624
1526894931,9439,9622
1526895866,9440,9623
1526896829,9443,9626
1526897804,9442,9625
1526898756,9449,9632
1526899462,9444,9627
1526900201,9443,9626
1526900900,9450,9633
1526901627,9446,9629
1526902593,9450,9633
1526903547,9453,9636
1526904514,9450,9632
1526905476,9449,9631
1526906417,9456,9638
1526907384,9462,9644
1526908349,9459,9641
1526909066,9445,9627
1526909788,9453,9635
1526910743,9447,9629
1526911723,9455,9638
1526912664,9449,9632
1526913633,9463,9646
1526914590,9460,9643
1526915558,9463,9646
1526916279,9463,9646
1526916979,9470,9653
1526917698,9469,9652
1526918430,9472,9655
1526919398,9481,9664
1526920351,9479,9662
1526921059,9481,9664
1526921780,9493,9676
1526922503,9503,9684
1526923227,9497,9678
1526924206,9492,9673
1526925151,9494,9675
1526926856,9485,9666
1526927563,9483,9664
1526928504,9500,9681
1526929485,9493,9674
1526930432,9500,9681
1526931153,9499,9680
1526931867,9498,9679
1526932595,9498,9679
1526933555,9493,9674
1526935001,9498,9679
1526935724,9504,9685
1526936682,9498,9679
1526937624,9500,9681
1526938588,9506,9687
1526939546,9504,9685
1526940772,9503,9684
1526942317,9493,9674
1526943167,9503,9684
1526944120,9510,9691
1526945078,9504,9685
1526946028,9516,9697
1526947083,9518,9699
1526947965,9517,9698
1526948916,9525,9706
1526949874,9528,9709
1526950838,9529,9710
1526951797,9524,9705
1526952758,9515,9696
1526953712,9511,9692
1526954680,9513,9694
1526955647,9510,9691
1526956601,9512,9693
1526957312,9514,9695
1526958532,9506,9687
1526959463,9510,9691
1526960423,9508,9689
1526961388,9507,9688
1526962605,9509,9690
1526963556,9504,9685
1526964532,9499,9680
1526965468,9503,9684
1526966679,9497,9677
1526967628,9502,9682
1526968598,9495,9675
1526969559,9496,9676
1526970519,9507,9689
1526971469,9528,9712
1526972441,9533,9721
1526973386,9540,9728
1526974601,9530,9719
1526975540,9537,9726
1526976524,9531,9720
1526977469,9538,9727
1526978431,9550,9739
1526979414,9551,9738
1526980363,9547,9734
1526981313,9553,9740
1526982273,9535,9722
1526983232,9535,9722
1526984206,9534,9721
1526985157,9531,9718
1526986103,9536,9723
1526986810,9533,9721
1526987565,9530,9719
1526988475,9536,9725
1526989473,9541,9730
1526990561,9538,9728
1526991399,9540,9730
1526992364,9538,9731
1526993311,9538,9731
1526994278,9537,9730
1526995233,9540,9734
1526996684,9535,9731
1526997394,9534,9731
1526998121,9543,9740
1526998818,9538,9736
1526999553,9542,9740
1527000261,9536,9734
1527000982,9543,9742
1527001954,9546,9745
1527002662,9544,9743
1527003389,9533,9732
1527004358,9538,9737
1527005347,9536,9737
1527006267,9528,9728
1527006989,9534,9734
1527007704,9535,9735
1527008423,9531,9731
1527009159,9525,9725
1527010114,9517,9717
1527011077,9515,9715
1527012040,9512,9712
1527013487,9513,9713
1527014198,9509,9711
1527015154,9501,9703
1527016123,9499,9701
1527017067,9503,9705
