DateTime,AddedIPs,RemovedIPs
1526783791,22,30
1526784738,32,36
1526785722,28,26
1526786752,25,55
1526787624,60,41
1526788587,33,35
1526789539,30,44
1526790254,39,32
1526790974,26,45
1526791690,42,22
1526792422,37,38
1526793384,31,42
1526794357,32,38
1526795308,49,31
1526796287,37,37
1526797222,32,45
1526798194,46,45
1526799152,48,38
1526800116,54,44
1526801066,44,53
1526802035,45,43
1526802984,56,49
1526803959,51,35
1526804907,49,52
1526805872,53,40
1526806828,56,35
1526807798,36,38
1526808751,44,47
1526809712,42,46
1526810674,54,35
1526811630,57,44
1526812593,44,66
1526813551,33,46
1526814516,40,60
1526816205,79,48
1526816899,42,50
1526817651,40,36
1526818595,46,53
1526819551,41,35
1526820513,47,49
1526821221,54,30
1526821964,21,47
1526822664,46,48
1526823624,69,49
1526824342,47,51
1526825077,43,66
1526825787,34,40
1526826757,44,56
1526827462,37,34
1526828180,45,41
1526828902,40,36
1526829629,35,32
1526830589,36,43
1526831557,44,52
1526832545,39,35
1526833468,47,53
1526834425,56,50
1526835389,41,50
1526836354,48,39
1526837313,57,40
1526838266,35,53
1526838976,42,38
1526839704,41,43
1526840417,48,32
1526841150,46,47
1526842110,52,52
1526843077,35,37
1526844028,42,37
1526844741,34,34
1526845464,38,34
1526846188,35,40
1526846920,42,44
1526847863,48,48
1526848830,50,54
1526849786,50,25
1526850759,40,60
1526851726,65,44
1526852672,23,51
1526853631,46,47
1526854592,56,44
1526855549,40,39
1526857972,51,83
1526858672,47,38
1526859373,31,39
1526860337,30,26
1526861311,63,56
1526862264,61,48
1526863225,46,37
1526864184,34,37
1526865152,55,46
1526866105,64,59
1526867070,41,55
1526868033,56,60
1526868992,61,54
1526869950,39,46
1526870660,33,32
1526871387,28,25
1526872099,28,46
1526872825,37,39
1526873799,29,49
1526874743,54,32
1526875711,44,45
1526876666,44,48
1526877636,29,37
1526878340,40,52
1526879076,49,32
1526879777,39,99
1526880502,102,42
1526881466,37,38
1526882176,41,31
1526882913,28,53
1526883616,59,42
1526884351,44,45
1526885309,45,27
1526886017,40,40
1526886754,41,49
1526887464,41,19
1526888182,27,26
1526889144,47,42
1526890111,31,37
1526891064,41,44
1526892032,40,40
1526892985,46,33
1526893952,47,68
1526894931,44,38
1526895866,48,41
1526896829,46,61
1526897804,40,24
1526898756,50,48
1526899462,31,61
1526900201,27,39
1526900900,62,50
1526901627,55,34
1526902593,33,23
1526903547,42,34
1526904514,40,44
1526905476,27,22
1526906417,40,35
1526907384,40,50
1526908349,44,24
1526909066,27,59
1526909788,62,40
1526910743,50,51
1526911723,54,35
1526912664,35,47
1526913633,57,40
1526914590,39,48
1526915558,41,33
1526916279,30,32
1526916979,34,37
1526917698,33,44
1526918430,42,27
1526919398,40,47
1526920351,34,56
1526921059,47,26
1526921780,33,41
1526922503,55,42
1526923227,36,33
1526924206,43,57
1526925151,42,36
1526926856,55,49
1526927563,30,41
1526928504,56,56
1526929485,44,35
1526930432,39,28
1526931153,25,32
1526931867,31,42
1526932595,31,30
1526933555,33,55
1526935001,51,64
1526935724,46,28
1526936682,36,56
1526937624,37,30
1526938588,45,57
1526939546,52,37
1526940772,41,55
1526942317,53,59
1526943167,42,28
1526944120,24,48
1526945078,33,36
1526946028,52,47
1526947083,38,39
1526947965,27,24
1526948916,46,30
1526949874,32,43
1526950838,29,40
1526951797,49,35
1526952758,43,42
1526953712,35,46
1526954680,53,39
1526955647,26,36
1526956601,37,45
1526957312,25,16
1526958532,35,43
1526959463,38,47
1526960423,28,28
1526961388,37,116
1526962605,108,35
1526963556,30,44
1526964532,47,31
1526965468,31,63
1526966679,65,37
1526967628,43,45
1526968598,45,32
1526969559,37,40
1526970519,54,45
1526971469,61,116
1526972441,76,36
1526973386,36,58
1526974601,35,47
1526975540,41,30
1526976524,37,49
1526977469,56,58
1526978431,54,31
1526979414,59,58
1526980363,30,33
1526981313,57,89
1526982273,92,45
1526983232,46,50
1526984206,39,33
1526985157,31,34
1526986103,44,42
1526986810,39,40
1526987565,38,36
1526988475,36,36
1526989473,51,51
1526990561,46,39
1526991399,28,26
1526992364,36,42
1526993311,42,38
1526994278,30,96
1526995233,98,43
1526996684,58,59
1526997394,49,58
1526998121,61,31
1526998818,37,32
1526999553,36,35
1527000261,44,35
1527000982,45,43
1527001954,61,40
1527002662,38,36
1527003389,34,45
1527004358,59,46
1527005347,42,64
1527006267,53,98
1527006989,139,49
1527007704,40,37
1527008423,34,27
1527009159,32,48
1527010114,35,41
1527011077,57,47
1527012040,49,34
1527013487,52,68
1527014198,44,54
1527015154,38,46
1527016123,57,52
1527017067,32,65
1527018034,69,36
1527018991,26,38
1527019965,43,58
1527020911,56,36
1527021882,28,52
1527023082,53,72
1527024176,68,61
1527025111,34,29
1527026069,42,47
1527027067,39,67
1527027982,53,76
1527028599,66,54
1527029327,56,30
1527030040,34,39
1527030982,34,48
1527031958,48,71
1527032915,47,71
1527033884,73,41
1527034831,41,43
1527035550,37,55
1527036263,54,47
1527036994,39,64
1527037959,75,42
1527038915,44,47
1527039880,39,66
1527040835,66,42
1527041786,39,48
1527042747,55,57
1527043705,52,33
1527044674,36,40
1527045618,43,41
1527046599,36,39
1527047553,32,38
1527048521,34,91
1527049472,70,106
1527050443,127,32
1527051401,40,34
1527052363,44,47
1527053312,31,59
1527054278,72,55
1527055235,47,65
1527056204,61,45
1527057152,48,56
1527058108,54,30
1527059069,48,38
1527060024,33,54
1527060995,53,31
1527061956,28,49
1527062927,45,34
1527063874,46,33
1527064846,31,24
1527065813,34,47
1527066765,35,43
1527067716,45,34
1527068683,42,61
1527069651,61,60
1527070604,58,52
1527071553,67,42
1527072964,54,60
1527073731,44,31
1527074916,32,177
1527075875,173,38
1527076856,38,33
1527077805,34,50
1527078741,58,37
1527079718,39,40
1527080674,45,37
1527081637,43,43
1527082592,49,43
1527083552,39,43
1527085496,63,73
1527086193,46,33
1527087169,43,59
1527088116,57,48
1527089070,61,52
1527090028,45,39
1527090986,53,41
1527091983,33,48
1527092908,66,59
1527093868,64,46
1527094592,56,77
1527095309,64,37
1527096022,52,44
1527096995,55,38
1527097946,28,35
1527098919,46,53
1527099868,38,48
1527100829,49,44
1527101786,36,55
1527102753,56,68
1527103710,55,36
1527104678,41,41
1527105635,46,69
1527106597,41,42
1527107550,44,48
1527108516,52,33
1527109461,32,47
1527110439,30,25
1527111146,31,55
1527111866,40,32
1527112579,25,41
1527113320,37,37
1527114274,39,43
1527115345,38,48
1527115959,31,36
1527116901,34,39
1527117610,39,28
1527118349,24,30
1527119068,34,20
1527119789,36,44
1527120759,32,43
1527121805,52,39
1527122675,39,31
1527123637,27,42
1527124589,54,37
1527125563,34,42
1527126499,39,42
1527127210,37,25
1527128186,34,40
1527128888,28,33
1527129634,29,29
1527130634,28,39
1527131555,47,45
1527132514,40,38
1527133477,36,110
1527134438,121,54
1527135389,42,44
1527136355,39,38
1527137063,28,30
1527137783,28,50
1527138488,54,32
1527139230,35,41
1527140198,48,57
1527141163,49,38
1527142128,52,41
1527143073,44,33
1527144033,45,30
1527145004,22,63
1527145960,52,39
1527146668,30,21
1527147392,44,39
1527148120,28,23
1527149065,36,58
1527149769,40,33
1527150492,45,22
1527151208,28,31
1527151975,26,31
1527153393,31,31
1527159866,111,830
1527160603,168,32
1527161557,134,75
1527162519,90,60
1527163483,105,49
1527164433,96,46
1527165138,60,85
1527165854,103,49
1527166820,58,63
1527167535,60,48
1527168278,51,65
1527169486,72,78
1527170184,61,54
1527171154,59,95
1527171865,90,72
1527172595,74,68
1527173573,93,64
1527174518,68,59
1527175222,61,44
1527175958,58,47
1527176669,71,60
1527177390,64,44
1527178131,55,60
1527178828,55,40
1527179803,67,40
1527180739,55,57
1527181725,48,40
1527182655,57,69
1527183636,61,54
1527184342,43,46
1527185077,56,43
1527186026,51,48
1527186755,49,63
1527187720,58,41
1527188658,48,49
1527189633,77,44
1527190595,69,58
1527191557,59,56
1527192517,39,44
1527193491,52,48
1527194438,28,62
1527195395,58,38
1527196355,38,54
