DateTime,Entries,UniqueIPs
1526783791,8486,8486
1526784738,8482,8482
1526785722,8484,8484
1526786752,8454,8454
1526787624,8473,8473
1526788587,8471,8471
1526789539,8457,8457
1526790254,8464,8464
1526790974,8445,8445
1526791690,8465,8465
1526792422,8464,8464
1526793384,8453,8453
1526794357,8447,8447
1526795308,8465,8465
1526796287,8465,8465
1526797222,8452,8452
1526798194,8453,8453
1526799152,8463,8463
1526800116,8473,8473
1526801066,8464,8464
1526802035,8466,8466
1526802984,8473,8473
1526803959,8489,8489
1526804907,8486,8486
1526805872,8499,8499
1526806828,8520,8520
1526807798,8518,8518
1526808751,8515,8515
1526809712,8511,8511
1526810674,8530,8530
1526811630,8543,8543
1526812593,8521,8521
1526813551,8508,8508
1526814516,8488,8488
1526816205,8519,8519
1526816899,8511,8511
1526817651,8515,8515
1526818595,8508,8508
1526819551,8514,8514
1526820513,8512,8512
1526821221,8536,8536
1526821964,8510,8510
1526822664,8508,8508
1526823624,8528,8528
1526824342,8524,8524
1526825077,8501,8501
1526825787,8495,8495
1526826757,8483,8483
1526827462,8486,8486
1526828180,8490,8490
1526828902,8494,8494
1526829629,8497,8497
1526830589,8490,8490
1526831557,8482,8482
1526832545,8486,8486
1526833468,8480,8480
1526834425,8486,8486
1526835389,8477,8477
1526836354,8486,8486
1526837313,8503,8503
1526838266,8485,8485
1526838976,8489,8489
1526839704,8487,8487
1526840417,8503,8503
1526841150,8502,8502
1526842110,8502,8502
1526843077,8500,8500
1526844028,8505,8505
1526844741,8505,8505
1526845464,8509,8509
1526846188,8504,8504
1526846920,8502,8502
1526847863,8502,8502
1526848830,8498,8498
1526849786,8523,8523
1526850759,8503,8503
1526851726,8524,8524
1526852672,8496,8496
1526853631,8495,8495
1526854592,8507,8507
1526855549,8508,8508
1526857972,8476,8476
1526858672,8485,8485
1526859373,8477,8477
1526860337,8481,8481
1526861311,8488,8488
1526862264,8501,8501
1526863225,8510,8510
1526864184,8507,8507
1526865152,8516,8516
1526866105,8521,8521
1526867070,8507,8507
1526868033,8503,8503
1526868992,8510,8510
1526869950,8503,8503
1526870660,8504,8504
1526871387,8507,8507
1526872099,8489,8489
1526872825,8487,8487
1526873799,8467,8467
1526874743,8489,8489
1526875711,8488,8488
1526876666,8484,8484
1526877636,8476,8476
1526878340,8464,8464
1526879076,8481,8481
1526879777,8421,8421
1526880502,8481,8481
1526881466,8480,8480
1526882176,8490,8490
1526882913,8465,8465
1526883616,8482,8482
1526884351,8481,8481
1526885309,8499,8499
1526886017,8499,8499
1526886754,8491,8491
1526887464,8513,8513
1526888182,8514,8514
1526889144,8519,8519
1526890111,8513,8513
1526891064,8510,8510
1526892032,8510,8510
1526892985,8523,8523
1526893952,8502,8502
1526894931,8508,8508
1526895866,8515,8515
1526896829,8500,8500
1526897804,8516,8516
1526898756,8518,8518
1526899462,8488,8488
1526900201,8476,8476
1526900900,8488,8488
1526901627,8509,8509
1526902593,8519,8519
1526903547,8527,8527
1526904514,8523,8523
1526905476,8528,8528
1526906417,8533,8533
1526907384,8523,8523
1526908349,8543,8543
1526909066,8511,8511
1526909788,8533,8533
1526910743,8532,8532
1526911723,8551,8551
1526912664,8539,8539
1526913633,8556,8556
1526914590,8547,8547
1526915558,8555,8555
1526916279,8553,8553
1526916979,8550,8550
1526917698,8539,8539
1526918430,8554,8554
1526919398,8547,8547
1526920351,8525,8525
1526921059,8546,8546
1526921780,8538,8538
1526922503,8551,8551
1526923227,8554,8554
1526924206,8540,8540
1526925151,8546,8546
1526926856,8552,8552
1526927563,8541,8541
1526928504,8541,8541
1526929485,8550,8550
1526930432,8561,8561
1526931153,8554,8554
1526931867,8543,8543
1526932595,8544,8544
1526933555,8522,8522
1526935001,8509,8509
1526935724,8527,8527
1526936682,8507,8507
