DateTime,AddedIPs,RemovedIPs
1526591647,118,125
1526593328,120,83
1526594168,62,0
1526595247,59,98
1526597766,185,121
1526598912,66,64
1526600406,97,127
1526602214,141,136
1526602447,14,0
1526603286,44,0
1526604607,74,145
1526605807,97,73
1526606887,112,0
1526608153,70,140
1526609407,80,83
1526611328,177,76
1526612168,76,0
1526613247,96,115
1526614367,82,105
1526614937,57,35
1526615767,48,0
1526616847,98,96
1526618074,71,96
1526618526,53,0
1526619367,41,0
1526621287,229,138
1526622967,176,156
1526624122,71,73
1526624886,58,0
1526626207,73,193
1526627652,115,111
1526629327,115,193
1526631011,147,82
1526632928,116,136
1526633766,80,0
1526634846,68,80
1526636139,147,165
1526637602,127,123
1526638807,92,5
1526640127,98,157
1526641291,149,94
1526642428,146,0
1526643611,161,180
1526644566,98,1
1526645707,122,93
1526647327,641,153
1526648525,590,175
1526650086,122,4
1526651708,138,221
1526652907,95,91
1526654046,103,119
1526655528,154,121
1526656447,96,6
1526657286,67,1
1526658425,109,163
1526659807,112,101
1526661311,154,103
1526662506,119,41
1526663710,98,67
1526665214,130,128
1526667313,207,100
1526668507,130,89
1526669707,161,30
1526670908,130,67
1526672106,148,90
1526672526,31,0
1526673710,130,95
1526674807,113,0
1526675287,51,0
1526676128,294,123
1526678047,188,73
1526679737,125,116
1526680567,41,0
1526681647,42,59
1526682827,76,96
1526684167,99,39
1526686086,137,84
1526687241,100,176
1526688846,167,84
1526689686,80,0
1526690528,88,162
1526692446,163,104
1526694129,137,154
1526696047,145,112
1526696888,59,0
1526697729,33,198
1526699648,101,94
1526701138,107,97
1526703246,139,133
1526704927,108,166
1526706846,120,90
1526708526,135,153
1526709367,69,0
1526710454,116,98
1526712306,164,194
1526713250,75,85
1526714407,78,1
1526714888,45,0
1526715734,54,175
1526716566,52,1
1526717646,59,112
1526718486,31,0
1526720108,109,171
1526721247,88,94
1526722550,116,124
1526724908,173,166
1526726406,186,172
1526728446,155,80
1526730011,151,161
1526730966,84,0
1526732111,124,95
1526732886,83,0
1526735649,224,264
1526736907,121,106
1526737326,49,47
1526738166,83,0
1526739308,106,84
1526740926,186,149
1526742846,136,57
1526743687,47,0
1526744527,54,128
1526746206,84,83
