DateTime,Entries,UniqueIPs
1526579745,4792,4792
1526580874,4777,4777
1526582137,4782,4782
1526582552,4783,4783
1526583766,4769,4769
1526585112,4814,4814
1526586345,4807,4807
1526587664,4813,4813
1526589766,4850,4850
1526591674,4866,4866
1526593359,4934,4934
1526594205,4958,4958
1526595279,4967,4967
1526597789,4995,4995
1526598945,4996,4996
1526600438,4993,4993
1526602245,5004,5004
1526602472,5009,5009
1526603318,5019,5019
1526604643,5018,5018
1526605836,5056,5056
1526606924,5118,5118
1526608177,5111,5111
1526609440,5107,5107
1526611356,5150,5150
1526612194,5175,5175
1526613272,5178,5178
1526614406,5196,5196
1526614968,5223,5223
1526615799,5247,5247
1526616867,5271,5271
1526618570,5275,5275
1526619394,5282,5282
1526621323,5301,5301
1526622997,5301,5301
1526624158,5295,5295
1526624916,5321,5321
1526626230,5281,5281
1526627681,5292,5292
1526629350,5271,5271
1526631043,5306,5306
1526632961,5306,5306
1526633808,5334,5334
1526634867,5337,5337
1526636162,5371,5371
1526638233,5421,5421
1526640163,5454,5454
1526641317,5489,5489
1526642452,5552,5552
1526643641,5548,5548
1526644600,5579,5579
1526645743,5588,5588
1526647348,5697,5697
1526648559,5699,5699
1526650113,5725,5725
1526651742,5643,5643
1526652936,5618,5618
1526654076,5603,5603
1526655560,5609,5609
1526656476,5643,5643
1526657312,5665,5665
1526658465,5637,5637
1526659841,5651,5651
1526661334,5678,5678
1526662536,5693,5693
1526663741,5717,5717
1526665244,5734,5734
1526667342,5783,5783
1526668527,5832,5832
1526669746,5902,5902
1526670943,5932,5932
1526672140,5997,5997
1526672557,6011,6011
1526673751,6066,6066
1526674903,6102,6102
1526675320,6115,6115
1526676157,6108,6108
1526678078,6163,6163
1526679765,6196,6196
1526680596,6203,6203
1526681680,6179,6179
1526682861,6185,6185
1526684188,6225,6225
1526686133,6273,6273
1526687263,6287,6287
1526688878,6380,6380
1526689708,6439,6439
1526690549,6436,6436
1526692472,6481,6481
1526694149,6495,6495
1526696072,6514,6514
1526696923,6544,6544
1526697759,6469,6469
1526699687,6488,6488
1526701218,6494,6494
1526703283,6534,6534
1526704950,6505,6505
1526706877,6529,6529
1526708565,6562,6562
1526709400,6598,6598
1526710487,6618,6618
1526712343,6603,6603
1526713449,6603,6603
1526714927,6653,6653
1526715759,6599,6599
1526716587,6612,6612
1526717667,6582,6582
1526718516,6585,6585
1526720145,6570,6570
1526721268,6577,6577
1526722591,6599,6599
1526724936,6611,6611
1526726444,6656,6656
1526728478,6731,6731
1526730036,6749,6749
1526731002,6789,6789
1526732144,6827,6827
1526732915,6858,6858
1526735668,6904,6904
1526736930,6931,6931
1526737348,6948,6948
1526738197,6992,6992
1526739351,7024,7024
1526740534,7072,7072
1526740956,7085,7085
1526742872,7136,7136
1526743727,7162,7162
1526744556,7145,7145
1526746239,7144,7144
1526747446,7126,7126
1526748992,7168,7168
1526750925,7213,7213
1526752539,7238,7238
1526753682,7319,7319
1526754523,7355,7355
1526755356,7311,7311
1526756208,7360,7360
1526757340,7407,7407
1526758853,7412,7412
1526760273,7492,7492
1526761544,7529,7529
1526762744,7445,7445
1526764041,7437,7437
1526764482,7450,7450
1526765319,7476,7476
1526767010,7445,7445
1526768154,7412,7412
1526769753,7412,7412
1526771140,7404,7404
1526772337,7441,7441
1526773550,7476,7476
1526775041,7519,7519
1526776864,7581,7581
1526778869,7787,7787
1526780550,7794,7794
1526782122,7809,7809
1526783270,7864,7864
1526784942,7802,7802
1526786084,7806,7806
1526786940,7833,7833
1526787759,7783,7783
