DateTime,AddedIPs,RemovedIPs
1526591659,35,33
1526593343,18,25
1526594180,21,0
1526595263,7,42
1526597778,67,32
1526598926,26,15
1526600424,14,38
1526602227,38,33
1526602457,5,0
1526603302,14,2
1526604618,13,31
1526605824,16,23
1526606904,31,1
1526608166,14,35
1526609419,31,18
1526611342,56,15
1526612181,15,1
1526613260,21,19
1526614383,9,17
1526614953,8,16
1526615788,3,0
1526616858,14,27
1526618101,10,26
1526618545,27,0
1526619378,4,0
1526621299,78,26
1526622985,58,33
1526624141,9,14
1526624900,10,0
1526626219,21,32
1526627666,27,11
1526629339,17,43
1526631025,34,15
1526632944,22,28
1526633784,13,1
1526634857,20,23
1526636151,44,53
1526637658,7,23
1526638826,14,1
1526640140,9,50
1526641306,38,23
1526642442,28,0
1526643623,11,37
1526644584,8,0
1526645727,20,24
1526647338,400,77
1526648534,475,31
1526650099,20,2
1526651722,16,45
1526652920,25,16
1526654059,15,23
1526655539,14,31
1526656458,19,1
1526657299,7,1
1526658449,15,37
1526659831,12,35
1526661322,16,30
1526662518,12,15
1526663724,10,19
1526665229,11,50
1526667326,29,34
1526668516,23,29
1526669738,21,10
1526670930,23,35
1526672122,20,33
1526672539,6,0
1526673728,11,38
1526674892,19,2
1526675300,10,0
1526676141,230,43
1526678062,48,14
1526679753,29,53
1526680580,9,1
1526681661,17,20
1526682838,28,41
1526684177,14,13
1526686097,29,28
1526687251,12,49
1526688862,14,24
1526689697,9,0
1526690538,6,42
1526692459,25,17
1526694139,21,42
1526696060,20,20
1526696902,10,1
1526697743,4,33
1526699662,16,39
1526701150,13,15
1526703261,27,35
1526704938,24,37
1526706862,18,28
1526708544,20,46
1526709378,17,0
1526710472,26,18
1526712321,43,25
1526713260,9,17
1526714906,21,0
1526715747,12,48
1526716576,4,0
1526717656,12,25
1526718498,8,1
1526720121,26,38
1526721258,18,23
1526722562,17,34
1526724920,33,46
1526726425,25,39
1526728457,24,24
1526730025,37,39
1526730983,7,0
1526732124,14,19
1526732900,26,0
1526735658,40,72
1526736919,15,18
1526737337,9,11
1526738181,8,1
1526739325,20,21
1526740938,16,31
1526742857,26,22
1526743704,7,2
1526744541,11,32
1526746224,18,24
1526747422,15,30
1526748981,25,26
1526750904,17,20
1526752527,25,38
1526753663,37,44
1526754501,13,1
1526755341,14,34
1526756185,16,1
1526757321,12,11
1526758835,24,38
1526760259,20,30
1526761530,13,0
1526762723,13,24
1526764015,22,28
1526764468,6,3
1526765304,26,1
1526766985,26,40
1526768132,13,42
1526769740,19,40
1526771123,20,35
1526772325,23,0
1526773533,28,23
1526775020,53,20
1526776852,40,50
1526778859,26,32
1526780539,22,34
1526781893,27,48
1526783256,15,2
1526784927,28,44
1526786065,13,8
1526786911,41,1
1526787745,11,27
1526789300,18,38
1526790499,18,1
1526791820,18,75
1526793260,19,54
1526794115,11,1
1526794950,5,22
1526795780,10,0
1526796941,22,24
1526798428,70,24
1526799926,45,18
1526801156,19,1
1526802329,33,62
1526803553,22,26
1526804063,6,0
1526804904,10,3
1526805744,13,28
1526807676,37,72
1526808500,11,1
1526809340,25,30
1526811257,47,45
1526812523,29,29
1526813740,16,9
1526814864,58,13
1526816437,41,33
1526818221,61,860
1526819438,16,46
1526821827,42,28
1526823032,21,27
1526825668,41,18
1526826500,17,2
1526828190,40,33
1526829324,19,23
1526830942,21,20
1526831788,15,2
1526832926,11,12
1526833702,16,1
1526835380,23,23
1526836529,12,22
1526837299,11,2
1526839481,27,42
1526840603,21,3
1526841925,56,46
1526843084,15,14
