DateTime,Entries,UniqueIPs
1526591659,5141,5141
1526593343,5134,5134
1526594180,5155,5155
1526595263,5120,5120
1526597778,5155,5155
1526598926,5166,5166
1526600424,5142,5142
1526602227,5147,5147
1526602457,5152,5152
1526603302,5164,5164
1526604618,5146,5146
1526605824,5139,5139
1526606904,5169,5169
1526608166,5148,5148
1526609419,5161,5161
1526611342,5202,5202
1526612181,5216,5216
1526613260,5218,5218
1526614383,5210,5210
1526614953,5202,5202
1526615788,5205,5205
1526616858,5192,5192
1526618101,5176,5176
1526618545,5203,5203
1526619378,5207,5207
1526621299,5259,5259
1526622985,5284,5284
1526624141,5279,5279
1526624900,5289,5289
1526626219,5278,5278
1526627666,5294,5294
1526629339,5268,5268
1526631025,5287,5287
1526632944,5281,5281
1526633784,5293,5293
1526634857,5290,5290
1526636151,5281,5281
1526637658,5265,5265
1526638826,5278,5278
1526640140,5237,5237
1526641306,5252,5252
1526642442,5280,5280
1526643623,5254,5254
1526644584,5262,5262
1526645727,5258,5258
1526647338,5581,5581
1526648534,6025,6025
1526650099,6043,6043
1526651722,6014,6014
1526652920,6023,6023
1526654059,6015,6015
1526655539,5998,5998
1526656458,6016,6016
1526657299,6022,6022
1526658449,6000,6000
1526659831,5977,5977
1526661322,5963,5963
1526662518,5960,5960
1526663724,5951,5951
1526665229,5912,5912
1526667326,5907,5907
1526668516,5901,5901
1526669738,5912,5912
1526670930,5900,5900
1526672122,5887,5887
1526672539,5893,5893
1526673728,5866,5866
1526674892,5883,5883
1526675300,5893,5893
1526676141,6080,6080
1526678062,6114,6114
1526679753,6090,6090
1526680580,6098,6098
1526681661,6095,6095
1526682838,6082,6082
1526684177,6083,6083
1526686097,6084,6084
1526687251,6047,6047
1526688862,6037,6037
1526689697,6046,6046
1526690538,6010,6010
1526692459,6018,6018
1526694139,5997,5997
1526696060,5997,5997
1526696902,6006,6006
1526697743,5977,5977
1526699662,5954,5954
1526701150,5952,5952
1526703261,5944,5944
1526704938,5931,5931
1526706862,5921,5921
1526708544,5895,5895
1526709378,5912,5912
1526710472,5920,5920
1526712321,5938,5938
1526713260,5930,5930
1526714906,5951,5951
1526715747,5915,5915
1526716576,5919,5919
1526717656,5906,5906
1526718498,5913,5913
1526720121,5901,5901
1526721258,5896,5896
1526722562,5879,5879
1526724920,5866,5866
1526726425,5852,5852
1526728457,5852,5852
1526730025,5850,5850
1526730983,5857,5857
1526732124,5852,5852
1526732900,5878,5878
1526735658,5846,5846
1526736919,5843,5843
1526737337,5841,5841
1526738181,5848,5848
1526739325,5847,5847
1526740938,5832,5832
1526742857,5836,5836
1526743704,5841,5841
1526744541,5820,5820
1526746224,5814,5814
1526747422,5799,5799
1526748981,5798,5798
1526750904,5795,5795
1526752527,5782,5782
1526753663,5775,5775
1526754501,5787,5787
1526755341,5767,5767
1526756185,5782,5782
1526757321,5783,5783
1526758835,5769,5769
1526760259,5759,5759
1526761530,5772,5772
1526762723,5761,5761
1526764015,5755,5755
1526764468,5758,5758
1526765304,5783,5783
1526766985,5769,5769
1526768132,5740,5740
1526769740,5719,5719
1526771123,5704,5704
1526772325,5727,5727
1526773533,5732,5732
1526775020,5765,5765
1526776852,5755,5755
1526778859,5749,5749
1526780539,5737,5737
1526781893,5716,5716
1526783256,5729,5729
1526784927,5713,5713
1526786065,5718,5718
1526786911,5758,5758
1526787745,5742,5742
1526789300,5722,5722
1526790499,5739,5739
1526791820,5682,5682
1526793260,5647,5647
1526794115,5657,5657
1526794950,5640,5640
1526795780,5650,5650
1526796941,5648,5648
1526798428,5694,5694
1526799926,5721,5721
1526801156,5739,5739
1526802329,5710,5710
1526803553,5706,5706
1526804063,5712,5712
1526804904,5719,5719
1526805744,5704,5704
1526807676,5669,5669
1526808500,5679,5679
1526809340,5674,5674
1526811257,5676,5676
1526812523,5676,5676
1526813740,5683,5683
1526814864,5728,5728
1526816437,5736,5736
1526818221,4937,4937
1526819438,4907,4907
1526821827,4921,4921
1526823032,4915,4915
1526825668,4938,4938
1526826500,4953,4953
1526828190,4960,4960
1526829324,4956,4956
1526830942,4957,4957
1526831788,4970,4970
1526832926,4969,4969
1526833702,4984,4984
1526835380,4984,4984
1526836529,4974,4974
1526837299,4983,4983
1526839481,4968,4968
1526840603,4986,4986
1526841925,4996,4996
1526843084,4997,4997
1526845244,4982,4982
1526846184,4995,4995
1526847263,4884,4884
1526848547,4737,4737
1526850343,4730,4730
1526851728,4755,4755
1526853024,4747,4747
1526854461,4747,4747
1526857520,4749,4749
1526858066,4760,4760
1526859742,4758,4758
1526860580,4772,4772
1526861728,4801,4801
1526862499,4815,4815
1526863371,4782,4782
1526864752,4794,4794
1526866945,4809,4809
1526867779,4818,4818
1526868926,4830,4830
1526870578,4833,4833
1526872230,4847,4847
1526874156,4838,4838
1526876062,4855,4855
1526877744,4853,4853
1526878582,4863,4863
1526879723,4838,4838
1526881349,4793,4793
1526883033,4793,4793
1526884363,4786,4786
1526885725,4797,4797
1526886924,4806,4806
1526887700,4821,4821
1526889336,4820,4820
1526890523,4825,4825
1526892294,4837,4837
1526892982,4851,4851
1526894123,4862,4862
1526895229,4856,4856
1526897427,4903,4903
1526898508,4932,4932
1526899350,4902,4902
1526900722,4941,4941
1526902105,4974,4974
1526903420,4916,4916
1526904863,4919,4919
1526906550,4956,4956
1526907737,5001,5001
1526908923,5057,5057
1526910050,5072,5072
1526912058,5113,5113
1526912904,5133,5133
1526914318,5157,5157
1526915434,5173,5173
1526916506,5200,5200
1526917352,5182,5182
1526919036,5177,5177
1526920231,5184,5184
1526921722,5219,5219
1526922921,5195,5195
1526923703,5207,5207
1526924712,5176,5176
1526925975,5199,5199
1526927302,5228,5228
1526928167,5221,5221
1526928982,5264,5264
1526930060,5297,5297
1526930904,5316,5316
1526931743,5314,5314
1526934519,5400,5400
1526936193,5401,5401
1526937263,5402,5402
1526938139,5426,5426
1526939792,5438,5438
1526940861,5457,5457
1526942993,5452,5452
1526944459,5464,5464
1526945722,5455,5455
1526947846,5462,5462
1526949049,5501,5501
1526950412,5532,5532
1526951728,5533,5533
1526952864,5546,5546
1526955259,5575,5575
1526956832,5554,5554
1526958861,5558,5558
1526959709,5572,5572
1526960550,5547,5547
1526962232,5542,5542
1526963423,5540,5540
1526964147,5543,5543
1526965323,5539,5539
1526966069,5544,5544
1526967322,5480,5480
1526969081,5447,5447
1526969661,5450,5450
1526971235,5431,5431
1526973281,5410,5410
1526974099,5418,5418
1526975826,5412,5412
1526976862,5396,5396
1526977708,5402,5402
1526979383,5369,5369
1526980529,5338,5338
1526981726,5317,5317
1526982922,5325,5325
1526984061,5310,5310
1526984899,5317,5317
1526985747,5241,5241
1526987666,5195,5195
1526988947,5188,5188
1526990179,5212,5212
1526991324,5220,5220
1526992939,5256,5256
1526994266,5266,5266
1526996542,5301,5301
1526997382,5320,5320
1526998461,5326,5326
1527000148,5326,5326
1527002061,5349,5349
1527003747,5355,5355
1527004579,5338,5338
1527005661,5335,5335
1527006516,5345,5345
1527008414,5327,5327
1527009653,5339,5339
1527010105,5346,5346
1527010961,5319,5319
1527012346,5297,5297
1527013729,5303,5303
1527014539,5273,5273
1527015383,5291,5291
1527016469,5285,5285
1527018038,5276,5276
1527019199,5281,5281
1527020903,5295,5295
1527021743,5276,5276
1527022581,5293,5293
1527023662,5283,5283
1527024508,5324,5324
1527027037,5603,5603
1527028100,5710,5710
1527029428,5838,5838
1527030540,6133,6133
1527031707,6623,6623
1527033410,7112,7112
1527034462,7412,7412
1527036041,7811,7811
1527037548,8297,8297
1527039031,8427,8427
1527041436,8465,8465
1527042510,8502,8502
1527044193,8504,8504
1527045342,8526,8526
1527046540,8521,8521
1527047724,8566,8566
1527048920,8548,8548
1527050541,8550,8550
1527051928,8556,8556
1527053741,8571,8571
1527054981,8579,8579
1527056900,8601,8601
1527057739,8582,8582
1527059126,8569,8569
1527060328,8597,8597
1527061529,8576,8576
1527062847,8578,8578
1527063268,8593,8593
1527064107,8616,8616
1527064944,8593,8593
1527066355,8562,8562
1527067521,8590,8590
1527068542,8541,8541
1527070459,8515,8515
1527072046,8501,8501
1527073539,8530,8530
1527074070,8544,8544
1527075741,8530,8530
1527077673,8528,8528
1527079343,8512,8512
1527080723,8526,8526
1527082957,8498,8498
1527084863,8513,8513
1527086117,8505,8505
1527087392,8521,8521
1527088463,8513,8513
1527089301,8527,8527
