DateTime,Entries,UniqueIPs
1526780852,6711,6711
1526781573,6709,6709
1526782291,6710,6710
1526783012,6709,6709
1526783617,6708,6708
1526784212,6704,6704
1526784932,6703,6703
1526785652,6704,6704
1526786650,1070,1070
1526787573,6712,6712
1526789013,6711,6711
1526789732,6710,6710
1526790452,6708,6708
1526791412,6713,6713
1526792133,6716,6716
1526792851,6716,6716
1526793572,6715,6715
1526794292,6718,6718
1526795252,6720,6720
1526796213,6716,6716
1526797172,6717,6717
1526798133,6711,6711
1526799092,6709,6709
1526800052,6706,6706
1526801012,6705,6705
1526801972,6697,6697
1526802932,6658,6658
1526803892,6661,6661
1526804852,6649,6649
1526805811,6637,6637
1526806772,6632,6632
1526807731,6630,6630
1526808692,6629,6629
1526809651,6630,6630
1526810612,6629,6629
1526811572,6620,6620
1526812532,6624,6624
1526813492,6624,6624
1526814452,6625,6625
1526816132,6627,6627
1526816852,6626,6626
1526817633,6620,6620
1526818531,6622,6622
1526819491,6622,6622
1526820452,6612,6612
1526821172,6612,6612
1526821892,6623,6623
1526822611,6620,6620
1526823573,6621,6621
1526824292,6619,6619
1526825013,6620,6620
1526825731,6616,6616
1526826691,6614,6614
1526827411,6614,6614
1526828132,6610,6610
1526828852,6607,6607
1526829572,6602,6602
1526830532,6597,6597
1526831492,6599,6599
1526832452,6597,6597
1526833412,6589,6589
1526834372,6585,6585
1526835331,6595,6595
1526836292,6598,6598
1526837252,6582,6582
1526838213,6580,6580
1526838932,6579,6579
1526839652,6578,6578
1526840372,6580,6580
1526841092,6580,6580
1526842051,6576,6576
1526843012,6580,6580
1526843972,6580,6580
1526844693,6579,6579
1526845411,6579,6579
1526846131,6581,6581
1526846851,6582,6582
1526847812,6575,6575
1526848771,6574,6574
1526849731,6580,6580
1526850692,6578,6578
1526851651,6578,6578
1526852611,6579,6579
1526853572,6575,6575
1526854532,6578,6578
1526855493,6574,6574
1526858612,6564,6564
1526859108,6562,6562
1526859813,6536,6536
1526860532,6536,6536
1526861251,6535,6535
1526862212,6549,6549
1526863172,6546,6546
1526864131,6548,6548
1526865092,6552,6552
1526866051,6552,6552
1526867013,6554,6554
1526867939,6558,6558
1526868932,6559,6559
1526869891,6564,6564
1526870612,6565,6565
1526871332,6562,6562
1526872067,6586,6586
1526872771,6583,6583
1526873751,6581,6581
1526874691,6577,6577
1526875652,6577,6577
1526876612,6579,6579
1526877572,6578,6578
1526878292,6580,6580
1526879011,6581,6581
1526879731,6580,6580
1526880451,6582,6582
1526881412,6581,6581
1526882132,6580,6580
1526882851,6580,6580
1526883572,6580,6580
1526884292,6578,6578
1526885252,6582,6582
1526885972,6582,6582
1526886692,6580,6580
1526887413,6583,6583
1526888131,6585,6585
1526889092,6576,6576
1526890052,6568,6568
1526891011,6563,6563
1526891972,6562,6562
1526892932,6561,6561
1526893891,6559,6559
1526894852,6567,6567
1526895812,6571,6571
1526896772,6568,6568
1526897732,6570,6570
1526898693,6564,6564
1526899412,6561,6561
1526900131,6556,6556
1526900852,6562,6562
1526901572,6565,6565
1526902533,6586,6586
1526903492,6585,6585
1526904452,6584,6584
1526905892,6592,6592
1526906612,6596,6596
1526907332,6599,6599
1526908292,6598,6598
1526909011,6595,6595
1526909732,6594,6594
1526910692,6597,6597
1526911651,6598,6598
1526912612,6601,6601
1526913572,6601,6601
1526914532,6605,6605
1526915492,6608,6608
1526916212,6608,6608
1526916932,6613,6613
1526917651,6610,6610
1526918372,6613,6613
1526919332,6611,6611
1526920292,6612,6612
1526921012,6614,6614
1526921733,6612,6612
1526922453,6607,6607
1526923172,6603,6603
1526924133,6606,6606
1526925091,6605,6605
1526927972,6613,6613
1526928693,6610,6610
1526929412,6611,6611
1526930371,6615,6615
1526931092,6618,6618
1526931811,6627,6627
1526932532,6634,6634
1526933491,6635,6635
1526935653,6640,6640
1526937092,6638,6638
1526938052,6632,6632
1526939011,6634,6634
1526939971,6639,6639
1526941652,6643,6643
1526943093,6644,6644
1526944052,6649,6649
1526945012,7063,7063
1526945972,7070,7070
1526946933,7067,7067
1526947892,7066,7066
1526948852,7059,7059
1526949812,7062,7062
1526950771,7062,7062
1526951732,7062,7062
1526952692,7065,7065
1526953651,7067,7067
1526954612,7068,7068
1526955572,7069,7069
1526956531,7067,7067
1526957252,7069,7069
1526958932,7047,7047
1526959925,7050,7050
1526960611,7051,7051
1526961332,7054,7054
1526962533,7051,7051
1526963491,7052,7052
1526964333,7051,7051
1526965892,7050,7050
1526966612,7266,7266
1526967571,7270,7270
1526968532,7269,7269
1526969492,7262,7262
1526970452,7260,7260
1526971413,7257,7257
1526972852,7572,7572
1526973812,7578,7578
1526975011,7577,7577
1526976453,7580,7580
1526977412,7582,7582
1526978372,7584,7584
1526979332,7584,7584
1526980292,7581,7581
1526981252,7576,7576
1526982212,7571,7571
1526983172,7570,7570
1526984132,7570,7570
1526985573,7576,7576
1526986292,7575,7575
1526987011,7577,7577
1526988392,7579,7579
1526989412,7563,7563
1526990432,7564,7564
1526991333,7562,7562
1526992291,7558,7558
1526993252,7559,7559
1526994212,7560,7560
1526995172,7563,7563
1526996612,7566,7566
1526997332,7567,7567
1526998052,7564,7564
1526998771,7563,7563
1526999492,7562,7562
1527000211,7559,7559
1527000932,7566,7566
1527001892,7564,7564
1527002612,7566,7566
1527003332,7562,7562
1527004293,7561,7561
1527005252,7562,7562
1527006212,7560,7560
1527006932,7561,7561
1527007652,7568,7568
1527008372,7565,7565
1527009092,7567,7567
1527010052,7698,7698
1527011012,7694,7694
1527014133,7697,7697
1527015092,7696,7696
1527016052,7698,7698
1527017011,7699,7699
1527017972,7690,7690
1527018932,7684,7684
1527019893,7682,7682
1527020852,7681,7681
1527021813,7685,7685
1527023491,7684,7684
1527024092,7686,7686
1527025052,7684,7684
1527026011,7681,7681
1527027033,7678,7678
1527027933,7671,7671
1527028531,7672,7672
1527029252,7670,7670
1527030451,7688,7688
1527031200,7431,7431
1527031894,7276,7276
1527032851,7277,7277
1527033812,7275,7275
1527034771,7279,7279
1527035491,7495,7495
1527036212,7496,7496
1527036932,7494,7494
1527037891,7489,7489
1527038852,7485,7485
1527040292,7479,7479
1527041252,7477,7477
1527042212,7475,7475
1527043174,7481,7481
1527044136,7482,7482
1527045092,7481,7481
1527045814,7479,7479
1527046993,7478,7478
1527048451,7480,7480
1527049412,7478,7478
1527050372,7479,7479
1527051332,7481,7481
1527052292,7477,7477
1527053251,7264,7264
1527054211,7263,7263
1527055172,7267,7267
1527056612,7264,7264
1527057572,7267,7267
1527058549,6966,6966
1527059492,6966,6966
1527060212,6965,6965
1527060931,6970,6970
1527061892,6970,6970
1527062853,6957,6957
1527063813,6960,6960
1527064773,6962,6962
1527065732,6967,6967
1527066693,6973,6973
1527067653,6971,6971
1527068612,6979,6979
1527069632,6981,6981
1527070531,6994,6994
1527071491,6995,6995
1527072452,6997,6997
1527074132,7018,7018
1527074852,7016,7016
1527075811,7019,7019
1527076832,7023,7023
1527078211,7035,7035
1527078931,7037,7037
1527079653,7036,7036
1527080612,7034,7034
1527081572,7032,7032
1527082533,7029,7029
1527083491,7029,7029
1527085411,7026,7026
1527086132,7026,7026
1527087092,7022,7022
1527088052,7025,7025
1527089012,7019,7019
1527089972,7043,7043
1527090932,7055,7055
1527091892,7074,7074
1527092851,7080,7080
1527093812,7072,7072
1527094532,7073,7073
1527095252,7087,7087
1527095971,7478,7478
1527096932,7351,7351
1527097891,7354,7354
1527098853,7353,7353
1527099812,7351,7351
1527100771,7347,7347
1527101732,7347,7347
1527102692,7341,7341
1527103652,7343,7343
1527104613,7346,7346
1527105571,7345,7345
1527106532,7508,7508
1527107492,7520,7520
1527108932,7524,7524
1527109653,7522,7522
1527110372,7520,7520
1527111093,7520,7520
1527111812,7521,7521
1527112533,7519,7519
1527113253,7515,7515
1527114213,7518,7518
1527116372,7632,7632
1527117093,7607,7607
1527117660,7608,7608
1527118292,7610,7610
