DateTime,Entries,UniqueIPs
1526067869,776,797
1526071711,784,805
1526073632,809,830
1526075563,804,823
1526077466,816,835
1526079385,816,832
1526083254,821,838
1526085147,823,840
1526087304,842,859
1526089226,865,882
1526093070,870,887
1526094996,881,898
1526096913,872,890
1526098836,881,900
1526100746,902,922
1526102669,920,940
1526104591,928,949
1526106510,959,980
1526108424,964,985
1526110350,981,1000
1526112269,987,1005
1526114190,996,1015
1526116117,1001,1022
1526118256,1011,1032
1526120207,1009,1030
1526122111,1018,1039
1526124012,1023,1045
1526127870,1027,1048
1526130029,1026,1049
1526131941,1026,1049
1526135794,1013,1036
1526137715,1028,1053
1526139628,1013,1036
1526144173,1013,1036
1526146091,1025,1049
1526148024,1034,1063
1526149935,1040,1069
1526151866,1038,1067
1526153783,1047,1078
1526155704,1041,1070
1526157626,1061,1090
1526161457,1048,1076
1526163382,1053,1082
1526166264,1032,1061
1526168182,1052,1081
1526170099,1055,1084
1526172757,1055,1084
1526174659,1054,1083
1526176575,1065,1094
1526180430,1066,1095
1526182332,1055,1085
1526184251,1056,1085
1526186184,1063,1093
1526188838,1058,1086
1526190736,1049,1079
1526192655,1040,1068
1526194586,1041,1069
1526196486,1028,1055
1526199371,993,1022
1526201291,983,1011
1526203208,972,1000
1526207049,961,987
1526208976,951,977
1526210890,953,977
1526212814,974,998
1526214729,964,989
1526216670,966,991
1526218571,962,986
1526220489,987,1011
1526222413,987,1011
1526224332,985,1008
1526228180,999,1021
1526232014,1006,1029
1526235853,984,1006
1526239688,992,1014
1526242592,959,979
1526244495,961,982
1526246426,976,997
1526248358,965,987
1526250867,946,968
1526253154,947,968
1526255051,951,973
1526257222,935,957
1526261064,936,956
1526262981,923,943
1526264894,953,973
1526266825,981,1004
1526268738,976,1000
1526270667,983,1007
1526272592,983,1007
1526274512,1001,1025
1526276662,999,1024
1526278580,996,1023
1526280494,1015,1042
1526282419,1004,1028
1526284332,1000,1023
1526286254,990,1012
1526288174,995,1019
1526290104,995,1019
1526292024,1004,1029
1526293945,997,1023
1526297789,990,1015
1526299698,991,1016
1526301855,997,1022
1526305007,974,999
1526306814,1004,1029
1526308854,976,1001
1526311499,986,1010
1526313380,1001,1025
1526317257,1000,1024
1526319208,989,1012
1526321089,1002,1026
1526323234,987,1011
1526325145,1008,1032
1526327076,1007,1031
1526329007,1002,1027
1526331401,990,1014
1526333303,1003,1028
1526335255,996,1020
1526337559,1003,1027
1526339783,1005,1028
1526341694,994,1018
1526343609,1006,1030
1526345533,1019,1044
1526347448,1047,1073
1526351297,999,1025
1526353236,988,1015
1526355135,1007,1034
1526357063,987,1014
1526358972,982,1008
1526360906,967,991
1526363162,944,968
1526364971,953,977
1526367140,922,944
1526369052,930,952
1526370968,908,929
1526372905,910,931
1526374833,905,926
1526376746,907,928
1526380575,883,901
1526382617,918,936
1526384918,913,931
1526391152,883,903
1526397153,816,835
1526399066,802,821
1526400995,805,824
1526402914,819,839
1526404833,812,833
1526408906,799,819
1526410835,797,817
1526412752,782,802
1526414689,764,784
1526417079,780,799
1526418985,784,803
1526420893,780,799
1526422919,790,810
1526424748,780,801
1526426671,788,809
1526428590,775,794
1526430512,790,810
1526432434,780,800
1526434362,769,787
1526436282,786,805
1526438199,782,802
1526440118,795,816
1526442030,797,818
1526443956,812,834
1526447800,805,828
1526449713,798,821
1526451638,807,832
1526453553,805,829
1526455470,801,824
1526457372,814,837
1526459311,807,830
1526461249,811,834
1526463150,808,831
1526465084,829,852
1526466974,837,863
1526468924,841,867
1526472757,805,832
1526474666,826,854
1526478493,820,848
1526480425,845,873
1526482357,858,886
1526484268,865,897
1526486185,877,912
1526488841,876,911
1526490743,870,904
1526492669,873,907
1526494583,875,909
1526496494,875,910
1526498411,873,908
1526500335,874,909
1526502270,881,915
1526504196,860,893
1526506100,872,905
1526508027,855,886
1526510628,843,875
1526512823,858,891
1526514745,841,874
1526516662,844,877
1526518582,831,861
1526520491,867,897
1526522427,861,890
1526524344,852,879
1526526270,836,862
1526528190,835,858
1526530111,830,850
1526532025,813,832
1526533951,831,850
1526535856,827,846
1526537792,823,843
1526541631,808,826
1526543533,798,814
1526547405,788,805
1526549291,783,800
1526551239,788,805
1526553148,782,801
1526555061,781,800
1526556990,780,799
1526560807,777,796
1526562999,783,804
1526566824,770,791
1526568765,744,765
1526570662,764,787
1526574507,727,749
1526576428,725,747
1526578351,724,746
1526580272,709,730
1526584110,688,706
1526586018,685,704
1526587946,683,702
1526589859,697,715
1526591792,704,722
1526593713,712,732
1526595619,705,725
1526602107,682,699
1526606184,671,688
1526610016,644,662
1526617703,600,617
1526619624,601,618
1526621541,588,605
1526623478,590,606
