DateTime,AddedIPs,RemovedIPs
1526067869,60,25
1526071711,39,59
1526073632,44,38
1526075563,46,42
1526077466,51,47
1526079385,30,52
1526083254,47,32
1526085147,33,45
1526087304,54,32
1526089226,42,52
1526093070,39,43
1526094996,50,39
1526096913,31,46
1526098836,45,38
1526100746,51,47
1526102669,58,48
1526104591,46,55
1526106510,49,43
1526108424,54,52
1526110350,51,54
1526112269,51,51
1526114190,29,46
1526116117,30,33
1526118256,40,36
1526120207,49,37
1526122111,49,49
1526124012,44,51
1526127870,58,43
1526130029,51,57
1526131941,50,46
1526135794,33,53
1526137715,51,34
1526139628,18,54
1526144173,52,19
1526146091,50,50
1526148024,42,50
1526149935,28,42
1526151866,19,27
1526153783,49,19
1526155704,45,48
1526157626,40,45
1526161457,48,38
1526163382,47,52
1526166264,40,43
1526168182,41,41
1526170099,45,40
1526172757,24,48
1526174659,46,25
1526176575,52,43
1526180430,42,51
1526182332,25,46
1526184251,39,24
1526186184,52,36
1526188838,50,57
1526190736,45,46
1526192655,21,48
1526194586,57,20
1526196486,40,55
1526199371,42,41
1526201291,11,45
1526203208,12,12
1526207049,48,12
1526208976,39,44
1526210890,40,42
1526212814,47,41
1526214729,30,39
1526216670,38,35
1526218571,43,37
1526220489,50,43
1526222413,35,50
1526224332,43,34
1526228180,40,42
1526232014,46,40
1526235853,37,48
1526239688,45,39
1526242592,22,45
1526244495,39,23
1526246426,28,39
1526248358,36,31
1526250867,13,34
1526253154,47,13
1526255051,54,40
1526257222,14,57
1526261064,47,14
1526262981,37,45
1526264894,56,38
1526266825,49,57
1526268738,54,48
1526270667,42,49
1526272592,45,46
1526274512,41,45
1526276662,59,46
1526278580,38,55
1526280494,52,34
1526282419,32,57
1526284332,44,33
1526286254,15,47
1526288174,20,17
1526290104,10,20
1526292024,20,10
1526293945,32,20
1526297789,49,30
1526299698,40,43
1526301855,45,42
1526305007,46,49
1526306814,44,47
1526308854,40,43
1526311499,55,41
1526313380,29,54
1526317257,35,27
1526319208,31,35
1526321089,22,31
1526323234,24,20
1526325145,31,24
1526327076,46,34
1526329007,22,45
1526331401,16,25
1526333303,50,15
1526335255,19,50
1526337559,20,19
1526339783,34,19
1526341694,43,32
1526343609,19,46
1526345533,32,19
1526347448,50,31
1526351297,45,49
1526353236,36,42
1526355135,29,38
1526357063,14,33
1526358972,37,12
1526360906,30,37
1526363162,56,27
1526364971,14,59
1526367140,23,14
1526369052,46,23
1526370968,22,42
1526372905,15,28
1526374833,13,15
1526376746,8,13
1526380575,11,9
1526382617,52,11
1526384918,43,50
1526391152,39,43
1526397153,25,39
1526399066,37,25
1526400995,39,33
1526402914,28,41
1526404833,27,28
1526408906,22,31
1526410835,22,21
1526412752,15,21
1526414689,20,12
1526417079,56,21
1526418985,15,57
1526420893,55,15
1526422919,42,54
1526424748,16,45
1526426671,44,15
1526428590,24,43
1526430512,54,24
1526432434,20,55
1526434362,45,18
1526436282,39,43
1526438199,51,40
1526440118,48,52
1526442030,55,48
1526443956,47,52
1526447800,50,50
1526449713,33,50
1526451638,45,36
1526453553,30,42
1526455470,46,27
1526457372,27,45
1526459311,11,33
1526461249,22,13
1526463150,17,22
1526465084,34,16
1526466974,26,31
1526468924,15,25
1526472757,41,18
1526474666,40,40
1526478493,40,41
1526480425,40,39
1526482357,33,40
1526484268,58,29
1526486185,43,59
1526488841,19,45
1526490743,22,21
1526492669,31,17
1526494583,17,35
1526496494,39,18
1526498411,26,37
1526500335,21,29
1526502270,30,16
1526504196,12,31
1526506100,40,14
1526508027,18,41
1526510628,26,18
1526512823,37,24
1526514745,10,37
1526516662,28,10
1526518582,16,29
1526520491,55,17
1526522427,17,54
1526524344,15,19
1526526270,16,14
1526528190,47,15
1526530111,43,34
1526532025,27,53
1526533951,35,26
1526535856,37,31
1526537792,28,37
1526541631,50,33
1526543533,16,51
1526547405,18,16
1526549291,13,21
1526551239,25,13
1526553148,20,23
1526555061,23,20
1526556990,23,24
1526560807,26,20
1526562999,44,26
1526566824,14,46
1526568765,22,10
1526570662,41,26
1526574507,32,42
1526576428,18,33
1526578351,12,15
1526580272,8,15
1526584110,10,8
1526586018,18,11
1526587946,18,19
1526589859,52,17
1526591792,27,51
1526593713,63,26
1526595619,14,61
1526602107,16,18
1526606184,26,13
1526610016,53,28
1526617703,46,48
1526619624,24,47
1526621541,12,26
1526623478,50,10
1526625375,29,50
1526629223,35,30
1526631145,26,36
1526633059,40,26
1526636906,34,40
1526638819,42,33
1526640738,31,46
1526642659,42,30
1526644586,23,42
1526647018,12,21
1526648914,37,11
1526650829,16,38
1526652744,28,15
1526654665,56,30
1526656820,43,57
1526658742,26,43
1526660653,49,23
1526662579,21,49
1526664492,41,21
1526668354,15,40
1526670264,21,13
1526672196,19,23
1526674120,11,20
1526676050,21,11
1526677953,18,24
1526679864,51,16
1526683947,28,51
1526685867,56,27
1526688043,59,52
