DateTime,AddedIPs,RemovedIPs
1526749462,39,19
1526750412,53,18
1526751405,46,22
1526752356,32,15
1526753330,41,13
1526754263,36,17
1526755215,41,27
1526756171,32,18
1526757163,49,10
1526758092,43,24
1526759061,39,17
1526760021,34,16
1526760986,35,10
1526761949,56,15
1526762894,24,19
1526763869,32,18
1526764824,51,11
1526765775,31,21
1526766755,25,9
1526767696,80,1224
1526768658,81,16
1526769569,49,14
1526770584,39,34
1526771563,46,5
1526772604,60,23
1526773698,42,17
1526774663,49,9
1526775616,62,11
1526776591,62,23
1526777532,69,12
1526778496,77,13
1526779455,51,11
1526780419,67,23
1526781371,33,19
1526782378,68,15
1526783293,52,22
1526784273,46,10
1526785218,47,15
1526786186,59,17
1526787143,45,7
1526788099,35,12
1526789073,40,15
1526790014,48,5
1526790986,42,14
1526791935,42,19
1526792918,52,11
1526793860,34,15
1526794817,29,3
1526795779,35,15
1526796762,37,21
1526797699,40,9
1526798658,34,12
1526799626,34,21
1526800579,42,11
1526801544,26,31
1526802532,35,12
1526803465,56,34
1526804429,37,29
1526805378,38,14
1526806347,37,16
1526807310,30,6
1526808278,37,29
1526809217,23,3
1526810178,38,19
1526811145,50,17
1526812097,47,16
1526813057,25,7
1526814022,26,16
1526814990,44,10
1526816216,52,29
1526817138,34,1
1526818101,49,20
1526819079,67,16
1526820020,49,29
1526820977,29,3
1526821974,49,13
1526823143,68,27
1526824095,32,7
1526825088,34,17
1526826016,37,10
1526827220,53,17
1526828192,47,16
1526829143,42,15
1526830095,37,29
1526831057,34,4
1526832050,37,22
1526832989,41,17
1526833959,53,32
1526834895,38,14
1526835865,34,4
1526836820,56,17
1526837803,56,23
1526838737,44,10
1526839720,41,26
1526840658,48,14
1526841617,63,13
1526842586,40,21
1526843557,56,26
1526844495,24,9
1526845502,39,21
1526846428,36,18
1526847386,56,14
1526848347,42,14
1526849297,28,14
1526850264,41,24
1526851218,31,12
1526852207,32,17
1526853140,22,5
1526854113,100,1059
1526855077,36,15
1526856149,46,21
1526857982,66,23
1526858893,27,24
1526859870,33,25
1526860823,52,22
1526861815,35,13
1526862742,29,6
1526863700,36,15
1526864673,35,15
1526865629,36,21
1526866604,42,9
1526867545,25,21
1526868495,40,9
1526869462,40,14
