DateTime,Entries,UniqueIPs
1526749462,88434,88434
1526750412,88455,88455
1526751405,88418,88418
1526752356,88371,88371
1526753330,88352,88352
1526754263,88349,88349
1526755215,88337,88337
1526756171,88286,88286
1526757163,88282,88282
1526758092,88269,88269
1526759061,88276,88276
1526760021,88219,88219
1526760986,88206,88206
1526761949,88126,88126
1526762894,88123,88123
1526763869,88026,88026
1526764824,88000,88000
1526765775,88401,88401
1526766755,89017,89017
1526767696,87857,87857
1526768658,87884,87884
1526769569,87858,87858
1526770584,87795,87795
1526771563,87783,87783
1526772604,87746,87746
1526773698,87722,87722
1526774663,87673,87673
1526775616,87677,87677
1526776591,87576,87576
1526777532,87651,87651
1526778496,87572,87572
1526779455,87626,87626
1526780419,87583,87583
1526781371,87560,87560
1526782378,87544,87544
1526783293,87553,87553
1526784273,87536,87536
1526785218,87539,87539
1526786186,87506,87506
1526787143,87485,87485
1526788099,87487,87487
1526789073,87453,87453
1526790014,87466,87466
1526790986,87436,87436
1526791935,87449,87449
1526792918,87422,87422
1526793860,87399,87399
1526794817,87372,87372
1526795779,87346,87346
1526796762,87341,87341
1526797699,87294,87294
1526798658,87275,87275
1526799626,87239,87239
1526800579,87268,87268
1526801544,87162,87162
1526802532,87140,87140
1526803465,87124,87124
1526804429,87138,87138
1526805378,87098,87098
1526806347,87060,87060
1526807310,87039,87039
1526808278,86995,86995
1526809217,86964,86964
1526810178,86957,86957
1526811145,86992,86992
1526812097,86977,86977
1526813057,86932,86932
1526814022,86901,86901
1526814990,86903,86903
1526816216,86883,86883
1526817138,86836,86836
1526818101,86796,86796
1526819079,86814,86814
1526820020,86808,86808
1526820977,86778,86778
1526821974,86781,86781
1526823143,86808,86808
1526824095,86796,86796
1526825088,86741,86741
1526826016,86766,86766
1526827220,86708,86708
1526828192,86703,86703
1526829143,86753,86753
1526830095,86771,86771
1526831057,86650,86650
1526832050,86702,86702
1526832989,86578,86578
1526833959,86592,86592
1526834895,86649,86649
1526835865,86552,86552
1526836820,86618,86618
1526837803,86539,86539
1526838737,86509,86509
1526839720,86534,86534
1526840658,86520,86520
1526841617,86513,86513
1526842586,86492,86492
1526843557,86511,86511
1526844495,86450,86450
1526845502,86433,86433
1526846428,86386,86386
1526847386,86410,86410
1526848347,86386,86386
1526849297,86378,86378
1526850264,86344,86344
1526851218,86341,86341
1526852207,86431,86431
1526853140,87409,87409
1526854113,85613,85613
1526855077,85570,85570
1526856149,85515,85515
1526857982,85503,85503
1526858893,85443,85443
1526859870,85442,85442
1526860823,85404,85404
1526861815,85363,85363
1526862742,85278,85278
1526863700,85264,85264
1526864673,85231,85231
1526865629,85261,85261
1526866604,85258,85258
1526867545,85217,85217
1526868495,85212,85212
1526869462,85191,85191
1526870416,85217,85217
1526871397,85214,85214
1526872338,85219,85219
1526873328,85253,85253
1526874283,85265,85265
1526875263,85270,85270
1526876179,85294,85294
1526877146,85234,85234
1526878100,85255,85255
1526879086,85261,85261
1526880013,85251,85251
1526880989,85320,85320
1526881937,85305,85305
1526882924,85246,85246
1526883855,85294,85294
1526884827,85263,85263
1526885777,85319,85319
1526886781,85310,85310
1526887692,85305,85305
1526888670,85327,85327
1526889625,85237,85237
1526890581,85258,85258
1526891540,85286,85286
1526892557,85186,85186
1526893461,85224,85224
1526894419,85199,85199
1526895385,85140,85140
1526896367,85176,85176
1526897301,85120,85120
1526898265,85089,85089
1526899217,85096,85096
1526900216,85021,85021
1526901146,85080,85080
1526902099,85106,85106
1526903085,84997,84997
1526904062,85035,85035
1526904974,84995,84995
1526905955,84923,84923
1526906898,84912,84912
1526907872,84880,84880
1526909092,84831,84831
1526910263,84848,84848
1526911219,84791,84791
1526912186,84846,84846
1526913147,84783,84783
1526914096,84816,84816
1526915061,84807,84807
1526916013,84830,84830
1526917004,84771,84771
1526917940,84769,84769
1526918937,84728,84728
1526919863,84714,84714
1526920816,84683,84683
1526921791,84599,84599
1526922760,84593,84593
1526923697,84551,84551
1526924658,84531,84531
1526925635,84514,84514
1526926872,84499,84499
1526928038,84463,84463
1526928976,84442,84442
1526929966,84432,84432
1526931168,84395,84395
1526932108,84371,84371
1526933076,84308,84308
1526935030,84204,84204
1526936199,84273,84273
1526937187,84199,84199
1526938112,84635,84635
1526939092,85342,85342
1526940062,85745,85745
1526941265,83857,83857
1526942332,83909,83909
1526943629,83768,83768
1526944584,83807,83807
1526945547,83815,83815
1526946507,83681,83681
1526947467,83731,83731
1526948421,83748,83748
1526949390,83658,83658
1526950345,83616,83616
1526951317,83633,83633
1526952260,83681,83681
1526953224,83603,83603
1526954190,83566,83566
1526955660,83603,83603
1526956616,83535,83535
1526957811,83552,83552
1526958992,83553,83553
1526959963,83489,83489
1526960896,83515,83515
1526961869,83485,83485
1526963065,83452,83452
1526964030,83404,83404
1526965005,83378,83378
1526965975,83393,83393
1526967143,83317,83317
1526968102,83274,83274
1526969079,83281,83281
1526970044,83252,83252
