DateTime,AddedIPs,RemovedIPs
1526749462,761,765
1526750412,881,878
1526751405,727,723
1526752356,843,877
1526753330,818,805
1526754263,816,822
1526755215,735,721
1526756171,747,751
1526757163,925,916
1526758092,805,812
1526759061,728,733
1526760021,559,578
1526760986,715,723
1526761949,765,767
1526762894,573,590
1526763869,575,573
1526764824,681,692
1526765775,841,817
1526766755,683,652
1526767696,716,674
1526768658,1935,2024
1526769569,941,937
1526770584,617,632
1526771563,773,754
1526772604,1027,1030
1526773698,738,733
1526774663,779,778
1526775616,763,769
1526776591,859,858
1526777532,910,917
1526778496,1052,1044
1526779455,842,869
1526780419,1144,1167
1526781371,833,859
1526782378,934,911
1526783293,930,918
1526784273,813,811
1526785218,708,730
1526786186,972,991
1526787143,754,765
1526788099,928,944
1526789073,1198,1177
1526790014,783,802
1526790986,915,924
1526791935,865,864
1526792918,879,902
1526793860,697,709
1526794817,603,594
1526795779,663,676
1526796762,709,682
1526797699,671,665
1526798658,644,633
1526799626,603,623
1526800579,646,679
1526801544,460,476
1526802532,623,618
1526803465,839,797
1526804429,669,629
1526805378,694,689
1526806347,630,629
1526807310,713,709
1526808278,829,840
1526809217,699,704
1526810178,690,705
1526811145,831,818
1526812097,591,604
1526813057,421,430
1526814022,480,482
1526814990,702,695
1526816216,920,922
1526817138,844,855
1526818101,664,673
1526819079,794,797
1526820020,750,744
1526820977,731,777
1526821974,875,897
1526823143,1027,985
1526824095,874,825
1526825088,795,762
1526826016,767,755
1526827220,1150,1148
1526828192,808,799
1526829143,1065,1061
1526830095,884,893
1526831057,961,960
1526832050,1003,1010
1526832989,1104,1126
1526833959,1085,1076
1526834895,1182,1182
1526835865,1240,1215
1526836820,1396,1439
1526837803,861,848
1526838737,955,949
1526839720,775,773
1526840658,770,763
1526841617,1003,1014
1526842586,865,880
1526843557,925,922
1526844495,653,647
1526845502,1053,1058
1526846428,833,845
1526847386,1179,1196
1526848347,888,914
1526849297,921,912
1526850264,918,928
1526851218,853,898
1526852207,1018,1040
1526853140,1072,989
1526854113,1842,1955
1526855077,839,843
1526856149,1047,1060
1526857982,1536,1573
1526858893,849,895
1526859870,978,1020
1526860823,855,865
1526861815,1121,1063
1526862742,982,958
1526863700,962,991
1526864673,857,916
1526865629,1224,1259
1526866604,1136,1170
1526867545,1181,1181
1526868495,989,992
1526869462,1038,1058
1526870416,1129,1139
1526871397,1063,1040
1526872338,1112,1112
1526873328,1465,1479
1526874283,1279,1278
1526875263,1340,1331
1526876179,902,917
1526877146,1148,1190
1526878100,1099,1263
1526879086,898,938
1526880013,833,779
1526880989,1116,1056
1526881937,1201,1164
1526882924,1474,1443
1526883855,1905,1890
1526884827,1794,1833
1526885777,1433,1460
1526886781,804,789
1526887692,589,584
1526888670,590,578
1526889625,587,599
1526890581,820,841
1526891540,742,757
1526892557,638,642
1526893461,620,637
1526894419,698,709
1526895385,814,834
1526896367,509,500
1526897301,899,899
1526898265,597,591
1526899217,744,740
1526900216,455,461
1526901146,1015,1017
1526902099,648,654
1526903085,804,795
1526904062,716,729
1526904974,778,786
1526905955,503,524
1526906898,839,847
1526907872,791,801
1526909092,888,877
1526910263,938,933
1526911219,637,639
1526912186,778,782
1526913147,745,745
1526914096,551,558
1526915061,671,657
1526916013,732,733
1526917004,171,181
1526917940,929,937
1526918937,630,629
1526919863,777,759
1526920816,756,745
1526921791,637,642
1526922760,698,719
1526923697,694,682
1526924658,566,557
1526925635,690,670
1526926872,917,912
1526928038,798,790
1526928976,557,564
1526929966,746,737
1526931168,863,868
1526932108,500,487
1526933076,542,533
1526935030,1226,1212
1526936199,816,831
1526937187,682,684
1526938112,778,737
1526939092,793,757
1526940062,438,412
1526941265,1950,2023
1526942332,908,905
1526943629,776,751
1526944584,676,657
1526945547,555,548
1526946507,556,561
1526947467,674,680
1526948421,796,807
1526949390,670,664
1526950345,545,546
1526951317,766,748
1526952260,695,704
1526953224,685,674
1526954190,547,546
1526955660,962,981
1526956616,790,794
1526957811,587,602
1526958992,1137,1114
1526959963,744,720
1526960896,589,582
1526961869,676,646
1526963065,1024,1012
1526964030,809,783
1526965005,581,612
1526965975,1048,1083
1526967143,937,972
1526968102,612,623
1526969079,785,774
1526970044,950,926
1526970992,736,721
1526971955,679,682
1526972920,742,734
1526973885,838,820
1526975131,855,860
1526976042,725,702
1526976985,641,622
1526977949,140,149
1526978900,556,558
1526979869,891,895
1526980817,1032,1019
1526981798,712,709
1526982742,597,611
1526983709,629,645
1526984657,562,558
1526985647,503,499
1526986573,407,385
1526987595,607,603
1526988984,1132,1139
1526989952,691,654
1526990907,1019,1016
1526991880,865,880
1526992848,1204,1164
1526993783,125,133
1526994745,149,161
1526995707,416,442
1526996698,1006,1023
1526998133,1297,1237
1526999056,737,719
1527000018,733,730
1527000992,892,916
1527001969,1069,1060
1527002894,683,663
1527003871,868,886
1527004848,665,671
1527005785,688,719
1527006739,728,746
1527007715,713,705
1527008659,782,746
1527009621,952,920
1527010592,741,746
1527011545,1015,1007
1527013500,1628,1591
1527014663,1073,1084
1527015637,810,813
1527016588,713,707
1527017539,660,636
1527018498,789,794
1527019462,583,567
1527020422,602,594
1527021391,637,635
1527022360,845,856
1527023559,975,980
1527024499,910,907
1527025465,848,789
1527026429,739,690
1527027413,1932,1999
1527028613,1258,1254
1527029537,671,669
1527030522,672,683
1527031461,755,747
1527032415,867,860
1527033381,849,853
1527034445,788,824
1527035563,758,769
1527036505,933,933
1527037468,742,753
1527038425,712,693
1527039384,849,830
1527040358,848,840
1527041325,718,707
1527042275,599,600
1527043239,862,829
1527044211,801,777
1527045176,920,929
1527046098,664,672
1527047120,661,663
1527048039,613,608
1527048989,556,561
1527049947,591,580
1527050904,711,718
1527051871,584,578
1527052823,603,589
1527053785,729,709
1527054752,756,768
1527055723,707,717
1527056671,696,682
1527057637,773,764
1527058594,847,857
1527059556,624,628
1527060495,563,573
1527061482,782,777
1527062428,743,721
1527063387,828,812
1527064344,651,643
1527065296,721,725
1527066272,776,769
1527067222,490,480
1527068187,883,868
1527069138,779,756
1527070110,848,849
1527071070,187,171
1527072015,243,261
1527072976,635,664
1527074196,1052,1033
1527075389,902,894
1527076349,1085,1110
1527077308,633,662
1527078277,456,464
1527079217,705,718
1527080187,840,858
1527081149,710,720
1527082098,886,863
1527083084,804,797
1527085613,1982,1961
1527086656,996,991
1527087637,666,654
1527088574,670,673
1527089548,771,803
1527090499,723,753
1527091465,712,687
1527092418,708,652
1527093381,890,916
1527094603,1531,1547
1527095535,1121,1078
1527096492,1115,1143
1527097471,1367,1399
1527098425,1438,1427
1527099384,1657,1654
1527100342,809,795
1527101301,1561,1555
1527102263,693,717
1527103218,1180,1162
1527104191,258,255
1527105151,784,741
1527106099,918,919
1527107076,232,230
1527108014,242,229
1527109018,268,250
1527109955,587,588
1527110896,614,606
1527111895,687,678
1527112865,750,717
1527113782,1968,2011
1527115357,1311,1307
1527116441,834,816
1527117376,702,742
1527118362,1069,1093
1527119297,1026,1005
