DateTime,Entries,UniqueIPs
1526749459,2110,2110
1526750409,2092,2092
1526751402,2096,2096
1526752353,2074,2074
1526753327,2077,2077
1526754260,2072,2072
1526755212,2071,2071
1526756168,2064,2064
1526757160,2066,2066
1526758089,2062,2062
1526759058,2055,2055
1526760018,2042,2042
1526760983,2033,2033
1526761945,2042,2042
1526762891,2034,2034
1526763866,2028,2028
1526764821,2024,2024
1526765772,2028,2028
1526766752,2037,2037
1526767693,2037,2037
1526768654,2029,2029
1526769566,2029,2029
1526770581,2023,2023
1526771560,2028,2028
1526772600,2024,2024
1526773695,2018,2018
1526774660,2019,2019
1526775613,2010,2010
1526776588,2008,2008
1526777529,1990,1990
1526778493,2008,2008
1526779452,1986,1986
1526780416,1978,1978
1526781368,1951,1951
1526782375,1960,1960
1526783290,1979,1979
1526784270,1986,1986
1526785214,1972,1972
1526786183,1991,1991
1526787140,1989,1989
1526788096,1984,1984
1526789069,1979,1979
1526790011,1970,1970
1526790983,1981,1981
1526791932,1970,1970
1526792914,1956,1956
1526793856,1954,1954
1526794814,1954,1954
1526795776,1942,1942
1526796758,1939,1939
1526797695,1946,1946
1526798654,1946,1946
1526799622,1941,1941
1526800576,1924,1924
1526801540,1916,1916
1526802529,1918,1918
1526803462,1938,1938
1526804426,1949,1949
1526805374,1946,1946
1526806344,1939,1939
1526807306,1937,1937
1526808274,1927,1927
1526809214,1912,1912
1526810175,1913,1913
1526811140,1929,1929
1526812094,1934,1934
1526813053,1924,1924
1526814019,1911,1911
1526814987,1917,1917
1526816213,1917,1917
1526817134,1919,1919
1526818098,1921,1921
1526819076,1934,1934
1526820016,1935,1935
1526820974,1936,1936
1526821971,1936,1936
1526823139,1931,1931
1526824091,1929,1929
1526825085,1937,1937
1526826012,1940,1940
1526827216,1948,1948
1526828188,1961,1961
1526829138,1963,1963
1526830092,1965,1965
1526831054,1966,1966
1526832047,1968,1968
1526832986,1965,1965
1526833955,1972,1972
1526834892,1966,1966
1526835862,1963,1963
1526836816,1935,1935
1526837800,1936,1936
1526838733,1943,1943
1526839717,1938,1938
1526840655,1943,1943
1526841614,1952,1952
1526842582,1943,1943
1526843554,1928,1928
1526844492,1922,1922
1526845499,1911,1911
1526846425,1918,1918
1526847383,1931,1931
1526848344,1912,1912
1526849293,1914,1914
1526850261,1909,1909
1526851214,1888,1888
1526852203,1877,1877
1526853137,1887,1887
1526854110,1871,1871
1526855074,1850,1850
1526856146,1841,1841
1526857979,1826,1826
1526858890,1811,1811
1526859867,1789,1789
1526860820,1771,1771
1526861812,1720,1720
1526862739,1675,1675
1526863697,1663,1663
1526864670,1604,1604
1526865626,1564,1564
1526866601,1531,1531
1526867542,1523,1523
1526868492,1503,1503
1526869459,1479,1479
1526870413,1470,1470
1526871394,1490,1490
1526872335,1489,1489
1526873325,1474,1474
1526874279,1467,1467
1526875260,1472,1472
1526876176,1464,1464
1526877143,1457,1457
1526878095,1439,1439
1526879083,1435,1435
1526880009,1437,1437
1526880986,1426,1426
1526881934,1418,1418
1526882921,1412,1412
1526883851,1416,1416
1526884824,1399,1399
1526885774,1399,1399
1526886778,1414,1414
1526887688,1415,1415
1526888667,1417,1417
1526889622,1405,1405
1526890578,1387,1387
1526891537,1371,1371
1526892554,1361,1361
1526893458,1354,1354
1526894416,1343,1343
1526895382,1334,1334
1526896363,1336,1336
1526897298,1344,1344
1526898262,1334,1334
1526899213,1342,1342
1526900213,1334,1334
1526901137,1338,1338
1526902096,1335,1335
1526903082,1340,1340
1526904059,1324,1324
1526904971,1320,1320
1526905951,1299,1299
1526906894,1300,1300
1526907869,1288,1288
1526909089,1289,1289
1526910258,1298,1298
1526911215,1299,1299
1526912183,1298,1298
1526913143,1297,1297
1526914092,1301,1301
1526915058,1312,1312
1526916010,1322,1322
1526917001,1316,1316
1526917935,1318,1318
1526918934,1313,1313
1526919860,1324,1324
1526920813,1327,1327
1526921788,1329,1329
1526922757,1321,1321
1526923693,1327,1327
1526924654,1336,1336
1526925631,1344,1344
1526926866,1355,1355
1526928031,1356,1356
1526928972,1361,1361
1526929962,1363,1363
1526931164,1359,1359
1526932104,1365,1365
1526933072,1364,1364
1526935025,1370,1370
1526936195,1369,1369
1526937183,1374,1374
1526938109,1393,1393
1526939088,1396,1396
1526940057,1406,1406
1526941260,1389,1389
1526942328,1410,1410
1526943625,1416,1416
1526944581,1427,1427
1526945543,1438,1438
1526946503,1435,1435
1526947463,1438,1438
1526948417,1448,1448
1526949386,1455,1455
1526950341,1453,1453
1526951314,1459,1459
1526952256,1454,1454
1526953220,1463,1463
1526954185,1466,1466
1526955656,1454,1454
1526956611,1454,1454
1526957807,1450,1450
1526958988,1460,1460
1526959959,1471,1471
1526960893,1476,1476
1526961866,1494,1494
1526963061,1512,1512
1526964026,1530,1530
1526965001,1539,1539
1526965971,1533,1533
1526967139,1507,1507
1526968098,1498,1498
1526969075,1509,1509
1526970040,1509,1509
1526970987,1508,1508
1526971951,1519,1519
1526972917,1537,1537
1526973881,1550,1550
1526975126,1533,1533
1526976038,1541,1541
1526976982,1556,1556
1526977945,1553,1553
1526978897,1557,1557
1526979866,1561,1561
1526980812,1561,1561
1526981794,1564,1564
1526982739,1549,1549
1526983706,1523,1523
1526984654,1518,1518
1526985644,1517,1517
1526986569,1541,1541
1526987591,1543,1543
1526988981,1553,1553
1526989948,1584,1584
1526990904,1604,1604
1526991877,1608,1608
1526992844,1624,1624
1526993779,1616,1616
1526994741,1611,1611
1526995703,1603,1603
1526996695,1590,1590
1526998130,1615,1615
1526999053,1624,1624
1527000015,1633,1633
1527000989,1639,1639
1527001966,1649,1649
1527002891,1655,1655
1527003868,1646,1646
1527004845,1658,1658
1527005782,1657,1657
1527006735,1648,1648
1527007711,1657,1657
1527008656,1658,1658
1527009618,1670,1670
1527010588,1667,1667
1527011542,1670,1670
1527013496,1660,1660
1527014659,1674,1674
1527015633,1681,1681
1527016584,1687,1687
1527017535,1700,1700
1527018495,1701,1701
1527019458,1714,1714
1527020418,1725,1725
1527021387,1730,1730
1527022356,1722,1722
1527023555,1717,1717
1527024496,1718,1718
1527025461,1729,1729
1527026425,1739,1739
1527027409,1752,1752
1527028608,1747,1747
1527029534,1751,1751
1527030518,1738,1738
1527031458,1745,1745
1527032412,1748,1748
1527033378,1754,1754
1527034441,1725,1725
1527035559,1722,1722
1527036502,1714,1714
1527037464,1697,1697
1527038422,1710,1710
1527039381,1720,1720
1527040354,1730,1730
1527041322,1734,1734
1527042271,1722,1722
1527043235,1753,1753
1527044207,1769,1769
1527045172,1769,1769
1527046093,1762,1762
1527047117,1772,1772
1527048036,1785,1785
1527048985,1790,1790
1527049943,1799,1799
1527050900,1800,1800
1527051867,1803,1803
1527052819,1810,1810
1527053781,1831,1831
1527054748,1834,1834
1527055719,1823,1823
1527056667,1830,1830
1527057632,1824,1824
1527058591,1818,1818
1527059552,1809,1809
1527060491,1794,1794
1527061478,1791,1791
1527062425,1805,1805
1527063383,1814,1814
1527064341,1824,1824
1527065292,1836,1836
1527066269,1853,1853
1527067219,1856,1856
1527068184,1864,1864
1527069134,1866,1866
1527070107,1892,1892
1527071067,1915,1915
1527072012,1904,1904
1527072973,1876,1876
1527074193,1881,1881
1527075386,1881,1881
1527076346,1853,1853
1527077305,1841,1841
1527078274,1853,1853
1527079214,1853,1853
1527080184,1851,1851
1527081146,1843,1843
1527082095,1862,1862
1527083081,1861,1861
1527085610,1869,1869
1527086652,1864,1864
1527087633,1854,1854
1527088571,1856,1856
1527089545,1847,1847
1527090496,1852,1852
1527091462,1840,1840
1527092415,1851,1851
1527093378,1827,1827
1527094599,1851,1851
1527095532,1854,1854
1527096489,1821,1821
1527097468,1798,1798
1527098422,1782,1782
1527099382,1805,1805
1527100339,1808,1808
1527101298,1829,1829
1527102260,1827,1827
1527103215,1847,1847
1527104188,1853,1853
1527105148,1876,1876
1527106096,1873,1873
1527107073,1878,1878
1527108011,1891,1891
1527109015,1895,1895
1527109952,1898,1898
1527110893,1897,1897
1527111891,1895,1895
1527112862,1903,1903
1527113779,1908,1908
1527115353,1916,1916
1527116436,1926,1926
1527117373,1917,1917
1527118359,1928,1928
1527119293,1941,1941
1527120263,1940,1940
1527121211,1953,1953
1527122193,2004,2004
1527123132,1999,1999
1527124115,2049,2049
1527125078,2050,2050
1527126031,2067,2067
1527126972,2057,2057
1527128193,2077,2077
1527129135,2080,2080
1527130106,2086,2086
1527131080,2092,2092
1527132017,2076,2076
1527132986,2069,2069
1527133935,2050,2050
1527134923,2060,2060
1527135856,2060,2060
1527136814,2058,2058
1527137799,2055,2055
1527138741,2054,2054
1527139697,2066,2066
1527140668,2055,2055
1527141618,2053,2053
1527142586,2056,2056
1527143545,2063,2063
1527144503,2071,2071
1527145458,2072,2072
1527146415,2077,2077
1527147400,2098,2098
1527148594,2093,2093
1527149531,2099,2099
1527150499,2106,2106
1527151459,2112,2112
1527152422,2089,2089
1527153402,2071,2071
1527154342,2050,2050
1527155306,2041,2041
1527156261,2024,2024
1527157212,2002,2002
1527158172,1985,1985
1527159145,1960,1960
1527160094,1919,1919
1527161055,1899,1899
1527162017,1872,1872
1527162976,1848,1848
1527163955,1813,1813
1527164889,1794,1794
1527165868,1764,1764
1527166843,1740,1740
1527167769,1726,1726
1527169494,1732,1732
1527170664,1708,1708
1527171609,1694,1694
1527172602,1667,1667
1527173580,1655,1655
1527174526,1636,1636
1527175456,1617,1617
1527176417,1597,1597
1527177398,1639,1639
1527178335,1663,1663
1527179291,1702,1702
1527180269,1747,1747
1527181221,1757,1757
1527182195,1779,1779
1527183144,1814,1814
1527184096,1830,1830
1527185084,1852,1852
1527186033,1848,1848
1527187216,1832,1832
1527188183,1813,1813
1527189140,1816,1816
1527190101,1810,1810
1527191063,1789,1789
1527192022,1786,1786
1527192974,1765,1765
1527193939,1749,1749
1527194897,1745,1745
1527195869,1732,1732
1527196811,1724,1724
1527197792,1722,1722
1527198743,1749,1749
1527199705,1775,1775
1527200658,1785,1785
1527201769,1790,1790
1527202816,1772,1772
1527203776,1760,1760
1527204739,1731,1731
1527205694,1721,1721
1527206661,1685,1685
1527207608,1651,1651
1527208596,1577,1577
1527209534,1533,1533
1527210507,1505,1505
1527211453,1593,1593
1527212415,1653,1653
1527213372,1684,1684
1527214358,1671,1671
1527215331,1683,1683
1527216273,1661,1661
1527217212,1655,1655
1527218187,1634,1634
1527219139,1630,1630
1527220109,1614,1614
1527221061,1643,1643
1527222019,1696,1696
1527222974,1742,1742
1527223941,1761,1761
1527224905,1766,1766
1527225867,1783,1783
1527226810,1784,1784
1527227795,1785,1785
1527228737,1799,1799
1527229698,1803,1803
1527230680,1792,1792
1527231629,1803,1803
1527232575,1817,1817
1527233543,1815,1815
1527234490,1807,1807
1527235482,1813,1813
1527236409,1813,1813
1527237387,1795,1795
1527238332,1788,1788
1527239302,1766,1766
1527240265,1772,1772
1527241230,1781,1781
1527242181,1785,1785
1527243148,1789,1789
