DateTime,AddedIPs,RemovedIPs
1526749462,71,142
1526750412,69,40
1526751405,56,123
1526752356,78,86
1526753330,61,90
1526754263,68,76
1526755215,50,75
1526756171,64,101
1526757163,64,80
1526758092,73,122
1526759061,67,54
1526760021,51,119
1526760986,72,62
1526761949,72,170
1526762894,65,26
1526763869,42,165
1526764824,66,93
1526765775,545,138
1526766755,661,83
1526767696,705,1903
1526768658,170,80
1526769569,73,76
1526770584,52,140
1526771563,45,74
1526772604,76,120
1526773698,50,66
1526774663,51,119
1526775616,53,67
1526776591,48,177
1526777532,77,0
1526778496,73,155
1526779455,54,0
1526780419,86,154
1526781371,59,91
1526782378,64,96
1526783293,66,77
1526784273,47,106
1526785218,63,47
1526786186,77,95
1526787143,48,106
1526788099,67,56
1526789073,98,93
1526790014,46,48
1526790986,63,121
1526791935,92,63
1526792918,93,140
1526793860,77,100
1526794817,54,64
1526795779,71,91
1526796762,51,45
1526797699,60,114
1526798658,52,64
1526799626,62,74
1526800579,76,29
1526801544,55,153
1526802532,60,63
1526803465,78,90
1526804429,45,12
1526805378,39,131
1526806347,48,100
1526807310,49,69
1526808278,61,139
1526809217,43,68
1526810178,69,79
1526811145,70,24
1526812097,61,69
1526813057,36,114
1526814022,25,75
1526814990,46,51
1526816216,69,91
1526817138,62,104
1526818101,51,109
1526819079,82,96
1526820020,61,112
1526820977,79,115
1526821974,81,53
1526823143,100,82
1526824095,60,95
1526825088,48,110
1526826016,69,37
1526827220,96,189
1526828192,85,95
1526829143,71,0
1526830095,75,30
1526831057,73,268
1526832050,106,0
1526832989,117,278
1526833959,102,80
1526834895,98,0
1526835865,83,183
1526836820,115,0
1526837803,80,233
1526838737,84,120
1526839720,83,0
1526840658,70,82
1526841617,114,111
1526842586,104,101
1526843557,85,54
1526844495,62,103
1526845502,102,74
1526846428,81,108
1526847386,96,56
1526848347,80,105
1526849297,82,46
1526850264,93,93
1526851218,65,55
1526852207,202,89
1526853140,1051,62
1526854113,148,1922
1526855077,71,100
1526856149,109,119
1526857982,125,93
1526858893,95,91
1526859870,88,62
1526860823,99,117
1526861815,102,88
1526862742,72,128
1526863700,86,68
1526864673,99,73
1526865629,111,82
1526866604,97,88
1526867545,91,107
1526868495,76,58
1526869462,71,100
1526870416,110,81
1526871397,52,75
1526872338,98,63
1526873328,102,69
1526874283,73,45
1526875263,103,87
1526876179,47,29
1526877146,55,118
1526878100,82,39
1526879086,90,64
1526880013,73,97
1526880989,121,0
1526881937,74,32
1526882924,48,134
1526883855,44,0
1526884827,106,130
1526885777,118,0
1526886781,56,118
1526887692,46,91
1526888670,34,0
1526889625,35,148
1526890581,63,22
1526891540,46,0
1526892557,50,165
1526893461,50,0
1526894419,50,81
1526895385,76,138
1526896367,29,0
1526897301,79,149
1526898265,41,104
1526899217,54,50
1526900216,23,126
1526901146,95,0
1526902099,60,28
1526903085,75,220
1526904062,53,0
1526904974,62,98
1526905955,41,101
1526906898,67,55
1526907872,64,99
1526909092,52,149
1526910263,91,59
1526911219,51,165
1526912186,58,0
1526913147,55,166
1526914096,56,0
1526915061,64,100
1526916013,59,51
1526917004,12,118
1526917940,86,61
1526918937,51,121
1526919863,71,86
1526920816,83,101
1526921791,56,158
1526922760,73,75
1526923697,41,108
1526924658,54,47
1526925635,64,102
1526926872,100,118
1526928038,69,109
1526928976,47,91
1526929966,79,76
1526931168,78,105
1526932108,42,87
1526933076,35,112
1526935030,108,245
1526936199,83,0
1526937187,63,174
1526938112,524,110
1526939092,780,70
1526940062,420,0
1526941265,167,2044
1526942332,93,0
1526943629,57,236
1526944584,57,0
1526945547,36,21
1526946507,56,243
1526947467,51,0
1526948421,87,60
1526949390,53,189
1526950345,51,104
1526951317,64,44
1526952260,62,0
1526953224,53,238
1526954190,45,83
1526955660,80,44
1526956616,58,148
1526957811,60,51
1526958992,111,128
1526959963,52,158
1526960896,33,0
1526961869,54,133
1526963065,67,78
1526964030,36,116
1526965005,31,107
1526965975,77,101
1526967143,82,149
1526968102,45,69
1526969079,58,88
1526970044,68,97
1526970992,67,60
1526971955,63,0
1526972920,52,103
1526973885,69,110
1526975131,71,262
1526976042,54,0
1526976985,47,0
1526977949,5,0
1526978900,41,38
1526979869,67,19
1526980817,101,62
1526981798,74,76
1526982742,57,14
1526983709,54,21
1526984657,41,43
1526985647,40,9
1526986573,35,10
1526987595,56,1
1526988984,88,3
1526989952,53,0
1526990907,102,5
1526991880,86,1
1526992848,90,2
1526993783,8,1
1526994745,13,1
1526995707,45,1
1526996698,86,8
1526998133,121,80
1526999056,82,75
1527000018,69,78
1527000992,81,87
1527001969,73,69
1527002894,57,117
1527003871,90,110
1527004848,75,109
1527005785,88,217
1527006739,58,335
1527007715,67,219
1527008659,69,190
1527009621,94,215
1527010592,96,246
1527011545,103,177
1527013500,141,693
1527014663,140,114
1527015637,96,62
1527016588,83,91
1527017539,68,190
1527018498,75,23
1527019462,58,161
1527020422,51,0
1527021391,79,131
1527022360,84,0
1527023559,90,150
1527024499,265,62
1527025465,822,67
1527026429,716,1590
1527027413,159,78
1527028613,83,144
1527029537,63,97
1527030522,66,83
1527031461,63,67
1527032415,81,72
1527033381,79,101
1527034445,92,91
