DateTime,AddedIPs,RemovedIPs
1526749462,790,790
1526750412,883,883
1526751405,734,734
1526752356,864,864
1526753330,823,823
1526754263,831,831
1526755215,733,733
1526756171,755,755
1526757163,926,926
1526758092,817,817
1526759061,734,734
1526760021,562,562
1526760986,736,736
1526761949,766,766
1526762894,588,588
1526763869,574,574
1526764824,697,697
1526765775,837,837
1526766755,661,661
1526767696,705,705
1526768658,2000,2000
1526769569,949,949
1526770584,632,632
1526771563,769,769
1526772604,1038,1038
1526773698,731,731
1526774663,772,772
1526775616,739,739
1526776591,836,836
1526777532,889,889
1526778496,1023,1023
1526779455,832,832
1526780419,1146,1146
1526781371,854,854
1526782378,911,911
1526783293,935,935
1526784273,815,815
1526785218,728,728
1526786186,1010,1010
1526787143,768,768
1526788099,988,988
1526789073,1244,1244
1526790014,814,814
1526790986,948,948
1526791935,908,908
1526792918,925,925
1526793860,728,728
1526794817,620,620
1526795779,695,695
1526796762,713,713
1526797699,687,687
1526798658,657,657
1526799626,627,627
1526800579,680,680
1526801544,490,490
1526802532,638,638
1526803465,841,841
1526804429,659,659
1526805378,685,685
1526806347,631,631
1526807310,719,719
1526808278,843,843
1526809217,705,705
1526810178,708,708
1526811145,836,836
1526812097,592,592
1526813057,424,424
1526814022,482,482
1526814990,708,708
1526816216,937,937
1526817138,867,867
1526818101,681,681
1526819079,808,808
1526820020,769,769
1526820977,809,809
1526821974,930,930
1526823143,1044,1044
1526824095,887,887
1526825088,799,799
1526826016,767,767
1526827220,1156,1156
1526828192,814,814
1526829143,1074,1074
1526830095,912,912
1526831057,970,970
1526832050,1046,1046
1526832989,1145,1145
1526833959,1109,1109
1526834895,1220,1220
1526835865,1264,1264
1526836820,1443,1443
1526837803,858,858
1526838737,973,973
1526839720,778,778
1526840658,777,777
1526841617,1033,1033
1526842586,890,890
1526843557,938,938
1526844495,660,660
1526845502,1072,1072
1526846428,860,860
1526847386,1218,1218
1526848347,928,928
1526849297,952,952
1526850264,964,964
1526851218,908,908
1526852207,1082,1082
1526853140,1051,1051
1526854113,2000,2000
1526855077,885,885
1526856149,1119,1119
1526857982,1653,1653
1526858893,946,946
1526859870,1102,1102
1526860823,929,929
1526861815,1126,1126
1526862742,999,999
1526863700,987,987
1526864673,870,870
1526865629,1245,1245
1526866604,1157,1157
1526867545,1195,1195
1526868495,984,984
1526869462,1027,1027
1526870416,1117,1117
1526871397,1039,1039
1526872338,1094,1094
1526873328,1463,1463
1526874283,1271,1271
1526875263,1325,1325
1526876179,888,888
1526877146,1167,1167
1526878100,1245,1245
1526879086,972,972
1526880013,890,890
1526880989,1149,1149
1526881937,1216,1216
1526882924,1471,1471
1526883855,1891,1891
1526884827,1819,1819
1526885777,1470,1470
1526886781,794,794
1526887692,593,593
1526888670,584,584
1526889625,591,591
1526890581,831,831
1526891540,748,748
1526892557,640,640
1526893461,633,633
1526894419,698,698
1526895385,834,834
1526896367,500,500
1526897301,894,894
1526898265,588,588
1526899217,742,742
1526900216,453,453
1526901146,1030,1030
1526902099,652,652
1526903085,803,803
1526904062,718,718
1526904974,782,782
1526905955,514,514
1526906898,856,856
1526907872,797,797
1526909092,871,871
1526910263,940,940
1526911219,634,634
1526912186,781,781
1526913147,746,746
1526914096,559,559
1526915061,663,663
1526916013,738,738
1526917004,152,152
1526917940,961,961
1526918937,632,632
1526919863,775,775
1526920816,769,769
1526921791,656,656
1526922760,711,711
1526923697,695,695
1526924658,576,576
1526925635,692,692
1526926872,934,934
1526928038,801,801
1526928976,569,569
1526929966,751,751
1526931168,880,880
1526932108,500,500
1526933076,534,534
1526935030,1228,1228
1526936199,827,827
1526937187,695,695
1526938112,767,767
1526939092,780,780
1526940062,420,420
1526941265,2000,2000
1526942332,917,917
1526943629,763,763
1526944584,680,680
1526945547,548,548
1526946507,565,565
1526947467,680,680
1526948421,811,811
1526949390,674,674
1526950345,547,547
1526951317,765,765
1526952260,710,710
1526953224,682,682
1526954190,545,545
1526955660,974,974
1526956616,808,808
1526957811,602,602
1526958992,1137,1137
1526959963,737,737
1526960896,597,597
1526961869,668,668
1526963065,1031,1031
1526964030,801,801
1526965005,616,616
1526965975,1096,1096
1526967143,1020,1020
1526968102,645,645
1526969079,804,804
1526970044,987,987
1526970992,755,755
1526971955,709,709
1526972920,760,760
1526973885,852,852
1526975131,901,901
1526976042,735,735
1526976985,637,637
1526977949,132,132
1526978900,594,594
1526979869,904,904
1526980817,1057,1057
1526981798,724,724
1526982742,619,619
1526983709,655,655
1526984657,580,580
1526985647,495,495
1526986573,392,392
1526987595,608,608
1526988984,1138,1138
1526989952,672,672
1526990907,1049,1049
1526991880,902,902
1526992848,1229,1229
1526993783,110,110
1526994745,136,136
1526995707,447,447
1526996698,1043,1043
1526998133,1301,1301
1526999056,747,747
1527000018,746,746
1527000992,934,934
1527001969,1094,1094
1527002894,684,684
1527003871,905,905
1527004848,696,696
1527005785,736,736
1527006739,776,776
1527007715,756,756
1527008659,809,809
