DateTime,AddedIPs,RemovedIPs
1525442973,53,60
1525446573,31,42
1525450176,53,45
1525453768,46,49
1525457369,34,66
1525460968,24,65
1525464563,34,54
1525468164,24,55
1525471762,31,33
1525475358,19,36
1525478965,30,37
1525482559,27,37
1525486157,21,45
1525489757,27,35
1525493352,28,31
1525496956,25,28
1525500556,20,45
1525504156,15,43
1525507750,18,52
1525511353,8,60
1525514956,123,51
1525518558,68,44
1525522162,39,46
1525525763,60,40
1525529358,52,60
1525532956,30,47
1525536564,34,19
1525540158,27,31
1525543762,34,27
1525547358,18,53
1525550958,11,29
1525554553,34,35
1525558159,23,35
1525561757,29,36
1525568949,45,93
1525572548,8,36
1525576151,28,46
1525579751,19,33
1525583349,26,40
1525586948,24,26
1525590543,17,46
1525594139,9,51
1525597739,22,49
1525601339,22,39
1525604943,18,50
1525608541,21,41
1525612137,32,69
1525615738,21,45
1525619335,31,69
1525622929,11,67
1525626532,38,58
1525630126,39,70
1525633726,27,89
1525637320,13,81
1525640918,18,30
1525644521,15,33
1525648114,40,35
1525651723,14,12
1525655321,22,27
1525658919,12,49
1525662513,9,26
1525666116,9,38
1525669711,20,29
1525673311,37,27
1525676920,26,36
1525680532,17,46
1525684111,20,36
1525687704,20,27
1525691317,30,35
1525694935,472,61
1525698537,144,100
1525702137,69,62
1525705740,70,30
1525709348,58,38
1525712939,53,39
1525716536,45,40
1525720147,167,41
1525723743,62,43
1525727351,51,22
1525730956,45,20
1525734554,42,36
1525738157,56,26
1525741754,31,46
1525745354,43,32
1525748952,37,28
1525752553,33,27
1525756155,22,31
1525759753,32,38
1525763356,52,29
1525766961,33,39
1525770552,28,35
1525774150,16,40
1525777757,27,34
1525781352,41,41
1525784947,21,44
1525788550,30,35
1525792142,23,44
1525795751,30,34
1525799350,22,25
1525802945,24,49
1525806548,34,36
1525810146,20,55
1525813742,12,47
1525817339,20,30
1525820941,20,33
1525824540,34,31
1525828140,13,30
1525831732,23,51
1525835337,20,33
1525838931,24,21
1525842541,20,23
1525846136,25,34
1525849742,34,51
1525853341,22,36
1525856945,111,40
1525860558,301,22
1525864169,231,32
1525867780,160,29
1525871379,102,42
1525874985,78,46
1525878580,64,40
1525882180,89,20
1525885793,192,27
1525889402,80,25
1525892995,60,45
1525896594,52,31
1525900195,34,26
1525903798,27,36
1525907397,41,34
1525910997,43,25
1525914595,43,34
1525918199,20,30
1525921792,38,48
1525925397,27,25
1525928991,24,30
1525932594,21,19
1525936204,21,27
1525939806,38,52
1525943392,27,34
1525946991,18,43
1525950588,16,42
1525954188,23,29
1525957792,42,25
1525961390,29,28
1525964995,30,31
1525968592,14,33
1525972189,30,51
1525975790,20,28
1525979386,32,14
1525982992,33,22
1525986591,25,33
1525990188,10,43
1525993785,15,23
1525997391,10,21
1526000987,40,28
1526004585,25,32
1526008188,17,40
1526011788,25,34
1526015385,17,44
1526018986,14,26
1526022588,23,41
1526026186,33,28
1526029786,35,33
1526033386,19,62
1526036986,17,65
1526040572,25,49
1526044179,23,37
1526047776,37,40
1526051375,11,21
1526054976,20,31
1526058579,18,34
1526062185,30,31
1526065782,44,23
1526069385,41,31
1526072986,37,24
1526076582,20,39
1526080178,20,24
1526083775,16,34
1526087377,16,33
1526090978,27,25
1526094572,18,31
1526098172,23,26
1526101776,11,32
1526105373,21,25
1526108970,14,22
1526112572,23,25
1526116176,40,16
1526119776,20,23
1526123373,11,42
1526126967,13,23
1526130574,16,30
1526134168,41,38
1526137767,20,24
1526141377,23,27
1526144974,11,28
1526148572,22,33
1526152173,21,23
1526155769,29,16
1526159375,32,41
1526162972,21,28
1526166570,9,26
1526170173,17,16
1526173776,15,34
1526177374,35,12
1526180969,13,19
1526184568,19,24
1526188166,27,23
1526191768,16,31
1526195365,17,32
1526198970,18,13
1526202566,17,27
1526206168,33,22
1526209763,15,25
1526213365,16,22
1526216965,12,35
1526220565,24,27
1526224168,31,33
1526227765,35,17
1526231368,48,28
1526234967,23,42
1526238578,41,32
1526242192,313,21
1526245793,196,21
1526249405,142,21
1526253012,117,49
1526256619,73,15
1526260217,62,27
1526263808,65,27
1526267423,49,10
1526271016,39,18
1526274623,42,19
1526278218,22,40
1526281811,33,32
1526285409,24,29
1526289011,33,21
1526292621,40,14
1526296209,24,25
1526299802,18,141
1526303398,23,101
1526307005,22,67
1526310601,44,84
1526314194,99,66
1526317804,118,50
1526321409,49,36
1526325001,30,42
1526328610,33,25
1526332205,32,24
1526335807,40,22
1526339414,30,27
1526343002,19,48
1526346606,15,27
1526350203,16,43
1526353806,20,23
1526357399,35,31
1526360994,16,22
1526364598,22,24
1526368209,19,45
1526371805,15,35
1526375405,20,24
1526379091,29,25
1526382607,24,26
