DateTime,Entries,UniqueIPs
1525442973,8886,8886
1525446573,8875,8875
1525450176,8883,8883
1525453768,8880,8880
1525457369,8848,8848
1525460968,8807,8807
1525464563,8787,8787
1525468164,8756,8756
1525471762,8754,8754
1525475358,8737,8737
1525478965,8730,8730
1525482559,8720,8720
1525486157,8696,8696
1525489757,8688,8688
1525493352,8685,8685
1525496956,8682,8682
1525500556,8657,8657
1525504156,8629,8629
1525507750,8595,8595
1525511353,8543,8543
1525514956,8615,8615
1525518558,8639,8639
1525522162,8632,8632
1525525763,8652,8652
1525529358,8644,8644
1525532956,8627,8627
1525536564,8642,8642
1525540158,8638,8638
1525543762,8645,8645
1525547358,8610,8610
1525550958,8592,8592
1525554553,8591,8591
1525558159,8579,8579
1525561757,8572,8572
1525568949,8524,8524
1525572548,8496,8496
1525576151,8478,8478
1525579751,8464,8464
1525583349,8450,8450
1525586948,8448,8448
1525590543,8419,8419
1525594139,8377,8377
1525597739,8350,8350
1525601339,8333,8333
1525604943,8301,8301
1525608541,8281,8281
1525612137,8244,8244
1525615738,8220,8220
1525619335,8182,8182
1525622929,8126,8126
1525626532,8106,8106
1525630126,8075,8075
1525633726,8013,8013
1525637320,7945,7945
1525640918,7933,7933
1525644521,7915,7915
1525648114,7920,7920
1525651723,7922,7922
1525655321,7917,7917
1525658919,7880,7880
1525662513,7863,7863
1525666116,7834,7834
1525669711,7825,7825
1525673311,7835,7835
1525676920,7825,7825
1525680532,7796,7796
1525684111,7780,7780
1525687704,7773,7773
1525691317,7768,7768
1525694935,8179,8179
1525698537,8223,8223
1525702137,8230,8230
1525705740,8270,8270
1525709348,8290,8290
1525712939,8304,8304
1525716536,8309,8309
1525720147,8435,8435
1525723743,8454,8454
1525727351,8483,8483
1525730956,8508,8508
1525734554,8514,8514
1525738157,8544,8544
1525741754,8529,8529
1525745354,8540,8540
1525748952,8549,8549
1525752553,8555,8555
1525756155,8546,8546
1525759753,8540,8540
1525763356,8563,8563
1525766961,8557,8557
1525770552,8550,8550
1525774150,8526,8526
1525777757,8519,8519
1525781352,8519,8519
1525784947,8496,8496
1525788550,8491,8491
1525792142,8470,8470
1525795751,8466,8466
1525799350,8463,8463
1525802945,8438,8438
1525806548,8436,8436
1525810146,8401,8401
1525813742,8366,8366
1525817339,8356,8356
1525820941,8343,8343
1525824540,8346,8346
1525828140,8329,8329
1525831732,8301,8301
1525835337,8288,8288
1525838931,8291,8291
1525842541,8288,8288
1525846136,8279,8279
1525849742,8262,8262
1525853341,8248,8248
1525856945,8319,8319
1525860558,8598,8598
1525864169,8797,8797
1525867780,8928,8928
1525871379,8988,8988
1525874985,9020,9020
1525878580,9044,9044
1525882180,9113,9113
1525885793,9278,9278
1525889402,9333,9333
1525892995,9348,9348
1525896594,9369,9369
1525900195,9377,9377
1525903798,9368,9368
1525907397,9375,9375
1525910997,9393,9393
1525914595,9402,9402
1525918199,9392,9392
1525921792,9382,9382
1525925397,9384,9384
1525928991,9378,9378
1525932594,9380,9380
1525936204,9374,9374
1525939806,9360,9360
1525943392,9353,9353
1525946991,9328,9328
1525950588,9302,9302
1525954188,9296,9296
1525957792,9313,9313
1525961390,9314,9314
1525964995,9313,9313
1525968592,9294,9294
1525972189,9273,9273
1525975790,9265,9265
1525979386,9283,9283
1525982992,9294,9294
1525986591,9286,9286
1525990188,9253,9253
1525993785,9245,9245
1525997391,9234,9234
1526000987,9246,9246
1526004585,9239,9239
1526008188,9216,9216
1526011788,9207,9207
1526015385,9180,9180
1526018986,9168,9168
1526022588,9150,9150
1526026186,9155,9155
1526029786,9157,9157
1526033386,9114,9114
1526036986,9066,9066
1526040572,9042,9042
1526044179,9028,9028
1526047776,9025,9025
1526051375,9015,9015
1526054976,9004,9004
1526058579,8988,8988
1526062185,8987,8987
1526065782,9008,9008
1526069385,9018,9018
1526072986,9031,9031
1526076582,9012,9012
1526080178,9008,9008
1526083775,8990,8990
1526087377,8973,8973
1526090978,8975,8975
1526094572,8962,8962
1526098172,8959,8959
1526101776,8938,8938
1526105373,8934,8934
1526108970,8926,8926
1526112572,8924,8924
1526116176,8948,8948
1526119776,8945,8945
1526123373,8914,8914
1526126967,8904,8904
1526130574,8890,8890
1526134168,8893,8893
1526137767,8889,8889
1526141377,8885,8885
1526144974,8868,8868
1526148572,8857,8857
1526152173,8855,8855
1526155769,8868,8868
1526159375,8859,8859
1526162972,8852,8852
1526166570,8835,8835
1526170173,8836,8836
1526173776,8817,8817
1526177374,8840,8840
1526180969,8834,8834
1526184568,8829,8829
1526188166,8833,8833
1526191768,8818,8818
1526195365,8803,8803
1526198970,8808,8808
1526202566,8798,8798
1526206168,8809,8809
1526209763,8799,8799
1526213365,8793,8793
1526216965,8770,8770
1526220565,8767,8767
1526224168,8765,8765
1526227765,8783,8783
1526231368,8803,8803
1526234967,8784,8784
1526238578,8793,8793
1526242192,9085,9085
1526245793,9260,9260
1526249405,9381,9381
1526253012,9449,9449
1526256619,9507,9507
1526260217,9542,9542
1526263808,9580,9580
1526267423,9619,9619
1526271016,9640,9640
1526274623,9663,9663
1526278218,9645,9645
1526281811,9646,9646
1526285409,9641,9641
1526289011,9653,9653
1526292621,9679,9679
1526296209,9678,9678
1526299802,9555,9555
1526303398,9477,9477
1526307005,9432,9432
1526310601,9392,9392
1526314194,9425,9425
1526317804,9493,9493
1526321409,9506,9506
1526325001,9494,9494
1526328610,9502,9502
1526332205,9510,9510
1526335807,9528,9528
1526339414,9531,9531
1526343002,9502,9502
1526346606,9490,9490
1526350203,9463,9463
1526353806,9460,9460
1526357399,9464,9464
1526360994,9458,9458
1526364598,9456,9456
1526368209,9430,9430
1526371805,9410,9410
1526375405,9406,9406
1526379091,9410,9410
1526382607,9408,9408
1526386201,9409,9409
1526389795,9393,9393
1526393394,9376,9376
1526397006,9373,9373
1526400596,9373,9373
1526404202,9366,9366
1526407799,9374,9374
1526411401,9337,9337
1526415004,9332,9332
1526418603,9332,9332
1526422200,9333,9333
1526425802,9352,9352
1526429401,9332,9332
1526432998,9318,9318
1526436596,9296,9296
1526440194,9281,9281
1526443794,9262,9262
1526447391,9238,9238
1526450994,9223,9223
1526454583,9187,9187
1526458192,9185,9185
1526461780,9162,9162
1526465374,9104,9104
1526468975,9057,9057
1526472568,9006,9006
1526476164,8908,8908
1526479764,8852,8852
1526483362,8804,8804
1526486970,8782,8782
1526490564,8711,8711
1526494164,8710,8710
1526497771,8760,8760
1526501361,8746,8746
1526504963,8737,8737
1526508566,8749,8749
1526512166,8745,8745
1526515757,8719,8719
1526519358,8684,8684
1526522960,8672,8672
1526526548,8634,8634
1526530159,8623,8623
1526533759,8609,8609
1526537356,8588,8588
1526540948,8572,8572
1526544547,8532,8532
1526548156,8510,8510
1526551762,8481,8481
1526555354,8473,8473
1526558942,8483,8483
1526562543,8440,8440
1526566144,8415,8415
1526569743,8377,8377
1526573355,8369,8369
1526576951,8368,8368
1526580546,8347,8347
1526584155,8329,8329
1526587748,8304,8304
1526591348,8288,8288
1526594932,8280,8280
1526598557,8261,8261
1526602150,8271,8271
1526605747,8245,8245
1526609346,8223,8223
1526612950,8218,8218
1526616542,8211,8211
1526620147,8202,8202
1526623745,8198,8198
1526627335,8193,8193
1526630935,8160,8160
1526634535,8128,8128
1526638131,8103,8103
1526641732,8095,8095
1526645346,8094,8094
1526648929,8085,8085
1526652529,8034,8034
1526656125,8012,8012
1526659722,7991,7991
