DateTime,AddedIPs,RemovedIPs
1526895181,3,0
1526895721,2,0
1526896323,76,0
1526896922,5,0
1526896950,1,1
1526897522,1,0
1526898122,13,0
1526898722,4,0
1526899322,7,0
1526900164,54,45
1526900550,2,0
1526901122,8,0
1526901721,6,0
1526902381,1,0
1526902922,6,0
1526904013,52,12
1526904155,3,2
1526904722,3,0
1526904963,0,94
1526905322,11,0
1526905925,68,0
1526906522,8,0
1526907121,0,1
1526907811,0,2
1526908922,4,0
1526909522,3,0
1526909764,57,19
1526910121,4,0
1526910964,0,81
1526911415,2,1
1526911921,3,0
1526912521,2,0
1526913121,20,0
1526913604,70,0
1526913722,2,0
1526914321,6,0
1526916121,2,0
1526916722,8,1
1526917443,62,14
1526918642,1,108
1526919122,2,0
1526919722,0,1
1526920322,1,0
1526921282,58,0
1526921521,1,0
1526922211,5,1
1526922483,0,63
1526923322,7,0
1526924522,4,0
1526925122,90,0
1526926321,8,2
1526927527,67,24
1526929350,3,2
1526930643,6,112
1526931603,73,0
1526932322,2,0
1526933010,3,1
1526934966,72,48
1526935321,4,0
1526935922,3,0
1526936550,3,1
1526937121,1,0
1526937606,0,75
1526938922,2,0
1526939524,68,0
1526940722,1,0
1526941205,0,98
1526941684,3,0
1526943122,3,0
1526943615,67,0
1526943750,6,1
1526944321,1,0
1526944922,2,0
1526945524,69,17
1526946965,17,77
1526947410,1,0
1526947921,0,1
1526948885,7,92
1526949721,3,0
1526950323,1,0
1526951283,56,0
1526952121,13,0
1526952724,0,71
1526953203,71,0
1526953321,15,0
1526953921,7,0
1526954552,2,1
1526955122,4,0
1526956382,5,0
1526956922,2,0
1526957765,58,12
1526958484,14,123
1526958722,2,0
1526959322,2,0
1526961122,3,0
1526961844,88,3
1526962322,3,0
1526963521,2,0
1526964003,67,7
1526964484,15,93
1526964721,8,0
1526965351,14,5
1526965922,2,0
1526966644,3,78
1526967843,87,0
1526968322,3,0
1526968952,2,1
1526969522,5,0
1526970781,7,0
1526971322,6,0
1526971925,78,5
1526972418,5,68
1526973122,3,0
1526973722,1,0
1526974564,4,54
1526974922,13,0
1526975522,2,0
1526976014,39,0
1526976152,2,0
1526977321,9,0
1526977924,73,4
1526978404,4,46
1526978521,8,0
1526979811,10,2
1526980322,3,0
1526980922,2,0
1526981764,62,11
1526982243,14,49
1526983322,1,0
1526983352,0,3
1526984163,0,55
1526984521,1,0
1526985122,5,0
1526985603,82,0
1526985722,1,0
1526986321,1,0
1526986952,5,2
1526987522,3,0
1526988122,2,0
1526989443,43,15
1526989921,1,0
1526990611,1,1
1526991364,2,83
1526991722,10,0
1526993282,70,0
1526993521,2,0
1526994152,36,0
1526994722,1,0
1526995203,60,20
1526995322,1,0
1526996521,1,0
1526997366,9,111
1526997811,13,1
1526998322,32,0
1526998921,3,0
1526999523,58,0
1527000121,1,0
1527001352,4,2
1527001921,1,0
1527003364,73,46
1527003722,4,0
1527004321,15,0
1527005283,13,54
1527005522,15,0
1527006121,7,0
1527007204,67,0
1527007321,6,0
1527007921,8,0
1527008552,1,3
1527009123,0,59
1527010322,2,0
1527011043,104,0
1527011521,10,0
1527012121,12,0
1527013444,70,29
1527015364,23,64
1527015752,1,2
1527016322,12,0
1527016922,1,0
1527017286,64,69
1527017521,1,0
1527018122,10,0
1527018722,14,0
1527019220,85,59
1527019351,1,0
1527020522,2,0
1527021363,82,18
1527021721,4,0
1527022952,4,1
1527023524,1,113
1527025444,76,0
1527025922,3,0
1527026612,9,0
1527027122,7,0
1527027721,2,0
1527028381,1,0
1527029284,49,96
1527030153,4,0
1527030722,1,0
1527031204,81,91
1527033813,2,0
1527035043,3,87
1527036121,17,0
1527036964,49,0
1527037412,0,1
1527037922,2,0
1527038884,73,76
1527039181,5,0
1527039721,1,0
1527040321,5,0
1527040814,0,74
1527040952,6,2
1527041522,6,0
1527042121,3,0
1527042724,80,0
1527043322,1,1
1527043921,1,0
1527044613,1,8
1527045122,3,0
1527045722,7,0
1527046564,84,83
1527046922,1,0
1527048213,8,4
1527048721,1,0
