DateTime,AddedIPs,RemovedIPs
1526326021,471,474
1526328250,0,1
1526329220,2,0
1526331242,2,4
1526331604,1,0
1526334391,1,0
1526337332,519,600
1526338888,0,7
1526340603,0,27
1526341914,3,3
1526344038,255,0
1526346063,7,10
1526346315,0,43
1526347887,872,878
1526350822,5,0
1526353203,1,4
1526356873,729,0
1526358031,4,0
1526358421,710,695
1526364003,73,276
1526364323,1,0
1526365460,4,0
1526366792,1,0
1526369402,612,594
1526371524,50,163
1526372411,2,0
1526372553,3,1
1526373995,1,0
1526378403,39,367
1526380021,585,582
1526380533,1,0
1526381191,1,0
1526383215,1,0
1526383803,0,17
1526385264,2,6
1526385918,15,40
1526387075,1,0
1526387407,335,267
1526388761,4,0
1526389713,15,4
1526391003,850,591
1526391916,1,0
1526392800,2,5
1526393717,248,0
1526394029,10,0
1526396404,4,1
1526398520,1,0
1526399196,2,0
1526400335,22,4
1526401225,6,1
1526401952,672,618
1526402771,0,507
1526407203,3,4
1526408427,5,0
1526411120,1,0
1526411726,11,11
1526412602,570,555
1526416271,2,0
1526417425,4,5
1526419803,0,4
1526422828,4,1
1526423221,597,594
1526427002,1,24
1526428229,3,3
1526429127,1,0
1526430412,4,0
1526433386,11,10
1526434203,989,993
1526437215,3,0
1526437804,1,64
1526439090,3,3
1526444419,4,1
1526445020,840,953
1526450100,0,5
1526451619,3,0
1526452203,86,0
1526455803,738,797
1526458822,4,0
1526459400,44,105
1526461202,3,4
1526466603,633,672
1526466930,4,0
1526469375,155,260
1526469803,0,21
1526471131,4,1
1526472327,14,0
1526473425,6,0
1526473803,11,19
1526473807,318,217
1526476581,0,1
1526476590,1,0
1526477053,7,0
1526477402,565,565
1526478389,3,0
1526480534,3,0
1526481000,3,10
1526482332,1,9
1526483122,1,0
1526488800,611,858
1526491222,33,35
1526492787,1,0
1526492927,6,2
1526494826,5,0
1526496000,1,2
1526499329,553,604
1526502031,3,0
1526503200,2,2
1526504083,3,5
1526506099,1,1
1526509226,2,0
1526509869,572,621
1526512200,2,2
1526512814,0,31
1526514627,1,0
1526515202,7,3
1526516151,1,42
1526516430,1,0
1526520737,1079,1074
1526523000,50,0
1526523621,3,0
1526525588,2,4
1526530200,65,32
1526530828,6,0
1526531401,704,676
1526533531,1,0
1526536803,1,4
1526537729,24,35
1526538028,3,1
1526542021,603,610
1526543173,1,0
1526544925,9,6
1526545222,5,0
1526547603,1,4
1526552126,2,23
1526552430,3,0
1526553002,530,525
1526556603,0,23
1526557397,3,3
1526559000,15,10
1526559766,1,0
1526560207,270,185
1526561170,1,0
1526562003,2,0
1526563226,4,0
1526564119,514,468
1526564416,10,14
1526564906,42,35
1526566200,16,7
1526566824,3,0
1526568587,1,3
1526570574,511,0
1526573400,7,3
1526574314,2,0
1526574421,547,524
1526578203,0,256
1526579530,1,2
1526580600,4,254
1526581226,3,0
1526585403,490,476
1526587800,3,1
