DateTime,Entries,UniqueIPs
1526869891,76832,9327495
1526870612,76833,9327496
1526870895,76836,9327499
1526871383,76845,9327509
1526872067,76868,9327532
1526872771,76866,9327530
1526873318,76888,9327552
1526873751,76887,9327551
1526874691,76881,9325631
1526875258,76881,9325632
1526875652,76879,9325630
1526876612,76882,9325631
1526877140,76886,9325634
1526877572,76885,9325633
1526878292,76886,9325634
1526879072,76888,9325636
1526879731,76887,9325635
1526880451,76890,9325638
1526881412,76888,9325636
1526882132,76890,9325636
1526882851,76891,9325637
1526883572,76889,9325637
1526884292,76886,9325634
1526884818,76866,9325612
1526885252,76869,9325615
1526885527,76873,9325619
1526885972,76874,9325620
1526886751,76873,9325619
1526887413,76874,9325622
1526888131,76876,9325624
1526888663,76877,9325624
1526889092,76875,9325622
1526890129,76869,9325614
1526890575,76869,9325614
1526891011,76866,9325611
1526892009,76867,9325612
1526892505,76869,9325613
1526892932,76868,9325612
1526893891,76868,9325612
1526894852,76876,9325621
1526895812,76877,9325623
1526896772,76876,9325622
1526897732,76880,9325624
1526898260,76886,9325630
1526898693,76880,9325624
1526899412,76878,9325622
1526900197,76873,9325617
1526900852,76876,9325622
1526901572,76879,9325625
1526902093,76884,9325630
1526902533,76906,9325652
1526903492,76905,9325651
1526904056,76910,9325656
1526904452,76910,9325656
1526905949,76917,9325663
1526906612,76921,9325668
1526907332,76923,9325670
1526908292,76922,9325669
1526909011,76919,9325666
1526909784,76917,9325664
1526910692,76920,9325667
1526911719,76914,9325660
1526912612,76918,9325664
1526913142,76919,9325665
1526913629,76912,9325658
1526914532,76915,9325661
1526914823,76916,9325663
1526915554,76921,9325669
1526916212,76922,9325670
1526916932,76926,9325674
1526917651,76923,9325671
1526918372,76926,9325674
1526919393,76906,9325653
1526920292,76908,9325655
1526921012,76911,9325658
1526921297,76911,9325657
1526921733,76909,9325655
1526922453,76904,9325650
1526923224,76896,9325642
1526924133,76898,9325644
1526925147,76892,9325637
1526927558,76889,9325634
1526927972,76898,9325643
1526928693,76894,9325639
1526929474,76897,9325642
1526930371,76900,9325645
1526931092,76903,9325648
1526931619,76896,9325641
1526931811,76905,9325650
1526932532,76911,9325656
1526933551,76904,9325649
1526935720,76915,9325661
1526937092,76916,9325661
1526938052,76911,9325656
1526939011,76912,9325656
1526939542,76899,9325644
1526939971,76903,9325648
1526942312,76904,9325648
1526943093,76904,9325648
1526944115,76901,9325645
1526945012,77243,9325989
