DateTime,AddedIPs,RemovedIPs
1526818922,5,0
1526819522,1,0
1526820122,11,0
1526821922,6,0
1526822522,1,1
1526823721,4,0
1526824322,1,0
1526824921,1,0
1526826122,6,0
1526826722,10,0
1526827322,3,0
1526828522,5,0
1526829122,1,0
1526830381,7,0
1526830922,5,0
1526832122,10,0
1526832722,11,0
1526833321,2,0
1526834521,6,0
1526835121,5,0
1526835722,12,0
1526836323,2,0
1526836922,15,0
1526837581,17,0
1526838122,2,0
1526839321,3,0
1526839922,3,0
1526841182,1,0
1526841722,1,0
1526842322,2,0
1526842922,3,0
1526843522,1,0
1526845321,5,0
1526845922,2,0
1526846522,1,0
1526847122,2,0
1526848921,4,0
1526849521,13,0
1526850122,1,0
1526850722,6,0
1526851321,5,0
1526851981,9,0
1526852522,18,0
1526853722,10,0
1526854322,9,0
1526854922,11,0
1526855521,3,0
1526857837,4,1
1526858521,7,0
1526859121,3,0
1526859721,6,0
1526860922,2,0
1526861521,5,0
1526862122,5,0
1526862722,10,0
1526863322,9,0
1526863922,1,0
1526864522,4,0
1526865722,5,0
1526866921,4,1
1526867521,4,0
1526868121,14,0
1526868721,7,0
1526869321,3,0
1526870522,4,0
1526871722,6,0
1526872921,5,0
1526873581,10,0
1526874121,11,0
1526874721,4,0
1526875322,6,0
1526876522,1,0
1526877121,4,0
1526877722,7,0
1526878921,5,0
1526880122,4,0
1526880781,2,0
1526882521,19,0
1526883121,6,0
1526883722,4,0
1526884321,2,0
1526886121,7,0
1526886721,1,0
1526887322,1,0
1526887921,1,0
1526889722,3,0
1526890321,3,0
1526890921,2,0
1526892122,5,0
1526892722,1,0
1526893922,9,0
1526894522,9,0
1526895181,3,0
1526895721,2,0
1526896922,5,0
1526897522,1,0
1526898122,13,0
1526898722,4,0
1526899322,7,0
1526899921,3,0
1526900522,2,0
1526901122,8,0
1526901721,6,0
1526902381,1,0
1526902922,6,0
1526904121,3,0
1526904722,3,0
1526905322,11,0
1526906522,8,0
1526907121,0,1
1526908922,4,0
1526909522,3,0
1526910121,4,0
1526911322,2,1
1526911921,3,0
1526912521,2,0
1526913121,20,0
1526913181,1,0
1526913722,2,0
1526914321,6,0
1526916121,2,0
1526916722,7,0
1526918521,1,0
1526919122,2,0
1526919722,0,1
1526920322,1,0
1526921521,1,0
1526922121,5,0
1526923322,7,0
1526924522,4,0
1526925122,1,0
1526926321,8,0
1526927522,3,0
1526929321,3,0
1526930522,6,0
1526932322,2,0
1526932921,2,1
1526934781,4,0
1526935321,4,0
1526935922,3,0
1526936521,3,0
1526937121,1,0
1526938922,2,0
1526939522,3,0
1526940722,1,0
1526941321,3,0
1526943122,3,0
1526943721,6,0
1526944321,1,0
1526944922,2,0
1526947322,1,0
1526947921,0,1
1526948523,7,0
1526949721,3,0
1526950323,1,0
1526950921,1,0
1526952121,13,0
1526953321,15,0
1526953921,7,0
1526954521,2,0
1526955122,4,0
1526956382,5,0
1526956922,2,0
1526957521,2,0
1526958123,14,0
1526958722,2,0
1526959322,2,0
1526961122,3,0
1526961722,4,0
1526962322,3,0
1526963521,2,0
1526964121,8,0
1526964721,8,0
1526965321,14,0
1526965922,2,0
1526966521,3,0
1526967722,2,0
1526968322,3,0
1526968921,2,0
1526969522,5,0
1526970781,7,0
1526971322,6,0
1526971921,4,0
1526973122,3,0
1526973722,1,0
1526974382,4,0
1526974922,13,0
1526975522,2,0
1526976122,2,0
1526977321,9,0
1526977921,11,0
1526978521,8,0
1526979722,10,0
1526980322,3,0
1526980922,2,0
1526981581,3,0
1526982122,3,0
1526983322,1,0
1526984521,1,0
1526985122,5,0
1526985722,1,0
1526986321,1,0
1526986922,5,0
1526987522,3,0
1526988122,2,0
1526989322,2,0
1526989921,1,0
1526990521,1,0
1526991122,2,0
1526991722,10,0
1526992922,5,0
1526993521,2,0
1526994121,36,0
1526994722,1,0
1526995322,1,0
1526996521,1,0
1526997122,9,0
1526997722,13,0
1526998322,32,0
1526998921,3,0
1527000121,1,0
1527001322,4,1
1527001921,1,0
1527003722,4,0
1527004321,15,0
1527004921,13,0
1527005522,15,0
1527006121,7,0
1527007321,6,0
1527007921,8,0
1527008521,1,0
1527010322,2,0
1527010921,16,0
1527011521,10,0
1527012121,12,0
1527013321,6,0
1527015722,1,0
1527016322,12,0
1527016922,1,0
1527017521,1,0
1527018122,10,0
1527018722,14,0
1527019322,1,0
1527020522,2,0
1527021182,2,0
1527021721,4,0
1527022921,3,0
1527023522,1,0
1527025321,6,0
1527025922,3,0
1527026522,9,0
1527027122,7,0
1527027721,2,0
1527028381,1,0
1527030121,4,0
1527030722,1,0
1527033722,2,0
1527034922,3,0
1527036121,17,0
1527036722,3,0
1527037922,2,0
