DateTime,AddedIPs,RemovedIPs
1526261065,757,0
1526262982,30,43
1526264895,19,39
1526266826,59,57
1526268739,15,21
1526270668,25,19
1526272593,30,27
1526274513,11,17
1526276663,26,24
1526278581,26,37
1526280495,36,29
1526282420,18,45
1526284333,28,46
1526286255,35,32
1526288175,30,23
1526290105,28,31
1526292025,75,43
1526293946,31,37
1526295861,26,44
1526297789,24,34
1526299699,42,1552
1526301856,47,15
1526305008,597,0
1526306815,64,24
1526308855,33,20
1526311500,37,18
1526313381,26,17
1526315335,36,24
1526317258,54,46
1526319209,31,19
1526321090,52,18
1526323236,34,18
1526325146,56,32
1526327077,45,19
1526329008,38,19
1526331402,30,17
1526333304,39,26
1526335257,105,65
1526337560,68,24
1526339784,48,30
1526341695,57,21
1526343610,37,32
1526345534,64,13
1526347450,567,0
1526349374,41,29
1526351298,39,19
1526353237,46,30
1526355136,15,15
1526357064,13,22
1526358973,35,20
1526360907,19,24
1526363164,37,19
1526364972,28,18
1526367141,18,17
1526369053,21,32
1526370969,27,18
1526372906,28,18
1526374834,58,42
1526376747,18,31
1526378678,42,32
1526380576,37,23
1526382619,30,30
1526384919,22,21
1526387080,37,1467
1526388981,25,41
1526391153,726,0
1526393084,26,25
1526395224,39,31
1526397154,42,25
1526399067,63,18
1526400996,38,28
1526402916,42,31
1526404834,36,13
1526406749,40,24
1526408907,30,26
1526410836,54,54
1526412753,35,26
1526414690,35,34
1526417080,23,27
1526418986,48,28
1526420894,40,36
1526422920,44,37
1526424749,23,30
1526426672,30,24
1526428591,31,25
1526430513,28,44
1526432435,633,0
1526434364,16,29
1526436283,12,23
1526438200,25,28
1526440119,35,22
1526442031,32,13
1526443957,47,27
1526445873,22,28
1526447801,20,12
1526449714,34,22
1526451639,33,25
1526453554,24,31
1526455471,37,22
1526457373,32,25
1526459312,47,33
1526461249,50,56
1526463151,32,35
1526465085,29,37
1526466975,44,30
1526468925,43,24
1526472758,123,1813
1526474667,29,23
1526476588,718,0
1526478494,53,58
1526480427,63,42
1526482358,66,16
1526484269,32,31
1526486185,35,15
1526488842,74,55
1526490744,13,22
1526492670,25,40
1526494584,30,29
1526496495,45,10
1526498412,33,22
1526500336,43,25
1526502271,43,25
1526504196,29,24
1526506101,34,37
1526508028,55,62
1526510629,37,33
1526512824,16,33
1526514746,31,24
1526516663,27,37
1526518583,24,23
1526520492,679,0
1526522428,65,88
1526524345,31,16
1526526271,23,29
1526528192,21,14
1526530112,19,16
1526532026,22,35
1526533952,20,20
1526535857,29,39
1526537793,35,28
1526539711,21,10
1526541632,50,21
1526543534,52,23
1526545461,68,33
1526547406,44,26
1526549292,21,22
1526551240,83,59
1526553149,37,33
1526555062,49,32
1526556991,31,24
1526558913,55,1708
1526560808,55,32
1526563000,808,0
1526564907,40,16
1526566825,45,15
1526568766,44,30
1526570663,43,36
1526572584,41,29
1526574508,52,50
1526576429,64,49
1526578352,33,36
1526580273,35,33
1526582191,21,19
1526584111,26,38
1526586019,38,30
1526587947,21,47
1526589861,10,24
1526591793,33,27
1526593714,37,40
1526595620,24,41
1526598361,42,92
1526600173,26,28
1526602108,24,29
1526604261,21,32
1526606186,745,0
1526608100,11,14
1526610017,21,13
1526611945,18,28
1526613859,25,35
1526615791,17,26
1526617704,22,47
1526619625,32,46
1526621542,10,35
1526623479,17,33
1526625375,30,19
1526627297,20,39
1526629225,22,29
1526631146,18,44
1526633060,26,23
1526634990,18,27
1526636907,24,37
1526638820,14,40
