DateTime,Entries,UniqueIPs
1526261065,3206,3206
1526262982,3193,3193
1526264895,3173,3173
1526266826,3175,3175
1526268739,3169,3169
1526270668,3175,3175
1526272593,3178,3178
1526274513,3172,3172
1526276663,3174,3174
1526278581,3163,3163
1526280495,3170,3170
1526282420,3143,3143
1526284333,3125,3125
1526286255,3128,3128
1526288175,3135,3135
1526290105,3132,3132
1526292025,3164,3164
1526293946,3158,3158
1526295861,3140,3140
1526297789,3130,3130
1526299699,1620,1620
1526301856,1652,1652
1526305008,2249,2249
1526306815,2289,2289
1526308855,2302,2302
1526311500,2321,2321
1526313381,2330,2330
1526315335,2342,2342
1526317258,2350,2350
1526319209,2362,2362
1526321090,2396,2396
1526323236,2412,2412
1526325146,2436,2436
1526327077,2462,2462
1526329008,2481,2481
1526331402,2494,2494
1526333304,2507,2507
1526335257,2547,2547
1526337560,2591,2591
1526339784,2609,2609
1526341695,2645,2645
1526343610,2650,2650
1526345534,2701,2701
1526347450,3268,3268
1526349374,3280,3280
1526351298,3300,3300
1526353237,3316,3316
1526355136,3316,3316
1526357064,3307,3307
1526358973,3322,3322
1526360907,3317,3317
1526363164,3335,3335
1526364972,3345,3345
1526367141,3346,3346
1526369053,3335,3335
1526370969,3344,3344
1526372906,3354,3354
1526374834,3370,3370
1526376747,3357,3357
1526378678,3367,3367
1526380576,3381,3381
1526382619,3381,3381
1526384919,3382,3382
1526387080,1952,1952
1526388981,1936,1936
1526391153,2662,2662
1526393084,2663,2663
1526395224,2671,2671
1526397154,2688,2688
1526399067,2733,2733
1526400996,2743,2743
1526402916,2754,2754
1526404834,2777,2777
1526406749,2793,2793
1526408907,2797,2797
1526410836,2797,2797
1526412753,2806,2806
1526414690,2807,2807
1526417080,2803,2803
1526418986,2823,2823
1526420894,2827,2827
1526422920,2834,2834
1526424749,2827,2827
1526426672,2833,2833
1526428591,2839,2839
1526430513,2823,2823
1526432435,3456,3456
1526434364,3443,3443
1526436283,3432,3432
1526438200,3429,3429
1526440119,3442,3442
1526442031,3461,3461
1526443957,3481,3481
1526445873,3475,3475
1526447801,3483,3483
1526449714,3495,3495
1526451639,3503,3503
1526453554,3496,3496
1526455471,3511,3511
1526457373,3518,3518
1526459312,3532,3532
1526461249,3526,3526
1526463151,3523,3523
1526465085,3515,3515
1526466975,3529,3529
1526468925,3548,3548
1526472758,1858,1858
1526474667,1864,1864
1526476588,2582,2582
1526478494,2577,2577
1526480427,2598,2598
1526482358,2648,2648
1526484269,2649,2649
1526486185,2669,2669
1526488842,2688,2688
1526490744,2679,2679
1526492670,2664,2664
1526494584,2665,2665
1526496495,2700,2700
1526498412,2711,2711
1526500336,2729,2729
1526502271,2747,2747
1526504196,2752,2752
1526506101,2749,2749
1526508028,2742,2742
1526510629,2746,2746
1526512824,2729,2729
1526514746,2736,2736
1526516663,2726,2726
1526518583,2727,2727
1526520492,3406,3406
1526522428,3383,3383
1526524345,3398,3398
1526526271,3392,3392
1526528192,3399,3399
1526530112,3402,3402
1526532026,3389,3389
1526533952,3389,3389
1526535857,3379,3379
1526537793,3386,3386
1526539711,3397,3397
1526541632,3426,3426
1526543534,3455,3455
1526545461,3490,3490
1526547406,3508,3508
1526549292,3507,3507
1526551240,3531,3531
1526553149,3535,3535
1526555062,3552,3552
1526556991,3559,3559
1526558913,1906,1906
1526560808,1929,1929
1526563000,2737,2737
1526564907,2761,2761
1526566825,2791,2791
1526568766,2805,2805
1526570663,2812,2812
1526572584,2824,2824
1526574508,2826,2826
1526576429,2841,2841
1526578352,2838,2838
1526580273,2840,2840
1526582191,2842,2842
1526584111,2830,2830
1526586019,2838,2838
1526587947,2812,2812
1526589861,2798,2798
1526591793,2804,2804
1526593714,2801,2801
1526595620,2784,2784
1526598361,2734,2734
1526600173,2732,2732
1526602108,2727,2727
1526604261,2716,2716
1526606186,3461,3461
1526608100,3458,3458
1526610017,3466,3466
1526611945,3456,3456
1526613859,3446,3446
1526615791,3437,3437
1526617704,3412,3412
1526619625,3398,3398
1526621542,3373,3373
1526623479,3357,3357
1526625375,3368,3368
1526627297,3349,3349
1526629225,3342,3342
1526631146,3316,3316
1526633060,3319,3319
1526634990,3310,3310
1526636907,3297,3297
1526638820,3271,3271
1526640739,3244,3244
1526642659,3216,3216
1526644587,3240,3240
1526647019,1473,1473
1526648915,2345,2345
1526650830,2336,2336
1526652745,2318,2318
1526654666,2300,2300
1526656821,2300,2300
1526658743,2297,2297
1526660654,2301,2301
1526662580,2301,2301
1526664493,2309,2309
1526666436,2320,2320
1526668355,2349,2349
1526670265,2322,2322
1526672196,2294,2294
1526674121,2277,2277
1526676051,2250,2250
1526677954,2236,2236
1526679865,2200,2200
1526681801,2183,2183
1526683948,2171,2171
1526685868,2148,2148
1526688044,2095,2095
1526689951,2059,2059
1526691864,2875,2875
1526693776,2870,2870
1526695710,2844,2844
1526697874,2823,2823
1526699798,2822,2822
1526701698,2811,2811
1526703622,2812,2812
1526705553,2813,2813
1526707468,2802,2802
1526709425,2785,2785
1526711306,2762,2762
1526713224,2781,2781
1526715141,2740,2740
1526717081,2709,2709
1526718986,2679,2679
1526720918,2656,2656
1526722828,2616,2616
1526724747,2591,2591
1526726675,2575,2575
1526728586,2549,2549
1526730503,2531,2531
1526732437,1201,1201
1526734590,1201,1201
1526736510,1696,1696
1526738426,1727,1727
1526740353,1749,1749
1526742280,1768,1768
1526744179,1791,1791
1526746144,1799,1799
1526748016,1808,1808
1526749954,1818,1818
1526751861,1850,1850
1526753788,1863,1863
1526755722,1877,1877
1526757625,1873,1873
1526759553,1865,1865
1526761467,1859,1859
1526763393,1843,1843
1526765312,1850,1850
1526767233,1868,1868
1526769547,1871,1871
1526771547,1880,1880
1526773454,1874,1874
1526775396,1887,1887
1526777305,1887,1887
1526779208,2306,2306
1526781129,2310,2310
1526783061,2310,2310
1526784977,2306,2306
1526787139,2295,2295
1526789067,2282,2282
1526790972,2276,2276
1526792911,2284,2284
1526794812,2295,2295
1526796739,2290,2290
1526798653,2297,2297
1526800574,2310,2310
1526802491,2324,2324
1526804424,2341,2341
