DateTime,Entries,UniqueIPs
1526782502,9245,9245
1526783402,9135,9135
1526784302,8963,8963
1526785202,8787,8787
1526786101,8762,8762
1526787001,8750,8750
1526787902,8510,8510
1526788801,8249,8249
1526789701,8051,8051
1526790601,7743,7743
1526791502,7535,7535
1526792402,7319,7319
1526793302,7164,7164
1526794202,6969,6969
1526795101,6775,6775
1526796001,6839,6839
1526796901,6881,6881
1526797801,6835,6835
1526798701,6864,6864
1526799601,6959,6959
1526800501,6989,6989
1526801401,6994,6994
1526802302,7188,7188
1526803201,7227,7227
1526804102,7371,7371
1526805001,7374,7374
1526805902,7485,7485
1526806802,7548,7548
1526807702,7760,7760
1526808601,7868,7868
1526809501,7903,7903
1526810401,7945,7945
1526811302,8136,8136
1526812202,8194,8194
1526813102,8294,8294
1526814001,8486,8486
1526814902,8602,8602
1526815802,8622,8622
1526816702,8695,8695
1526817602,8654,8654
1526818502,8640,8640
1526819402,8643,8643
1526820302,8572,8572
1526821201,8512,8512
1526822101,8541,8541
1526823002,8464,8464
1526823902,8348,8348
1526824802,8257,8257
1526825702,8240,8240
1526826602,8176,8176
1526827502,8159,8159
1526828402,8195,8195
1526829302,8179,8179
1526830202,8030,8030
1526831101,7975,7975
1526832001,7972,7972
1526832902,8049,8049
1526833802,7897,7897
1526834702,7851,7851
1526835602,7823,7823
1526836502,7817,7817
1526837402,7697,7697
1526838302,7649,7649
1526839202,7593,7593
1526840102,7505,7505
1526841002,7406,7406
1526841902,8186,8186
1526842802,9184,9184
1526843702,9272,9272
1526844602,9419,9419
1526845502,9478,9478
1526846401,9414,9414
1526847302,9532,9532
1526848202,9476,9476
1526849102,9426,9426
1526850002,9311,9311
1526850902,9402,9402
1526851802,9230,9230
1526852702,9110,9110
1526853601,9048,9048
1526854501,8962,8962
1526855402,8798,8798
1526857201,8666,8666
1526858102,8512,8512
1526859002,8390,8390
1526859901,8306,8306
1526860802,8218,8218
1526861702,8270,8270
1526862602,8300,8300
1526863502,8225,8225
1526864402,8210,8210
1526865301,8186,8186
1526866201,8124,8124
1526867101,8079,8079
1526868001,8087,8087
1526868902,8124,8124
1526869802,8136,8136
1526870701,8160,8160
1526871601,8159,8159
1526872501,8142,8142
1526873401,8152,8152
1526874301,8170,8170
1526875202,8195,8195
1526876102,8254,8254
1526877001,8213,8213
1526877902,8191,8191
1526878802,8172,8172
1526879702,8248,8248
1526880601,8249,8249
1526881501,8280,8280
1526882401,8315,8315
1526883302,8391,8391
1526884202,8414,8414
1526885102,8417,8417
1526886002,7682,7682
1526886902,6786,6786
1526887802,6602,6602
1526888702,6522,6522
1526889602,6513,6513
1526890502,6591,6591
1526891402,6490,6490
1526892302,6528,6528
1526893202,6512,6512
1526894102,6628,6628
1526895002,6823,6823
1526895902,7142,7142
1526896802,7475,7475
1526897701,7862,7862
1526898602,7939,7939
1526899502,8160,8160
1526900402,8320,8320
1526901302,8434,8434
1526902202,8560,8560
1526903102,8787,8787
1526904002,8946,8946
1526904902,9012,9012
1526905802,9156,9156
1526906702,10767,10767
1526907602,11732,11732
1526908502,11837,11837
1526909403,11929,11929
1526910302,12061,12061
1526911202,12148,12148
1526912102,12230,12230
1526913002,12240,12240
1526913902,12209,12209
1526914802,12306,12306
1526915702,12267,12267
1526916602,12271,12271
1526917502,12315,12315
1526918402,12372,12372
1526919302,12319,12319
1526920202,12293,12293
1526921102,12353,12353
1526922002,12455,12455
1526922903,12499,12499
1526923802,12481,12481
1526924702,12495,12495
1526925603,12501,12501
1526926502,12522,12522
1526927402,12504,12504
1526928302,12469,12469
1526929203,11802,11802
