DateTime,AddedIPs,RemovedIPs
1524595835,5,5
1524600636,2,2
1524606034,9,14
1524611434,14,0
1524616834,14,7
1524622835,10,0
1524628235,6,10
1524634234,6,9
1524639634,3,14
1524644435,8,0
1524650435,9,4
1524655834,1,5
1524660634,4,6
1524666635,5,13
1524671435,5,13
1524676834,17,1
1524682234,4,9
1524687634,8,4
1524693035,8,5
1524698435,3,3
1524703839,2,11
1524709833,3,0
1524714634,6,6
1524719434,9,0
1524725433,1,4
1524730233,1,7
1524736236,7,5
1524741635,48,6
1524747034,34,6
1524751835,17,0
1524757834,5,5
1524762634,7,14
1524768034,4,0
1524774034,6,20
1524779435,2,3
1524783634,4,8
1524787835,7,0
1524793237,1,7
1524799234,13,0
1524804636,4,19
1524809437,4,3
1524815437,4,7
1524820234,4,5
1524825635,3,5
1524831034,1,5
1524836434,4,0
1524842435,2,5
1524847234,2,6
1524850832,7,0
1524856234,4,12
1524861636,7,2
1524867035,11,2
1524870631,4,0
1524875434,15,14
1524879634,16,0
1524885034,16,4
1524891034,12,7
1524895834,3,1
1524900034,3,3
1524904834,5,7
1524910235,5,6
1524914434,4,5
1524919834,2,5
1524924636,4,6
1524930034,7,3
1524935434,6,11
1524939034,4,0
1524944435,3,23
1524948032,6,0
1524953435,6,4
1524956432,4,3
1524960634,1,2
1524966034,4,2
1524976834,1,2
1524980431,1,0
1524985836,5,18
1524991234,5,0
1524997235,5,8
1525002635,5,3
1525008035,9,4
1525013434,13,0
1525018234,8,7
1525024235,74,8
1525029034,5,7
1525035034,12,5
1525039844,4,0
1525045834,3,11
1525050634,3,12
1525056635,2,0
1525061435,2,6
1525066834,3,11
1525072835,5,10
1525078235,2,29
1525083634,2,14
1525089036,3,0
1525094435,3,5
1525099234,2,6
1525104634,2,3
1525110034,2,7
1525116035,7,9
1525121434,6,10
1525126236,7,11
1525131033,4,0
1525134631,4,9
1525138839,8,14
1525142431,5,0
1525148435,6,15
1525153235,8,5
1525159235,8,3
1525164034,5,4
1525170034,4,15
1525175435,4,9
1525180235,1,22
1525186235,7,18
1525191034,3,0
1525196434,1,13
1525200032,2,0
1525206035,4,11
1525210834,4,25
1525216234,1,0
1525221635,4,15
1525227634,1,0
1525232434,4,9
1525243835,1,12
1525249235,1,9
1525254634,1,9
1525260034,3,8
1525265434,2,12
1525270234,2,6
1525275634,6,10
1525281035,10,7
1525284632,6,5
1525290035,11,5
1525295435,10,5
1525300835,1,6
1525303832,1,0
1525308036,1,14
1525314034,4,4
1525319434,3,0
1525324834,5,13
1525330234,2,4
1525335034,2,10
1525341035,3,6
1525347034,4,0
1525351835,3,18
1525356634,3,4
1525361434,2,0
1525365634,5,12
1525369232,2,0
1525374635,3,8
1525380034,1,3
1525384835,3,6
1525388432,6,0
1525392034,5,2
1525399832,2,12
