DateTime,AddedIPs,RemovedIPs
1524563432,4,4
1524568832,5,1
1524574232,3,4
1524579634,4,0
1524590431,2,4
1524595833,4,3
1524600634,2,3
1524606032,5,3
1524611432,2,0
1524616832,5,2
1524622832,2,7
1524628233,7,5
1524634232,5,0
1524639632,1,2
1524644432,6,0
1524650432,1,1
1524655832,0,8
1524660632,2,0
1524666632,1,2
1524671433,0,2
1524676832,5,2
1524682232,1,4
1524687632,4,4
1524693032,1,3
1524698433,5,5
1524703836,6,2
1524709831,6,2
1524714632,2,0
1524719432,2,4
1524725431,3,3
1524730231,2,3
1524736233,6,2
1524741633,7,5
1524747032,4,3
1524751832,6,6
1524757832,5,4
1524762632,4,2
1524768032,2,0
1524774031,2,6
1524783632,3,0
1524787832,2,2
1524793234,1,2
1524799232,5,3
1524804633,7,3
1524809433,1,0
1524815434,3,2
1524820231,2,2
1524825633,2,3
1524831032,4,1
1524836431,0,3
1524842433,4,4
1524847231,5,5
1524850830,2,0
1524856231,0,8
1524861632,4,3
1524867033,6,3
1524870628,2,0
1524875432,5,1
1524879631,2,2
1524885032,2,1
1524891031,7,2
1524895832,3,1
1524900032,4,1
1524904832,2,1
1524910233,1,0
1524914432,2,4
1524919832,1,0
1524924633,3,2
1524930032,3,1
1524935431,1,7
1524939032,4,0
1524944433,3,3
1524948029,4,2
1524953432,1,1
1524960632,2,2
1524966032,4,1
1524971432,2,2
1524976832,2,1
1524980429,2,0
1524985832,1,2
1524991232,5,2
1524997232,1,3
1525002632,2,2
1525008032,1,0
1525018232,3,3
1525024232,7,1
1525029032,5,0
1525035032,0,3
1525039842,8,3
1525045832,7,3
1525050632,5,1
1525056632,5,5
1525061431,4,3
1525066832,3,3
1525078232,2,2
1525083632,4,1
1525089033,3,3
1525094433,1,5
1525099232,3,7
1525104632,4,1
1525110032,2,2
1525116033,5,0
1525121432,2,1
1525126233,4,4
1525131031,1,0
1525134629,3,0
1525138836,5,2
1525142429,1,0
1525148433,5,4
1525153233,1,3
1525159233,1,2
1525164032,4,2
1525170031,3,0
1525175432,2,4
1525180232,4,2
1525186232,1,0
1525191032,3,0
1525196431,2,3
1525200029,2,0
1525206033,0,6
1525210832,5,3
1525216232,3,1
1525221632,4,3
1525227632,4,3
1525232431,4,1
1525238432,4,1
1525243833,3,5
1525249232,3,0
1525254632,2,3
1525260032,1,2
1525265432,3,1
1525270232,2,6
1525275632,2,2
1525281032,4,0
1525284630,1,0
1525290032,3,4
1525295432,0,4
1525300833,3,2
1525303829,0,2
1525308033,3,3
1525314031,2,2
1525319432,3,0
1525324831,2,1
1525330232,5,2
1525335032,2,3
1525341033,4,1
1525347031,4,4
1525351833,0,2
1525356632,5,0
1525365632,3,0
1525369230,3,0
1525374632,4,2
1525380032,4,2
1525384833,1,4
1525388430,2,0
1525392032,3,2
1525399829,2,5
1525405232,2,4
1525411232,5,2
1525416032,1,3
1525421432,1,3
1525426832,1,1
1525432232,3,0
1525437632,1,0
1525443032,1,3
1525448432,0,2
1525453832,3,1
1525457429,2,0
1525461032,1,0
1525466432,2,6
1525471832,0,2
1525477831,4,4
1525483232,1,1
1525496432,3,1
1525500631,4,1
1525511431,4,4
1525516832,2,2
1525522232,10,0
1525528832,8,3
1525533632,4,2
1525539033,2,3
1525544433,1,4
1525550433,8,5
1525555233,2,1
1525560633,2,4
1525566032,6,0
1525570835,2,2
1525577432,3,1
1525582831,4,6
1525588232,2,2
1525593632,1,6
1525598433,6,2
1525603833,5,4
1525609832,1,0
1525614633,1,5
1525620632,3,2
1525625432,2,2
1525631433,2,1
1525636232,4,2
1525647033,6,5
1525652435,4,1
1525657832,3,0
1525663832,2,1
1525668632,1,4
1525674033,1,4
1525679432,2,3
1525685432,1,0
1525690234,2,5
1525695632,3,0
1525701633,4,3
1525707032,2,0
1525711833,5,2
1525717232,3,9
1525722633,4,2
1525728032,2,1
1525732834,5,2
1525738832,4,2
1525744232,0,3
1525750232,1,1
1525755632,5,5
1525760432,2,2
1525765832,3,10
1525771245,2,3
1525776632,3,0
1525782633,3,5
1525788032,3,1
1525793432,2,1
1525797633,4,4
1525803633,2,1
1525809033,3,3
1525814433,4,2
1525819833,4,0
1525824633,3,1
1525831233,2,2
1525836633,3,1
1525841432,8,5
1525846233,1,3
1525852233,3,2
1525858232,3,8
1525863633,5,4
1525868433,4,7
1525874432,3,4
1525879233,1,0
1525884635,5,0
