DateTime,AddedIPs,RemovedIPs
1524628233,25,25
1524634232,27,25
1524639632,25,27
1524644432,26,24
1524650432,21,26
1524655832,25,22
1524660632,24,24
1524666632,26,25
1524671433,23,25
1524676832,25,24
1524682232,23,25
1524687632,26,23
1524693032,21,26
1524698433,25,21
1524703836,25,24
1524709831,25,24
1524714632,26,27
1524719432,22,26
1524725431,24,21
1524730231,23,25
1524736233,23,23
1524741633,26,23
1524747032,27,26
1524751832,23,26
1524757832,25,24
1524762632,24,25
1524768032,22,24
1524774031,25,22
1524779432,24,25
1524783632,26,24
1524787832,25,26
1524793234,23,24
1524799232,26,24
1524804633,26,26
1524809433,26,26
1524815434,24,26
1524820231,26,24
1524825633,24,26
1524831032,23,24
1524836431,21,22
1524842433,27,22
1524847231,23,26
1524850830,21,24
1524856231,22,20
1524861632,24,22
1524867033,23,24
1524870628,23,22
1524875432,24,25
1524879631,26,24
1524885032,26,26
1524891031,26,26
1524895832,20,22
1524900032,26,24
1524904832,23,24
1524910233,25,25
1524914432,25,24
1524919832,26,26
1524924633,24,25
1524930032,24,24
1524935431,21,23
1524939032,26,23
1524944433,26,26
1524948029,25,26
1524953432,24,25
1524956429,23,23
1524960632,21,21
1524966032,24,21
1524971432,17,20
1524976832,26,24
1524980429,24,25
1524985832,23,25
1524991232,24,21
1524997232,21,24
1525002632,24,23
1525008032,24,24
1525013432,25,23
1525018232,24,24
1525024232,26,25
1525029032,25,27
1525035032,25,24
1525039842,24,26
1525045832,26,24
1525050632,23,26
1525056632,24,22
1525061431,21,25
1525066832,26,21
1525072832,25,26
1525078232,24,25
1525083632,25,24
1525089033,24,24
1525094433,23,24
1525099232,23,22
1525104632,21,22
1525110032,26,24
1525116033,21,24
1525121432,24,21
1525126233,24,25
1525131031,24,25
1525134629,26,24
1525138836,23,25
1525142429,24,24
1525148433,25,24
1525153233,26,24
1525159233,26,27
1525164032,23,24
1525170031,23,24
1525175432,21,23
1525180232,24,22
1525186232,23,24
1525191032,21,21
1525196431,25,23
1525200029,25,25
1525206033,15,17
1525210832,25,23
1525216232,24,25
1525221632,25,24
1525227632,23,23
1525232431,24,24
1525238432,23,23
1525243833,25,25
1525249232,27,25
1525254632,23,26
1525260032,25,24
1525265432,23,24
1525270232,23,23
1525275632,25,24
1525281032,26,25
1525284630,22,25
1525290032,26,22
1525295432,23,26
1525300833,24,23
1525303829,22,25
1525308033,26,22
1525314031,24,23
1525319432,26,27
1525324831,20,23
1525330232,26,23
1525335032,25,26
1525341033,24,25
1525347031,24,23
1525351833,24,25
1525356632,26,23
1525361432,21,27
1525365632,27,21
1525369230,23,26
1525374632,21,20
1525380032,24,22
1525384833,24,25
1525388430,23,24
1525392032,24,24
1525399829,24,23
1525405232,26,26
1525411232,25,25
1525416032,24,25
1525421432,23,23
1525426832,23,24
1525432232,19,17
1525437632,17,20
1525443032,26,23
1525448432,23,25
1525453832,21,19
1525457429,25,26
1525461032,22,25
1525466432,22,20
1525471832,22,23
1525477831,21,18
1525483232,22,25
1525489832,22,22
1525496432,24,20
1525500631,25,27
1525506632,24,25
1525511431,23,22
1525516832,23,25
1525522232,23,23
1525528832,24,22
1525533632,23,24
1525539033,18,20
1525544433,21,22
1525550433,26,20
1525555233,24,27
1525560633,22,24
1525566032,26,22
1525570835,25,26
1525577432,20,23
1525582831,23,21
1525588232,25,24
1525593632,25,25
1525598433,24,25
1525603833,27,24
1525609832,23,25
1525614633,22,24
1525620632,27,23
1525625432,25,27
1525631433,25,25
1525636232,25,25
1525641634,26,25
1525647033,24,26
1525652435,23,23
1525657832,26,23
1525663832,20,20
1525668632,25,27
1525674033,22,25
1525679432,25,22
1525685432,23,24
1525690234,25,24
1525695632,25,25
1525701633,23,25
1525707032,24,22
1525711833,25,25
1525717232,24,25
1525722633,26,23
1525728032,25,27
1525732834,25,25
1525738832,25,23
1525744232,20,26
1525750232,23,19
1525755632,25,24
1525760432,22,25
1525765832,25,23
1525771245,24,25
1525776632,20,24
1525782633,24,19
1525788032,25,25
1525793432,22,23
1525797633,23,22
1525803633,25,25
1525809033,24,25
1525814433,24,24
1525819833,23,23
1525824633,22,21
1525831233,19,19
1525836633,25,25
1525841432,24,23
1525846233,25,26
1525852233,26,25
1525858232,25,26
1525863633,23,23
1525868433,25,25
1525874432,26,25
1525879233,23,24
1525884635,26,25
1525889432,25,26
1525894833,23,25
1525900233,23,23
