DateTime,AddedIPs,RemovedIPs
1526862722,12,6
1526863322,3,0
1526863922,2,12
1526864522,5,1
1526865722,5,12
1526866921,4,0
1526867521,5,16
1526868121,18,0
1526868721,8,3
1526869321,4,1
1526870522,3,1
1526871722,11,4
1526872921,9,4
1526873522,12,0
1526874121,13,2
1526874721,6,0
1526875322,5,10
1526876522,2,0
1526877121,6,0
1526878921,10,9
1526880122,5,1
1526880721,1,2
1526881321,1,0
1526882521,28,2
1526883121,14,13
1526883722,4,0
1526884321,1,5
1526884921,0,3
1526886121,8,0
1526886721,3,1
1526887322,4,0
1526887921,1,5
1526888522,1,0
1526889722,2,7
1526890321,7,0
1526890921,2,2
1526892722,2,0
1526893922,15,7
1526894522,15,1
1526895121,6,0
1526895721,1,0
1526896922,6,0
1526897522,5,2
1526898122,10,1
1526898722,10,0
1526899322,11,0
1526899921,6,2
1526900522,2,0
1526901122,8,8
1526901721,4,0
1526902322,2,0
1526902922,11,19
1526904121,2,7
1526904722,4,0
1526905322,16,13
1526906522,7,3
1526907121,1,5
1526907721,0,26
1526908922,4,6
1526909522,2,0
1526910121,7,1
1526911322,5,8
1526911921,5,1
1526912521,4,2
1526913121,30,0
1526913722,2,2
1526914321,6,1
1526914922,1,0
1526916121,1,2
1526916722,6,0
1526917322,1,0
1526918521,2,0
1526919122,3,24
1526919722,0,2
1526920922,3,4
1526921521,5,5
1526922121,1,20
1526923322,6,4
1526923921,6,13
1526924522,6,2
1526925122,6,0
1526926321,7,9
1526927522,3,0
1526928121,1,0
1526929321,3,22
1526930522,5,1
1526931721,1,0
1526932322,1,5
1526932921,2,0
1526934722,2,1
1526935321,5,1
1526935922,7,0
1526936521,5,2
1526937121,1,0
1526937722,3,3
1526938922,3,0
1526939522,4,4
1526940722,1,0
1526941321,4,8
1526943122,2,3
1526943721,6,0
1526944321,0,1
1526944922,2,5
1526946121,3,17
1526947322,3,0
1526947921,2,0
1526948523,5,2
1526949122,1,27
1526949721,0,3
1526950323,1,0
1526950921,1,1
1526952121,18,0
1526953321,17,1
1526953921,7,2
1526954521,3,8
1526955122,4,1
1526956322,8,6
1526956922,6,2
1526957521,4,0
1526958123,20,0
1526958722,1,0
1526960521,1,18
1526961122,3,3
1526961722,8,0
1526962322,3,0
1526962922,1,3
1526963521,6,1
1526964121,10,0
1526964721,5,0
1526965321,18,3
1526966521,8,6
1526967722,2,4
1526968322,7,0
1526968921,1,0
1526969522,3,0
1526970121,3,19
1526970721,10,0
1526971322,9,0
1526971921,6,25
1526972522,0,2
1526973122,4,0
1526973722,3,0
1526974322,1,0
1526974922,6,0
1526975522,0,3
1526976122,1,9
1526976722,1,21
1526977321,12,0
1526977921,15,4
1526978521,10,0
1526979122,0,1
1526979722,6,3
1526980322,2,0
1526980922,4,3
1526981522,4,3
1526982122,5,2
1526983921,2,0
1526984521,1,6
1526985122,6,13
1526985722,4,24
1526986321,1,0
1526986922,2,9
1526987522,3,11
1526988122,3,6
1526988721,1,3
1526989322,2,2
1526989921,3,0
1526990521,1,0
1526991122,1,1
1526991722,6,0
1526992322,0,8
1526992922,1,4
1526993521,1,12
1526994121,38,0
1526995322,0,36
1526996521,1,6
1526997122,12,0
1526997722,16,3
1526998322,26,0
1526998921,3,12
1527000121,0,5
1527001322,5,24
1527001921,1,0
1527003722,5,7
1527004321,15,0
1527004921,2,2
1527005522,11,0
1527006121,10,5
1527007321,1,8
1527007921,11,3
1527008521,1,0
1527009722,0,4
1527010322,1,0
1527010921,18,8
1527011521,10,2
1527012121,8,0
1527013321,4,16
1527013922,0,5
1527014521,2,0
1527015121,1,1
1527015722,3,3
1527016322,12,0
1527016922,2,5
1527017521,1,0
1527018122,1,0
1527018722,13,6
1527019322,2,1
1527020522,1,0
1527021122,5,0
1527021721,8,8
1527022921,2,5
1527024121,1,2
1527024721,5,11
1527025321,4,3
1527025922,6,0
1527026522,7,0
1527027122,3,2
1527027721,6,0
1527028322,0,32
1527030121,9,0
1527030722,1,24
1527031322,1,0
1527032521,1,2
1527033722,3,12
1527034922,1,1
1527036121,17,7
1527036722,5,3
1527037322,2,0
1527037922,3,22
1527038522,20,1
1527039122,3,0
1527039721,1,0
1527040321,5,8
1527040922,3,11
1527041522,8,0
1527042121,4,1
1527042722,6,0
1527043322,2,5
1527043921,2,0
1527044522,3,1
1527045122,6,4
1527045722,1,0
1527046321,1,0
1527046922,2,0
1527047521,0,1
1527048121,11,8
1527048721,1,0
1527049322,2,0
1527049921,1,1
1527050522,0,3
1527051122,3,13
1527051721,4,0
1527052321,3,0
1527052922,7,1
1527054121,0,1
1527055321,1,10
1527055922,7,5
1527057122,2,4
1527057721,1,10
1527058321,0,23
1527060122,19,19
1527060721,7,3
1527061322,3,3
1527062521,9,6
1527063122,11,0
1527063722,3,15
1527064321,3,0
1527064921,4,21
1527065522,1,0
1527066122,3,0
1527066721,0,26
1527067321,6,5
1527068522,4,2
1527069721,1,1
1527070322,3,6
1527070922,3,0
1527072121,1,28
1527073322,1,19
1527073922,6,1
1527074522,7,6
1527075722,7,11
1527076322,1,0
1527076922,1,0
1527077521,0,2
1527078121,3,0
1527078721,1,1
1527079321,6,19
1527079921,7,0
1527080521,1,6
1527081122,5,5
1527081722,5,0
1527082322,3,2
1527082922,1,0
1527085322,19,49
1527085921,11,0
1527086521,3,1
1527087121,10,0
1527087722,5,0
1527088921,3,2
1527090122,8,9
1527090721,17,12
1527091322,2,0
1527091921,3,12
1527092522,1,38
1527093721,12,0
1527094321,1,2
1527094921,1,6
1527096121,3,0
1527096721,3,0
1527097922,2,0
1527098522,22,6
1527099721,4,0
1527100922,3,13
1527101522,7,0
1527102122,1,0
1527102722,0,1
1527103321,0,7
1527103922,9,0
1527104522,1,2
1527105721,0,9
1527106321,1,22
1527106922,8,0
1527108122,2,41
1527108721,2,0
1527109321,2,0
1527110522,6,4
1527111721,0,2
1527112322,19,2
1527112922,8,12
1527114122,8,1
1527114722,12,0
1527115922,1,5
1527116521,8,0
1527117722,5,4
1527118922,0,23
1527119521,3,0
1527120122,8,0
1527120721,1,0
1527121322,1,2
1527121922,1,0
1527122522,0,26
1527123121,2,0
1527124321,0,8
1527124922,9,0
1527125521,10,4
1527126122,2,5
1527126721,5,0
1527127321,1,3
1527127922,2,0
1527128522,12,0
1527129721,4,7
1527130321,5,11
1527130921,1,0
1527131521,1,2
1527132121,0,9
1527132722,19,0
1527133322,14,10
1527134522,6,0
1527135122,4,1
1527135721,1,0
1527136321,1,1
1527136921,5,2
1527137522,1,0
1527138122,12,9
1527138722,3,0
1527139322,30,5
1527139921,2,12
1527141722,6,1
1527142322,2,0
1527142921,0,32
1527144721,1,1
1527145921,4,2
1527146522,0,1
1527147122,5,0
1527147722,6,9
1527148321,6,0
1527150122,4,8
1527150722,0,13
1527151922,7,0
1527152521,7,3
1527153722,2,2
1527154321,2,13
1527154921,14,0
1527155522,1,0
1527156122,7,0
1527156721,0,1
1527157322,0,12
1527157922,9,0
1527158521,2,0
1527159721,2,6
1527160321,3,6
1527160922,9,0
1527161521,4,15
1527162122,2,13
1527162722,1,0
1527163322,2,0
1527163922,0,5
1527164522,4,1
1527165122,5,4
1527165721,3,26
1527166321,5,12
1527166921,14,6
1527167522,28,0
1527168121,1,8
1527169321,3,11
1527170522,14,0
1527171721,1,0
1527172322,0,7
1527172922,4,4
1527174121,2,5
1527174721,11,11
1527175322,2,0
1527176521,3,0
1527177721,0,21
1527178322,6,0
1527178922,11,0
1527179522,1,1
1527180122,4,0
1527180721,9,32
1527181322,24,2
1527181921,1,0
1527182522,3,0
1527183122,6,5
1527183722,4,1
1527184922,0,22
1527185521,22,14
1527186121,3,0
1527187321,3,1
1527188521,8,3
1527189121,1,0
1527189722,4,3
1527190322,4,3
1527190922,0,4
1527191522,21,0
1527192121,3,10
1527192722,5,0
1527193321,4,10
1527193922,4,0
1527194522,3,0
1527195121,2,18
1527195721,25,0
1527196321,0,2
1527196922,5,3
1527197521,3,0
1527198721,2,0
1527199921,5,3
1527200522,8,0
1527202322,2,6
1527202921,10,1
1527203521,8,5
1527204122,10,0
1527204721,12,2
1527205321,14,0
1527205922,0,2
1527206522,10,0
1527207722,5,6
1527208922,0,26
1527209522,5,5
1527210122,10,1
1527210721,18,0
1527211321,2,3
1527211921,0,27
1527213122,4,4
1527213722,20,0
1527214322,5,0
1527214922,7,2
1527215522,6,0
1527216122,25,11
1527217321,10,0
1527217923,2,1
1527218522,6,0
1527219722,5,26
1527220322,10,4
1527220922,1,0
1527221522,0,3
1527222122,3,2
1527223322,4,3
1527223922,3,4
1527225121,1,16
1527225721,3,7
1527226921,0,8
1527228721,12,26
1527229321,3,0
1527229921,8,1
1527230521,5,4
1527231122,4,0
1527231721,12,6
1527232922,2,5
1527233522,4,0
1527234122,2,0
1527235322,2,1
1527236521,0,6
1527237722,0,1
1527238922,3,28
1527239522,0,2
1527240721,12,7
1527241322,0,5
1527242521,3,3
1527243122,1,0
1527243722,1,0
