DateTime,Entries,UniqueIPs
1526839321,3307,3507
1526839922,3312,3506
1526840521,3313,3507
1526841722,3309,3496
1526842322,3309,3496
1526842922,3309,3496
1526844122,3308,3493
1526845321,3313,3487
1526845922,3302,3476
1526847122,3304,3478
1526847722,3299,3469
1526848921,3298,3468
1526849521,3295,3464
1526850122,3294,3461
1526850722,3302,3466
1526851321,3307,3470
1526851922,3306,3468
1526852522,3314,3477
1526853722,3320,3472
1526854322,3325,3481
1526854922,3329,3483
1526855521,3331,3487
1526857322,3323,3478
1526858521,3327,3485
1526859121,3329,3487
1526859721,3333,3493
1526860922,3332,3487
1526861521,3335,3493
1526862122,3339,3498
1526862722,3350,3509
1526863322,3352,3512
1526863922,3353,3513
1526864522,3356,3516
1526865722,3338,3497
1526866921,3340,3499
1526867521,3344,3504
1526868121,3356,3518
1526868721,3351,3507
1526869321,3348,3509
1526870522,3348,3509
1526871722,3329,3493
1526872921,3332,3496
1526873522,3329,3489
1526874121,3340,3501
1526874721,3336,3495
1526875322,3338,3499
1526876522,3339,3500
1526877121,3331,3494
1526877722,3326,3489
1526878921,3327,3493
1526880122,3326,3491
1526880721,3326,3491
1526881321,3298,3454
1526882521,3303,3455
1526883121,3307,3462
1526883722,3300,3459
1526884321,3299,3458
1526884921,3296,3455
1526886121,3300,3461
1526886721,3300,3461
1526887322,3299,3461
1526887921,3299,3461
1526888522,3291,3453
1526889722,3290,3451
1526890321,3273,3431
1526890921,3272,3432
1526892122,3261,3419
1526892722,3263,3421
1526893322,3251,3407
1526893922,3259,3416
1526894522,3248,3405
1526895121,3252,3409
1526895721,3252,3410
1526896922,3234,3390
1526897522,3235,3391
1526898122,3244,3401
1526898722,3248,3405
1526899322,3256,3413
1526899921,3259,3416
1526900522,3259,3418
1526901122,3264,3424
1526901721,3267,3427
1526902322,3266,3428
1526902922,3268,3429
1526904121,3267,3429
1526904722,3264,3427
1526905322,3264,3431
1526906522,3269,3437
1526907721,3241,3406
1526908922,3245,3410
1526909522,3246,3412
1526910121,3246,3416
1526911322,3241,3411
1526911921,3244,3415
1526912521,3247,3418
1526913121,3268,3440
1526913722,3270,3442
1526914321,3272,3446
1526916121,3271,3445
1526916722,3272,3446
1526917322,3272,3446
1526918521,3269,3443
1526919122,3267,3444
1526920922,3268,3445
1526921521,3267,3444
1526922121,3258,3435
1526923322,3259,3437
1526923921,3260,3439
1526924522,3260,3443
1526925122,3264,3447
1526926321,3260,3444
1526927522,3260,3444
1526928121,3257,3441
1526929321,3238,3420
1526930522,3239,3425
1526931721,3226,3412
1526932322,3227,3413
1526932921,3228,3414
1526934722,3223,3412
1526935321,3225,3416
1526935922,3228,3419
1526936521,3230,3422
1526937121,3229,3421
1526937722,3230,3422
1526938321,3226,3418
1526938922,3226,3420
1526939522,3221,3421
1526940722,3219,3419
1526941321,3203,3407
1526943122,3204,3408
1526943721,3204,3413
1526944922,3199,3408
1526946121,3199,3408
1526947322,3200,3409
1526947921,3199,3408
1526948523,3201,3410
1526949122,3197,3406
1526950323,3198,3407
1526950921,3198,3407
1526952121,3208,3419
1526953321,3217,3427
1526953921,3218,3428
1526954521,3220,3430
1526955122,3222,3432
1526956322,3227,3436
1526956922,3228,3437
1526957521,3230,3439
1526958123,3245,3454
1526958722,3245,3454
1526959322,3231,3440
1526961122,3228,3437
1526961722,3232,3441
1526962322,3235,3444
1526963521,3228,3437
1526964121,3234,3443
1526964721,3238,3447
1526965321,3253,3462
1526966521,3254,3460
1526967722,3251,3457
1526968322,3253,3457
1526969522,3254,3458
1526970721,3261,3465
1526971322,3270,3474
1526971921,3272,3476
1526973122,3275,3479
1526973722,3275,3480
1526974322,3274,3479
1526974922,3276,3481
1526976122,3275,3480
1526976722,3271,3476
1526977321,3280,3485
1526977921,3290,3495
1526978521,3297,3502
1526979122,3294,3499
1526979722,3299,3504
1526980322,3295,3500
1526980922,3291,3496
1526981522,3294,3499
1526982122,3296,3501
1526984521,3297,3502
1526985122,3301,3506
1526985722,3302,3507
1526986321,3303,3508
1526986922,3305,3510
1526987522,3305,3510
1526988122,3302,3507
1526988721,3301,3506
1526989322,3303,3508
1526989921,3304,3509
1526990521,3297,3502
1526991122,3290,3495
1526991722,3295,3500
1526992922,3290,3495
1526993521,3291,3496
1526994121,3327,3532
1526995322,3307,3512
1526996521,3308,3513
1526997122,3317,3522
1526997722,3329,3534
1526998322,3351,3556
1526998921,3352,3557
1527001322,3354,3558
1527001921,3355,3559
1527002521,3349,3553
1527003722,3339,3543
1527004321,3353,3557
1527004921,3355,3559
1527005522,3365,3569
1527006121,3371,3575
1527007321,3353,3557
1527007921,3355,3559
1527008521,3356,3560
1527009722,3353,3557
1527010322,3354,3558
1527010921,3367,3571
1527011521,3376,3580
1527012121,3384,3588
1527013321,3384,3588
1527013922,3382,3586
1527014521,3380,3584
1527015121,3380,3584
1527015722,3380,3584
1527016322,3390,3594
1527016922,3389,3592
1527017521,3388,3591
1527018122,3389,3592
1527018722,3391,3594
1527019322,3392,3595
1527021122,3394,3597
1527021721,3399,3602
1527022921,3391,3595
1527024121,3382,3586
1527024721,3381,3585
1527025321,3382,3587
1527025922,3385,3590
1527026522,3383,3588
1527027122,3386,3591
1527027721,3382,3587
1527028322,3353,3558
1527030121,3359,3564
1527032521,3356,3561
1527033722,3359,3564
1527034922,3342,3547
1527036121,3356,3561
1527036722,3361,3566
1527037922,3364,3569
1527038522,3374,3578
1527039122,3377,3581
1527039721,3378,3582
1527040321,3382,3586
1527040922,3381,3585
1527041522,3386,3590
1527042121,3384,3586
1527042722,3389,3591
1527043921,3391,3593
1527044522,3393,3595
1527045122,3390,3589
1527045722,3390,3589
1527046321,3385,3584
1527046922,3387,3586
1527048121,3392,3591
1527048721,3392,3591
1527049322,3393,3593
1527049921,3384,3582
1527050522,3351,3548
1527051122,3346,3543
1527051721,3349,3546
1527052321,3347,3544
1527052922,3339,3536
1527053522,3337,3534
1527055922,3342,3539
1527057122,3342,3539
1527060122,3358,3555
1527060721,3357,3554
1527062521,3344,3542
1527063122,3353,3552
1527063722,3354,3553
1527064321,3356,3555
1527064921,3356,3555
1527065522,3354,3553
1527066122,3356,3555
1527066721,3355,3554
1527067321,3357,3556
1527068522,3359,3558
1527069721,3360,3559
1527070322,3360,3560
1527070922,3362,3562
1527072121,3351,3550
1527073322,3344,3543
1527073922,3348,3548
1527074522,3349,3549
1527075121,3338,3538
1527075722,3340,3540
1527076322,3339,3539
1527076922,3338,3538
1527077521,3337,3537
1527078121,3340,3540
1527078721,3339,3539
1527079321,3338,3538
1527079921,3345,3545
1527080521,3346,3545
1527081122,3349,3548
1527081722,3344,3542
1527082322,3346,3544
1527085322,3357,3555
1527085921,3363,3562
1527086521,3366,3565
1527087121,3374,3573
1527087722,3375,3574
1527088921,3378,3577
1527090122,3379,3578
1527090721,3392,3591
1527091322,3387,3586
1527091921,3387,3588
1527093721,3392,3593
1527094321,3390,3591
1527094921,3386,3587
1527096121,3386,3587
1527096721,3389,3590
1527097322,3383,3584
1527097922,3384,3585
1527098522,3384,3586
1527099721,3381,3583
1527100922,3384,3586
1527101522,3387,3589
1527102122,3387,3589
1527102722,3388,3588
1527103922,3386,3586
1527104522,3385,3585
1527106321,3384,3584
1527106922,3384,3584
1527108122,3383,3583
1527108721,3382,3582
1527109321,3383,3583
1527110522,3384,3584
1527111721,3375,3575
1527112322,3385,3585
1527112922,3391,3591
1527114122,3393,3593
1527114722,3404,3604
1527116521,3410,3610
1527117722,3414,3614
1527118922,3413,3613
1527119521,3414,3614
1527120122,3418,3619
1527120721,3419,3620
1527121322,3419,3620
1527121922,3419,3621
1527122522,3415,3617
1527123121,3417,3619
1527124321,3416,3618
1527124922,3416,3618
1527125521,3422,3624
1527126721,3426,3628
1527127321,3421,3623
1527128522,3430,3632
1527129721,3433,3635
1527130321,3437,3639
1527130921,3432,3634
1527131521,3433,3635
1527132121,3431,3633
1527132722,3438,3640
1527133322,3451,3653
1527134522,3455,3656
1527135122,3456,3657
1527135721,3457,3658
1527136321,3456,3657
1527136921,3461,3662
1527137522,3462,3663
1527138122,3472,3673
1527138722,3473,3674
1527139322,3498,3699
1527139921,3500,3701
1527141722,3502,3703
1527142322,3504,3705
1527143521,3501,3702
1527144721,3498,3698
1527145921,3499,3699
1527146522,3497,3696
1527147122,3501,3700
1527147722,3505,3704
1527148321,3507,3706
1527150122,3505,3703
1527150722,3492,3689
1527151322,3491,3688
1527151922,3498,3695
1527152521,3498,3695
1527153722,3500,3697
1527154321,3502,3699
1527154921,3508,3705
1527156122,3514,3711
1527157322,3509,3706
1527157922,3514,3711
1527158521,3513,3710
1527159721,3515,3712
1527160321,3514,3711
1527160922,3516,3714
1527161521,3518,3716
1527162122,3508,3706
1527162722,3509,3707
1527163322,3510,3708
1527163922,3505,3703
1527164522,3508,3706
1527165122,3511,3709
1527165721,3513,3711
1527166321,3518,3716
1527166921,3512,3708
1527167522,3529,3726
1527168121,3525,3722
1527170522,3534,3732
1527171721,3530,3728
1527172322,3528,3726
1527172922,3531,3729
1527174121,3525,3723
1527174721,3527,3724
1527175322,3526,3723
1527176521,3527,3724
1527177721,3522,3719
1527178922,3531,3728
1527179522,3522,3719
1527180122,3523,3722
1527180721,3527,3727
1527181322,3546,3746
1527182522,3547,3747
1527183122,3550,3750
1527183722,3552,3752
1527184922,3550,3750
1527185521,3555,3755
1527186121,3553,3753
1527187321,3556,3756
1527188521,3562,3762
1527189121,3561,3761
1527189722,3563,3763
1527190322,3565,3765
1527190922,3564,3764
1527191522,3579,3779
1527192121,3580,3781
1527192722,3585,3786
1527193321,3583,3784
1527193922,3586,3788
1527194522,3588,3788
1527195721,3608,3808
1527196922,3607,3807
1527197521,3609,3809
1527198721,3609,3809
1527199321,3602,3802
1527199921,3599,3799
1527200522,3603,3804
1527202322,3602,3803
1527202921,3608,3809
1527203521,3612,3814
1527204122,3619,3821
1527204721,3624,3826
1527205321,3636,3838
1527205922,3633,3835
1527206522,3639,3843
1527207722,3640,3844
1527209522,3635,3839
1527210122,3643,3847
1527210721,3651,3856
1527211321,3650,3855
1527212521,3643,3848
1527213122,3646,3851
1527213722,3657,3862
1527214322,3662,3867
1527214922,3661,3868
1527215522,3663,3870
1527216122,3679,3886
1527216722,3678,3885
1527217321,3682,3891
1527217923,3684,3893
1527218522,3689,3898
1527219722,3691,3900
1527220322,3698,3907
1527220922,3698,3907
1527222122,3700,3909
1527222722,3699,3908
1527223322,3700,3909
1527223922,3702,3911
1527225121,3693,3902
