DateTime,AddedIPs,RemovedIPs
1526893322,80,80
1526893922,80,80
1526894522,80,80
1526895121,80,80
1526895721,80,80
1526896922,78,78
1526897522,80,80
1526898122,80,80
1526898722,80,80
1526899322,80,80
1526899921,80,80
1526900522,80,80
1526901122,80,80
1526901721,80,80
1526902322,80,80
1526902922,80,80
1526904121,71,71
1526904722,77,77
1526905322,80,80
1526906522,79,79
1526907121,80,80
1526907721,80,80
1526908922,32,32
1526909522,80,80
1526910121,66,66
1526911322,73,73
1526911921,80,80
1526912521,80,80
1526913121,78,78
1526913722,21,21
1526914321,70,70
1526914922,80,80
1526916121,69,69
1526916722,80,80
1526917322,76,76
1526918521,80,80
1526919122,79,79
1526919722,62,62
1526920922,78,78
1526921521,80,80
1526922121,50,50
1526923322,78,78
1526923921,80,80
1526924522,80,80
1526925122,80,80
1526926321,37,37
1526927522,79,79
1526928121,69,69
1526929321,76,76
1526930522,77,77
1526931721,77,77
1526932322,74,74
1526932921,28,28
1526934722,80,80
1526935321,80,80
1526935922,74,74
1526936521,68,68
1526937121,68,68
1526937722,80,80
1526938321,80,80
1526938922,80,80
1526939522,64,64
1526940722,77,77
1526941321,80,80
1526943122,79,79
1526943721,80,80
1526944321,80,80
1526944922,77,77
1526946121,69,69
1526946721,80,80
1526947322,80,80
1526947921,78,78
1526948523,80,80
1526949122,80,80
1526949721,80,80
1526950323,79,79
1526950921,75,75
1526951521,80,80
1526952121,77,77
1526953321,80,80
1526953921,79,79
1526954521,80,80
1526955122,80,80
1526956322,80,80
1526956922,80,80
1526957521,80,80
1526958123,78,78
1526958722,80,80
1526959322,21,21
1526960521,80,80
1526961122,80,80
1526961722,74,74
1526962322,51,51
1526962922,62,62
1526963521,73,73
1526964121,80,80
1526964721,71,71
1526965321,80,80
1526966521,79,79
1526967722,80,80
1526968322,72,72
1526968921,80,80
1526969522,77,77
1526970121,80,80
1526970721,77,77
1526971322,80,80
1526971921,80,80
1526972522,71,71
1526973122,75,75
1526973722,75,75
1526974322,80,80
1526974922,80,80
1526975522,33,33
1526976122,80,80
1526976722,80,80
1526977321,80,80
1526977921,70,70
1526978521,80,80
1526979122,80,80
1526979722,76,76
1526980322,73,73
1526980922,78,78
1526981522,78,78
1526982122,76,76
1526983322,65,65
1526983921,80,80
1526984521,80,80
1526985122,80,80
1526985722,80,80
1526986321,78,78
1526986922,80,80
1526987522,80,80
1526988122,80,80
1526988721,74,74
1526989322,76,76
1526989921,69,69
1526990521,80,80
1526991122,80,80
1526991722,80,80
1526992322,80,80
1526992922,80,80
1526993521,80,80
1526994121,78,78
1526995322,80,80
1526996521,79,79
1526997122,80,80
1526997722,80,80
1526998322,79,79
1526998921,80,80
1527000121,80,80
1527001322,78,78
1527001921,77,77
1527002521,80,80
1527003722,58,58
1527004321,80,80
1527004921,80,80
1527005522,62,62
1527006121,80,80
1527007321,68,68
1527007921,80,80
1527008521,36,36
1527009722,80,80
1527010322,72,72
1527010921,80,80
1527011521,78,78
1527012121,80,80
1527013321,80,80
1527013922,80,80
1527014521,77,77
1527015121,78,78
1527015722,73,73
1527016322,80,80
1527016922,79,79
1527017521,80,80
1527018122,80,80
1527018722,77,77
1527019322,80,80
1527019922,80,80
1527020522,80,80
1527021122,80,80
1527021721,80,80
1527022921,74,74
1527024121,27,27
1527024721,80,80
1527025321,76,76
1527025922,80,80
1527026522,79,79
1527027122,53,53
1527027721,80,80
1527028322,7,7
1527028922,70,70
1527030121,64,64
1527030722,80,80
1527031322,80,80
1527032521,80,80
1527033722,62,62
1527034922,51,51
1527036121,79,79
1527036722,79,79
1527037322,70,70
1527037922,74,74
1527038522,80,80
1527039122,75,75
1527039721,71,71
1527040321,80,80
1527040922,80,80
1527041522,50,50
1527042121,78,78
1527042722,80,80
1527043322,80,80
1527043921,80,80
1527044522,76,76
1527045122,80,80
1527045722,80,80
1527046321,80,80
1527046922,71,71
1527047521,74,74
1527048121,80,80
1527048721,80,80
1527049322,78,78
1527049921,80,80
1527050522,64,64
1527051122,80,80
1527051721,80,80
1527052321,80,80
1527052922,80,80
1527053522,80,80
1527054121,19,19
1527055321,80,80
1527055922,80,80
1527056521,80,80
1527057122,80,80
1527057721,80,80
1527058321,80,80
1527058921,78,78
1527060122,74,74
1527060721,74,74
1527061322,80,80
1527062521,77,77
1527063122,80,80
1527063722,80,80
1527064321,68,68
1527064921,80,80
1527065522,32,32
1527066122,69,69
1527066721,80,80
1527067321,80,80
1527067921,76,76
1527068522,69,69
1527069721,80,80
1527070322,80,80
1527070922,80,80
1527072121,77,77
1527073322,79,79
1527073922,80,80
1527074522,78,78
1527075121,80,80
1527075722,71,71
1527076322,80,80
1527076922,80,80
1527077521,80,80
1527078121,79,79
1527078721,80,80
1527079321,80,80
1527079921,80,80
1527080521,23,23
1527081122,76,76
1527081722,77,77
1527082322,80,80
1527082922,80,80
1527085322,79,79
1527085921,78,78
1527086521,79,79
1527087121,80,80
1527087722,74,74
1527088921,80,80
1527090122,80,80
1527090721,80,80
1527091322,61,61
1527091921,68,68
1527092522,62,62
1527093721,79,79
1527094321,80,80
1527094921,80,80
1527096121,80,80
1527096721,80,80
1527097322,78,78
1527097922,80,80
1527098522,80,80
1527099721,79,79
1527100922,29,29
1527101522,80,80
1527102122,76,76
1527102722,80,80
1527103321,73,73
1527103922,80,80
1527104522,80,80
1527105121,80,80
1527105721,71,71
1527106321,80,80
1527106922,79,79
1527108122,80,80
1527108721,80,80
1527109321,77,77
1527110522,76,76
1527111721,80,80
1527112322,78,78
1527112922,69,69
1527114122,75,75
1527114722,67,67
1527115922,76,76
1527116521,80,80
1527117722,80,80
1527118922,77,77
1527119521,80,80
1527120122,80,80
1527120721,80,80
1527121322,75,75
1527121922,80,80
1527122522,67,67
1527123121,80,80
1527123721,40,40
1527124321,80,80
1527124922,80,80
1527125521,80,80
1527126122,73,73
1527126721,80,80
1527127321,80,80
1527127922,80,80
1527128522,77,77
1527129721,28,28
1527130321,75,75
1527130921,80,80
1527131521,80,80
1527132121,74,74
1527132722,80,80
1527133322,80,80
1527134522,80,80
1527135122,77,77
1527135721,65,65
1527136321,80,80
1527136921,80,80
1527137522,79,79
1527138122,80,80
1527138722,80,80
1527139322,66,66
1527139921,80,80
1527140521,74,74
1527141722,80,80
1527142322,79,79
1527142921,79,79
1527143521,80,80
1527144122,79,79
1527144721,79,79
1527145321,80,80
1527145921,79,79
1527146522,77,77
1527147122,68,68
1527147722,80,80
1527148321,80,80
1527148921,80,80
1527150122,80,80
1527150722,77,77
1527151322,66,66
1527151922,80,80
1527152521,80,80
1527153722,75,75
1527154321,61,61
1527154921,80,80
1527155522,80,80
1527156122,65,65
1527156721,80,80
1527157322,1,1
1527157922,79,79
1527158521,80,80
1527159721,79,79
1527160321,80,80
1527160922,80,80
1527161521,80,80
1527162122,80,80
1527162722,78,78
1527163322,80,80
1527163922,46,46
1527164522,80,80
1527165122,80,80
1527165721,76,76
1527166321,80,80
1527166921,80,80
1527167522,61,61
1527168121,80,80
1527169321,68,68
1527170522,75,75
1527171721,70,70
1527172322,80,80
1527172922,80,80
1527173521,76,76
1527174121,80,80
1527174721,80,80
1527175322,80,80
1527176521,72,72
1527177721,80,80
1527178322,54,54
1527178922,80,80
1527179522,80,80
1527180122,80,80
1527180721,80,80
1527181322,80,80
1527181921,80,80
1527182522,80,80
1527183122,80,80
1527183722,80,80
1527184922,72,72
1527185521,80,80
1527186121,80,80
1527187321,67,67
1527187921,80,80
1527188521,80,80
1527189121,78,78
1527189722,80,80
1527190322,78,78
1527190922,80,80
1527191522,75,75
1527192121,73,73
1527192722,71,71
1527193321,80,80
1527193922,80,80
1527194522,80,80
1527195121,79,79
1527195721,80,80
1527196321,80,80
1527196922,80,80
1527197521,78,78
1527198122,79,79
1527198721,20,20
1527199321,80,80
1527199921,80,80
1527200522,77,77
1527202322,76,76
1527202921,80,80
1527203521,80,80
1527204122,80,80
1527204721,71,71
1527205321,66,66
1527205922,80,80
1527206522,80,80
1527207722,80,80
1527208922,73,73
1527209522,79,79
1527210122,80,80
1527210721,80,80
1527211321,80,80
1527211921,77,77
1527212521,79,79
1527213122,80,80
1527213722,80,80
1527214322,80,80
1527214922,80,80
1527215522,80,80
1527216122,80,80
1527216722,80,80
1527217321,80,80
1527217923,68,68
1527218522,80,80
1527219121,75,75
1527219722,80,80
1527220322,80,80
1527220922,73,73
1527221522,72,72
1527222122,80,80
1527222722,80,80
1527223322,80,80
1527223922,80,80
1527224522,80,80
1527225121,80,80
1527225721,80,80
1527226321,74,74
1527226921,80,80
1527228121,79,79
1527228721,80,80
1527229321,80,80
1527229921,80,80
1527230521,80,80
1527231122,80,80
1527231721,80,80
1527232922,80,80
1527233522,80,80
1527234122,80,80
1527235322,80,80
1527236521,66,66
1527237121,73,73
1527237722,60,60
1527238322,80,80
1527238922,80,80
1527239522,80,80
1527240121,54,54
1527240721,80,80
1527241322,80,80
1527242521,78,78
1527243122,74,74
1527243722,80,80
