DateTime,AddedIPs,RemovedIPs
1526882521,8,8
1526883121,21,21
1526883722,10,10
1526884321,11,11
1526884921,16,16
1526886121,22,22
1526887322,34,34
1526887921,8,8
1526888522,8,8
1526889121,9,9
1526889722,25,25
1526890921,12,12
1526891522,27,27
1526892121,23,23
1526892722,13,13
1526893322,3,3
1526894521,21,21
1526895121,8,8
1526895721,25,25
1526896321,12,12
1526896922,11,11
1526897522,9,9
1526898122,9,9
1526898722,2,2
1526899322,1,1
1526899921,4,4
1526900522,6,6
1526901721,35,35
1526902322,1,1
1526902922,10,10
1526903522,11,11
1526904121,9,9
1526904722,13,13
1526905322,12,12
1526906521,16,16
1526907121,14,14
1526907721,6,6
1526908321,6,6
1526908922,25,25
1526909522,15,15
1526910121,6,6
1526911322,22,22
1526911921,6,6
1526912521,9,9
1526913121,14,14
1526913722,4,4
1526914321,3,3
1526914922,2,2
1526916121,16,16
1526916722,21,21
1526917322,3,3
1526917922,13,13
1526918521,12,12
1526919122,1,1
1526919722,5,5
1526920322,28,28
1526920922,4,4
1526921521,10,10
1526922121,9,9
1526923322,27,27
1526923921,13,13
1526924522,7,7
1526926321,47,47
1526927521,15,15
1526928121,5,5
1526928721,7,7
1526929321,20,20
1526929922,2,2
1526930522,13,13
1526931121,19,19
1526931721,9,9
1526932322,2,2
1526932921,7,7
1526934722,41,41
1526935321,10,10
1526935922,14,14
1526936521,2,2
1526937722,28,28
1526938321,14,14
1526938922,8,8
1526940122,22,22
1526940722,14,14
1526941321,19,19
1526943122,44,44
1526943721,4,4
1526944321,8,8
1526944922,10,10
1526946121,14,14
1526946721,21,21
1526947322,16,16
1526948523,36,36
1526949122,18,18
1526949721,11,11
1526950323,10,10
1526950921,10,10
1526951521,4,4
1526952121,1,1
1526953321,36,36
1526953921,19,19
1526954521,19,19
1526955122,6,6
1526956322,2,2
1526956922,1,1
1526957521,7,7
1526958123,3,3
1526958722,3,3
1526959322,11,11
1526960521,19,19
1526961121,9,9
1526961722,10,10
1526962322,5,5
1526962922,5,5
1526963521,5,5
1526964121,14,14
1526964721,17,17
1526965321,5,5
1526965922,3,3
1526966521,1,1
1526967122,18,18
1526967722,3,3
1526968321,13,13
1526968921,16,16
1526969522,23,23
1526970121,9,9
1526970721,4,4
1526971322,5,5
1526971921,5,5
1526972522,2,2
1526973122,3,3
1526973722,12,12
1526974322,6,6
1526974922,25,25
1526975521,12,12
1526976122,19,19
1526976722,7,7
1526977321,5,5
1526977921,1,1
1526978521,4,4
1526979122,3,3
1526979722,16,16
1526980322,21,21
1526980922,8,8
1526981522,20,20
1526982122,9,9
1526982722,6,6
1526983322,8,8
1526983921,11,11
1526984521,3,3
1526985122,20,20
1526985722,5,5
1526986922,15,15
1526987522,12,12
1526988122,7,7
1526988721,3,3
1526989322,10,10
1526990521,26,26
1526991122,10,10
1526991722,10,10
1526992922,24,24
1526993521,7,7
1526994121,4,4
1526994722,5,5
1526995322,6,6
1526996521,18,18
1526997122,11,11
1526997722,5,5
1526998322,14,14
1526998921,6,6
1527000121,7,7
1527001322,20,20
1527001921,3,3
1527002521,7,7
1527003722,14,14
1527004321,6,6
1527004921,26,26
1527005522,20,20
1527006121,11,11
1527007321,27,27
