DateTime,AddedIPs,RemovedIPs
1525148426,4,5
1525155622,1,1
1525158324,0,1
1525162816,5,7
1525170019,6,0
1525177360,5,3
1525179972,0,5
1525180829,4,0
1525183567,0,1
1525184431,6,2
1525190745,1,0
1525191625,5,5
1525198824,5,2
1525205148,0,1
1525206034,4,5
1525206930,2,0
1525211425,1,0
1525213225,2,2
1525214134,1,0
1525215929,1,0
1525219548,1,0
1525220429,5,4
1525221323,0,1
1525222226,0,3
1525223127,0,1
1525224028,0,2
1525224922,0,3
1525227629,4,7
1525234824,6,3
1525242028,3,3
1525249226,5,5
1525256423,6,2
1525262755,10,0
1525263637,2,3
1525269975,0,4
1525270827,6,1
1525271731,0,2
1525278029,4,4
1525285232,3,8
1525292414,2,1
1525295120,0,1
1525296012,0,2
1525300524,2,2
1525302318,0,1
1525306811,3,6
1525311314,1,0
1525314015,3,5
1525321222,6,7
1525328415,3,5
1525330215,1,0
1525335620,7,4
1525342817,2,3
1525350155,4,2
1525353660,1,8
1525354525,6,0
1525357218,3,4
1525364420,4,5
1525371619,14,5
1525378820,2,4
1525380628,0,1
1525386024,5,4
1525393224,2,1
1525400424,1,6
1525401316,1,0
1525407619,5,7
1525408526,1,0
1525412124,0,1
1525414820,5,5
1525422023,4,1
1525429222,4,3
1525435601,0,11
1525436419,9,5
1525443623,4,5
1525450814,2,3
1525458024,6,2
1525465226,2,1
1525472424,2,2
1525477823,1,0
1525478747,2,0
1525479628,1,5
1525486825,0,5
1525491318,0,1
1525494016,5,7
1525496717,3,0
1525501220,5,3
1525505723,0,1
1525508425,1,3
1525515627,4,3
1525522035,0,3
1525522954,4,2
1525526436,5,1
1525527321,1,0
1525530018,1,6
1525537222,4,4
1525544421,4,2
1525551623,2,1
1525552531,0,1
1525553423,0,1
1525558824,3,2
1525560619,0,2
1525565143,0,1
1525566023,4,1
1525573234,3,4
1525580423,4,9
1525584025,1,1
1525584922,1,0
1525587622,5,3
1525594818,2,3
1525602025,4,4
1525608346,8,0
1525609233,5,3
1525612818,0,6
1525616418,1,3
1525623615,3,4
1525630823,4,4
